pt_rescued_prisoners|Osvobozeni zajatci
pt_enemy|Nepritel
pt_hero_party|Hrdinova druzina
pt_cattle_herd|Stado dobytka
pt_ruins|Ruiny
pt_legendary_place|Proslule misto
pt_mound|Mohyla hrdiny
pt_pyre|Porebni vatra
pt_wild_troll|Divoky zlobr
pt_raging_trolls|Besnici zlobri
pt_looters|Klanovi skreti
pt_forest_bandits|Skreti opozdilci
pt_mountain_bandits|Divoci goblini
pt_steppe_bandits|Vyhnanci z Vrchoviny
pt_sea_raiders|Odpadli korzari
pt_deserters|Zbehove
pt_merchant_caravan|Kupecka karavana
pt_troublesome_bandits|Otravnigoblini
pt_fangorn_orcs|Skreti drevorubci
pt_village_farmers|Vesnicane
pt_spy_partners|Podezreli poutnici
pt_spy_partners_evil|Podezreli poutnici
pt_runaway_serfs|Uprchli otroci
pt_spy|Osamely jezdec
pt_spy_evil|Osamely jezdec
pt_sacrificed_messenger|Obetovany posel
pt_gandalf|Osamely jezdec
pt_nazgul|Osamely jezdec
pt_gondor_scouts|Gondorsti pruzkumnici
pt_blackroot_auxila|Cernokoransky pomocny sbor
pt_lamedon_auxila|Lamedonsky pomocny sbor
pt_lossarnach_auxila|Lossarnassky pomocny sbor
pt_pinnath_gelin_auxila|Pinnath Gelinsky pomocny sbor
pt_ranger_scouts|Hranicarsti pruzkumnici
pt_rohan_scouts|Rohansti pruzkumnici
pt_lorien_scouts|Loriensti pruzkumnici
pt_woodelf_scouts|Lesni elfi pruzkumnici
pt_imladris_scouts|Pruzkumnici z Roklinky
pt_dale_scouts|Pruzkumnici z Dolu
pt_esgaroth_scouts|Esgarothsti pruzkumnici
pt_dwarf_scouts|Trpaslici hlidka
pt_beorn_scouts|Meddedovsti pruzkumnici
pt_woodmen_scouts|Lesni pruzkumnici
pt_mordor_scouts|Mordorsti pruzkumnici
pt_morgul_scouts|Morgulsti pruzkumnici
pt_isengard_scouts|Pruzkumnici z Zelezneho Pasu
pt_isengard_scouts_warg|Sarumanovi vrrci jezdci
pt_harad_scouts|Haradsti pruzkumnici
pt_dunland_scouts|Vrchovecti pruzkumnici
pt_umbar_scouts|Korzarsti pruzkumnici
pt_khand_scouts|Vychodnansti pruzkumnici
pt_moria_scouts|Morijsti pruzkumnici
