trp_unarmed_troop|Neozbrojeny vojak
trp_unarmed_troop_pl|Neozbrojeni vojaci
trp_tutorial_maceman|Vojak s kyjem
trp_tutorial_maceman_pl|Vojak s kyjem
trp_tutorial_archer|Lucistnik
trp_tutorial_archer_pl|Lucistnici
trp_tutorial_swordsman|Sermir
trp_tutorial_swordsman_pl|Sermiri
trp_novice_fighter|Bojovnik začátečník
trp_novice_fighter_pl|Bojovníci začátečníci
trp_regular_fighter|Řadový voják
trp_regular_fighter_pl|Řadoví vojáci
trp_veteran_fighter|Bojovník veterán
trp_veteran_fighter_pl|Bojovníci veteráni
trp_champion_fighter|Bojovnik sampion
trp_champion_fighter_pl|Bojovnici sampioni
trp_arena_training_fighter_1|Bojovník začátečník
trp_arena_training_fighter_1_pl|Bojovníci začátečníci
trp_arena_training_fighter_2|Bojovník začátečník
trp_arena_training_fighter_2_pl|Bojovníci začátečníci
trp_arena_training_fighter_3|Řadový voják
trp_arena_training_fighter_3_pl|Řadoví vojáci
trp_arena_training_fighter_4|Řadový voják
trp_arena_training_fighter_4_pl|Řadoví vojáci
trp_arena_training_fighter_5|Řadový voják
trp_arena_training_fighter_5_pl|Řadoví vojáci
trp_arena_training_fighter_6|Bojovník veterán
trp_arena_training_fighter_6_pl|Bojovníci veteráni
trp_arena_training_fighter_7|Bojovník veterán
trp_arena_training_fighter_7_pl|Bojovníci veteráni
trp_arena_training_fighter_8|Bojovník veterán
trp_arena_training_fighter_8_pl|Bojovníci veteráni
trp_arena_training_fighter_9|Bojovnik sampion
trp_arena_training_fighter_9_pl|Bojovnik sampion
trp_arena_training_fighter_10|Bojovnik sampion
trp_arena_training_fighter_10_pl|Bojovnik sampion
trp_cattle|Dobytek
trp_cattle_pl|Dobytek
trp_farmer|Farmar
trp_farmer_pl|Farmari
trp_townsman|Mestan
trp_townsman_pl|Mestane
trp_watchman|Mestanka
trp_watchman_pl|Mestanky
trp_woodmen_youth|Lesník
trp_woodmen_youth_pl|Lesníci
trp_woodmen_forester|Lesni drevorubec
trp_woodmen_forester_pl|Lesni drevorubci
trp_woodmen_skilled_forester|Zkuseny lesni drevorubec
trp_woodmen_skilled_forester_pl|Zkuseni lesni drevorubci 
trp_woodmen_axemen|Lesni sekernik
trp_woodmen_axemen_pl|Lesnii sekernici
trp_woodmen_master_axemen|Noční strážný z Mirkwoodu
trp_woodmen_master_axemen_pl|Noční stráž z Mirkwoodu
trp_woodmen_tracker|Lesni stopar
trp_woodmen_tracker_pl|Lesni stopari
trp_woodmen_scout|Lesni pruzkumnic
trp_woodmen_scout_pl|Lesni pruzkumnici
trp_woodmen_archer|Lesni lucisnik
trp_woodmen_archer_pl|Lesni lucisnici
trp_fell_huntsmen_of_mirkwood|Noční stopař z Mirkwoodu
trp_fell_huntsmen_of_mirkwood_pl|Noční stopaři z Mirkwoodu
trp_beorning_vale_man|Beoringský muz
trp_beorning_vale_man_pl|Beorningští muži
trp_beorning_warrior|Beoringský bojovník
trp_beorning_warrior_pl|Valecnici Meddedovcu
; trp_beorning_tolltacker|Beorning Toll-Taker
; trp_beorning_tolltacker_pl|Beorning Toll-Takers
trp_beorning_sentinel|Straz Meddedovcu
trp_beorning_sentinel_pl|Straze Meddedovcu
trp_beorning_warden_of_the_ford|Meddedovsky ochrance Brodu
; trp_beorning_warden_of_the_ford_pl|Beorning Wardens of the Ford
; trp_beorning_carrock_lookout|Beorning Carrock Lookout
; trp_beorning_carrock_lookout_pl|Beorning Carrock Lookouts
; trp_beorning_carrock_fighter|Beorning Carrock Fighter
; trp_beorning_carrock_fighter_pl|Beorning Carrock Fighters
; trp_beorning_carrock_berserker|Beorning Carrock Berserker
; trp_beorning_carrock_berserker_pl|Beorning Carrock Berserkers
trp_dale_militia|Dálský domobránce
trp_dale_militia_pl|Dálská domobrana
trp_dale_man_at_arms|Dálský ozbrojenec
trp_dale_man_at_arms_pl|Dálský ozbrojenec
trp_laketown_scout|Dolský průzkumník
trp_laketown_scout_pl|Pruzkumnici z Dolu
trp_laketown_bowmen|Dolský lukostřelec
trp_laketown_bowmen_pl|Dolští lukostřelci
trp_laketown_archer|Dolský lučištník
trp_laketown_archer_pl|Dolští lučištníci
; trp_barding_bowmen_of_esgaroth|Barding Bowman
; trp_barding_bowmen_of_esgaroth_pl|Barding Bowmen
trp_dale_warrior|Dolský šermíř
trp_dale_warrior_pl|Dolští šermíři
trp_dale_veteran_warrior|Dolský seržant
trp_dale_veteran_warrior_pl|Dolští seržanti
; trp_dale_marchwarden|Hearthman of Dale
; trp_dale_marchwarden_pl|Hearthmen of Dale
trp_dale_pikeman|Dolský kopiník
trp_dale_pikeman_pl|Dolský kopiníci
; trp_dale_billman|Dale Billman
; trp_dale_billman_pl|Dale Billmen
; trp_dale_bill_master|Dale Bill Master
; trp_dale_bill_master_pl|Dale Bill Masters
; trp_merchant_squire_or_dale|Northmen Retainer
; trp_merchant_squire_or_dale_pl|Northmen Retainers
; trp_merchant_guard_of_dale|Northmen Auxiliary
; trp_merchant_guard_of_dale_pl|Northmen Auxilia
trp_merchant_protector_of_dale|Rhovanionský Jezdec
trp_merchant_protector_of_dale_pl|Rhovanionští Jezdci
; trp_girions_guard_of_dale|Rhovanion Marchwarden
; trp_girions_guard_of_dale_pl|Rhovanion Marchwardens
; trp_rhun_tribesman|Rhun Tribesman
; trp_rhun_tribesman_pl|Rhun Tribesmen
trp_rhun_horse_scout|Rhůnský průzkumník
trp_rhun_horse_scout_pl|Rhůnský průzkumníci
trp_rhun_horse_archer|Rhůnský lučištník na koni
trp_rhun_horse_archer_pl|Rhůnští lučištníci na koni
trp_rhun_veteran_horse_archer|Zkušený Rhůnský lučištník na koni
trp_rhun_veteran_horse_archer_pl|Zkušení Rhůnští lučištníci na koni
; trp_fell_balchoth_horse_archer|Balchoth Horse Archer
; trp_fell_balchoth_horse_archer_pl|Balchoth Horse Archers
trp_rhun_swift_horseman|Rhůnský rychlý jezdec na koni
trp_rhun_swift_horseman_pl|Rhůnský rychlí jezdci na koni
; trp_rhun_veteran_swift_horseman|Rhun Veteran Swift Horseman
; trp_rhun_veteran_swift_horseman_pl|Rhun Veteran Swift Horsemen
trp_falcon_horseman|Jestrabi jezdec
trp_falcon_horseman_pl|Jestrabi jezdci
trp_rhun_tribal_warrior|Rhunský Kmenový Válečník
trp_rhun_tribal_warrior_pl|Rhunští Kmenovští Válečníci
trp_rhun_tribal_infantry|Rhunský Kmenový Pěšák
trp_rhun_tribal_infantry_pl|Rhunská Kmenová Pěchota
trp_rhun_vet_infantry|Rhunský Veteránský Pěšák
trp_rhun_vet_infantry_pl|Rhunská Veteránská Pěchota
trp_infantry_of_the_ox|Pesak radu Tura
trp_infantry_of_the_ox_pl|Pesaci radu Tura
trp_rhun_light_horseman|Rhunský Lehký Jezdec
trp_rhun_light_horseman_pl|Rhunští Lehcí Jezdci
; trp_rhun_light_cavalry|Rhun Light Cavalryman
; trp_rhun_light_cavalry_pl|Rhun Light Cavalry
; trp_rhun_noble_cavalry|Rhun Noble Cavalryman
; trp_rhun_noble_cavalry_pl|Rhun Noble Cavalry
; trp_rhun_heavy_noble_cavalry|Rhun Heavy Noble Cavalryman
; trp_rhun_heavy_noble_cavalry_pl|Rhun Heavy Noble Cavalry
; trp_dorwinion_noble_of_rhun|Dorwinion Noble of Rhun
; trp_dorwinion_noble_of_rhun_pl|Dorwinion Nobles of Rhun
trp_i1_dwarven_apprentice|Trpasličí branec
trp_i1_dwarven_apprentice_pl|Trpasličí branci
trp_i2_dwarven_warrior|trpasličí valečník
trp_i2_dwarven_warrior_pl|trpasličí valečníci
trp_i3_dwarven_hardened_warrior|cvičený trpasličí valečník
trp_i3_dwarven_hardened_warrior_pl|cvičení trpasličí valečníci
trp_i4_dwarven_spearman|trpasličí kopiník
trp_i4_dwarven_spearman_pl|trpasličí kopiníci
trp_i5_dwarven_pikeman|trpasličí pikenýr
trp_i5_dwarven_pikeman_pl|trpasličí Pikenýři
; trp_i6_dwarven_longpikeman|Longpike Dwarf
; trp_i6_dwarven_longpikeman_pl|Longpike Dwarves
trp_i4_dwarven_axeman|Trpaslik sekernik
trp_i4_dwarven_axeman_pl|Trpaslici sekernici 
trp_i5_dwarven_expert_axeman|expertní sekerník
trp_i5_dwarven_expert_axeman_pl|expertní sekerníci
; trp_i6_longbeard_axeman|Longbeard Axedwarf
; trp_i6_longbeard_axeman_pl|Longbeard Axedwarves
; trp_a2_dwarven_lookout|Lookout-dwarf
; trp_a2_dwarven_lookout_pl|Lookout-dwarves
trp_a3_dwarven_scout|Trpaslici pruzkumnik
trp_a3_dwarven_scout_pl|Trpaslici pruzkumnici
trp_a4_dwarven_bowman|Trpasličí lučištník
trp_a4_dwarven_bowman_pl|Trpasličí lučištnící
; trp_i6_dwarven_longaxeman|Longaxe Dwarf
; trp_i6_dwarven_longaxeman_pl|Longaxe Dwarves
trp_i3_iron_hills_warrior|Válečník Železných Hor
trp_i3_iron_hills_warrior_pl|Válečníci Železných Hor
trp_i2_iron_hills_miner|Hornik Zeleznych hor
trp_i2_iron_hills_miner_pl|Hornici Zeleznych hor
trp_i4_iron_hills_infantry|Pesak Zeleznych hor
