skinkey_chin_size|Velikost Brady
skinkey_chin_shape|Tvar Brady
skinkey_chin_forward|posunutí brady
skinkey_jaw_width|Šířka Čelisti
skinkey_jaw_position|Pozice Čelisti
skinkey_mouth_nose_distance|Vzdálenost Úst a Nosu
skinkey_mouth_width|Šířka Úst
skinkey_cheeks|Tváře
skinkey_nose_height|Výška nosu
skinkey_nose_width|Šířka Nosu
skinkey_nose_size|Šířka nosu
skinkey_nose_shape|Tvar Nosu
skinkey_nose_bridge|Nosní Můstek
skinkey_cheek_bones|Lícní kosti
skinkey_eye_width|Šířka očí
skinkey_eye_to_eye_dist|Vzdálenost očí
skinkey_eye_shape|Tvar Očí
skinkey_eye_depth|Hloubka očí
skinkey_eyelids|Oční Víčka
skinkey_eyebrow_position|Pozice obočí
skinkey_eyebrow_height|Výška obočí
skinkey_eyebrow_depth|Hloubka obočí
skinkey_eyebrow_shape|Tvar obočí
; skinkey_temple_width|Temple Width
skinkey_face_depth|Hloubka obličeje
skinkey_face_ratio|Poměr Obličeje
skinkey_face_width|Šířka obličeje
skinkey_post_edit|Post-Editovat
skinkey_snout_height|Výška Čenichu
skinkey_snout_width|Šířka Čenichu
skinkey_snout_size|Velikost Čenichu
skinkey_snout_shape|Tvar Čenichu
skinkey_weight|Váha
skinkey_mouth_shape|Tvar Úst
skinkey_eye_size|Velikost očí
skinkey_eye_slant|Sklon Očí
; skinkey_frawn|Frawn
skinkey_mouth_vert_pos|Vertikální Pozice Úst
skinkey_mouth_to_nose_dist|Vzdálenost Úst a Nosu
skinkey_chin_width|Šířka brady
