menu_start_game_1|Za co bojuješ?
mno_start_good|ÚSVIT nového věku
mno_start_evil|SOUMRAK lidstva
mno_go_bback|Zpět
menu_start_phase_2|^^^^^ Středozem. Na Východě se zvedá Stín, ^ přichází odtamtud dlouho skryté a  temné věci. ^ Svobodné národy se připravují na válku. Válku jakou nezažily po celý věk. ^ Lidé, elfové, trpaslíci a skřeti - všichni budou hrát svou roli. ^^ Jakou roli, to se teprve ukáže...
mno_go_forth|Vydej se po své zvolené cestě...
menu_start_game_3|^^^^^^^^Zvol si scénář:
mno_custom_battle_scenario_1|Šarvátka, Gondor proti Haradu
mno_custom_battle_scenario_12|Vyber frakce pro bitvu
mno_custom_battle_scenario_3|Šarvátka, Elfové proti Černým Númenorejcům
mno_custom_battle_scenario_4|Obrana Helmova žlebu, Rohan proti Železnému pasu
mno_custom_battle_scenario_5|Šarvátka, Seveřané proti Rhûnu
mno_custom_battle_scenario_6|Dobývání, skřeti proti trpaslíkům
mno_custom_battle_scenario_7|Přepadení, skřeti proti elfům z Temného hvozdu
mno_custom_battle_scenario_8|Poslední vzdor lidu Durinova
mno_custom_battle_scenario_88|Pronásledování orkských průzkumníků
mno_custom_battle_scenario_11|Testovací bitvy (pro balancováni statu)
mno_custom_battle_scenario_10|Testovací bitva pro procedurálně generovanou scénu
mno_troll_battle_scenario|Testovaci bitvy se zlobry
mno_warg_battle_scenario|Testovaci bitvy s vrrky
mno_build_your_own_scene|**Postav svou vlastni scenu pro TLD**
menu_tutorial|Vítejte do bojového tutoriálu hry Mount & Blade. Tady se naučíš základy boje a řízení tvé vlastní armády.
mno_tutorial_1|Tutoriál #1: Základní pohyb a výběr zbraní. {s1}
mno_tutorial_2|Tutoriál #2: Boj se štítem. {s2}
mno_tutorial_3|Tutoriál #3: Boj bez štítu. {s3}
mno_tutorial_3b_door|další úroveň
mno_tutorial_4|Tutoriál #4: Řízení koně nebo vrrka. {s4}
mno_tutorial_5|Tutoriál #5: Ovládání skupinky vojáků. {s5}
mno_go_back_dot|Jdi zpět.
mno_action_view_troop_trees|přehled stromu jednotek
mno_view_upkeep_costs|Zobrazit náklady družiny.
mno_view_character_report|Zobrazit přehled postavy.
mno_view_party_size_report|Zobrazit prehled velikosti druziny.
mno_view_morale_report|Zobrazit prehled moralky druziny.
mno_view_character_report_02|Kontrola stavu NPC.
mno_view_faction_strengths_report|Zobrazit přehled síly frakcí.
mno_view_traits_report|Zobrazit rysy.
mno_resume_travelling|Pokracovat v ceste.
mno_custom_battle_go|Start.
mno_leave_custom_battle_2|Zrusit.
menu_custom_battle_end|^^^^^^Bitva skončila. {s1} Tvá strana zabila {reg5} nepřátel a ztratila {reg6} jednotek během bitvy.^Ty sám jsi zabil {reg7} protivníku v boji.
mno_replay|Znovu hrat tuto bitvu.
mno_continue_dot|Pokracovat.
menu_custom_battle_durin_end|^^^^^^Byl to obdivuhodný vzdor, ale nakonec zahubený^^ Ty a tvoji příbuzní jste zabili {reg5} nepřátel.^Ty osobně si zabil {reg7} nepřátel v boji.
mno_replay_cbd|Znovu hrat tuto bitvu.
mno_continue_dot_cbd|Pokracovat.
mno_dot_go_back|. Jdi zpět
menu_start_good|^^^^^^^^^^Zvol si rasu:
mno_start_ma|ČLOVĚK
mno_start_el|ELF
mno_start_dw|TRPASLÍK
mno_go_back|Zpět
menu_start_evil|^^^^^^^^^^Komu sloužíš?
mno_start_eye|SAURONOVI z Mordoru, Pánu Prstenů
mno_start_hand|SARUMANOVI ze Železného pasu, Bílé Ruce
menu_start_eye|^^^^^^^^^Tvůj pán je Oko bez víčka^Zvol si Rasu
mno_start_or|SKŘET, sloužící Oku bez víčka
mno_start_ur|SKURUT, nove skřetí plémě
mno_start_em|ČLOVĚK, zotročený Sauronem
menu_start_hand|^^^^^^^^^Tvým pánem je Bílá Ruka^Zvol si rasu
mno_start_whor|Skřet, sloužící Bílé Ruce
mno_start_isur|jeden z URUK-HAI, vychován v Isengard
mno_start_duma|Člověk z Vrchoviny, ze Západních plání
menu_start_good_man|^^^^^^^^^^Zvol svůj lid:
mno_start_go|Gondor, království Bílé věže
mno_start_ro|Rohan, lidé koní
mno_start_du|Dunadáni, prastará dynastie lidí
mno_start_be|Meddědovci, lidé medvěda
mno_start_da|severní království Dolu
menu_start_good_elf|^^^^^^^^^^ve kterém lese přebýváš, Starší?
mno_start_ri|Roklinka, dům pána Elronda
mno_start_lo|Lothlorien, říše paní Galadriel
mno_start_mi|Temný Hvozd, říše lesních elfů
menu_start_good_dwarf|^^^^^^^^^^Zvol svuj puvod:
mno_start_er|obyvatel Ereboru - Osamele hory
mno_start_ih|kopac ze Zeleznych hor
menu_start_gondor|^^^^^^^^^^Ze ktere casti Gondoru pochazis?
mno_start_mt|Minas Tirith, hlavni mesto
mno_start_ls|Loss Arnach, knizectvi sekerniku
mno_start_la|Lamedon, knizectvi horskych klanu
mno_start_pg|Pinnath Gelin, knizectvi Zelenych kopcu
mno_start_do|Dol Amroth, knizectvi labutich rytiru
mno_start_pe|Pelargir, pobrezni knizectvi
mno_start_bl|Morthond, Knizectvi Lucistniku
menu_start_eye_man|^^^^^^^^^^Zvol svuj narod:
mno_start_hr|Haradrim, lide z rozpaleneho Jihu
mno_start_bn|Cerni Numenorejci, odpadlici ze Zapadu
mno_start_um|Umbar, pirati z jiznich mori
mno_start_rh|Rhun, barbari z Vychodu
mno_start_kh|Varjagove, divosi z Khandu na jihovychode
menu_start_eye_uruk|^^^^^^^^^^Kde se potloukas?
mno_start_arm_uruk|v armadach shromazdenych v MORDORU
mno_start_cav_uruk|v jeskynich DOL GULDURU
menu_start_eye_orc|^^^^^^^^^^Kde se potloukas?
mno_start_arm|v armadach shromazdenych v MORDORU
mno_start_cav|v jeskynich DOL GULDURU
menu_start_hand_orc|^^^^^^^^^^Kde se potloukas?
mno_start_armis|v armadach shromazdenych v ZELEZNEM PASU
mno_start_minmo|v temnych dolech MORIE
mno_start_cliff|v doupatech pod stity hory GUNDABAD
menu_start_gondor_mt|^^^^^^^^^^Zvol svuj Puvod
mno_start_1_com|Obycejny clovek
mno_start_2_hib|Slechtic
menu_start_haradrim|^^^^^^^Jsi Haradan,^clovek z pousti ci pralesu na jihu.^Zvol svuj puvod
mno_start_1_des|Clovek z Pouste
mno_start_2_far|Divoch z pralesu Dalneho Haradu
menu_start_numenorean|^^^^^^^Ty jsi černý Dúnadán,^Věrný Temnotě a Morgothovi^Vyber si, kde budeš sloužit Oku
mno_start_1_bn|Hned za Ústy Saurona, v MORANNONU
mno_start_2_bn|V pevnosti nekromancera, DOL GUDUR
menu_choose_gender|^^^^^^^^^^Tve pohlavi?
mno_start_male|Muž
mno_start_female|Žena
mno_proc|Pokračuj
menu_start_as_one|^^^^^^^^^^Jaký typ Vojáka jsi?
mno_start_default|Staň se {s23} (Default)
mno_start_up1|Staň se {s21} (Easy)
mno_start_up2|Staň se {s22} (Easy)
mno_continue|Pokračuj
menu_character_report|^^^^^Skupinova moralka: {reg8}^Maximalni velikost skupiny: {reg7}^{s5}
menu_camp|^^^^Jsi v {s1}.{s2}^^Co chces delat?
mno_camp_scene|Projit si okoli.
mno_camp_troop|Prohlednout{reg10? vojaky:}{reg12? and:}{reg11? zajatce:}.
mno_camp_action|Pouzit predmet.
mno_camp_wait_here|Nejakou dobu tu taborit.
mno_camp_options|Zmenit NASTAVENI TLD.
mno_Dev_Menu|Menu pro vývojáře
