imod_plain|Obyčejný
imod_cracked|Spatny
imod_rusty|Hruby
imod_bent|Ohnutý
imod_chipped|Naštípnutý
imod_battered|Omlácený
imod_poor|Spatny
; imod_crude|Simple %s
imod_old|Pravěký
imod_cheap|Levny
imod_fine|Dobry
imod_well_made|Kvalitni
imod_sharp|Ostry
imod_balanced|Vyvazeny
imod_tempered|Zakaleny
imod_deadly|Smrtici
imod_exquisite|Vytecny
imod_masterwork|Mistrovsky
imod_heavy|Tezky
imod_strong|Silny
imod_powerful|Mocny
imod_tattered|Potrhany
imod_ragged|Hruby
imod_rough|Hruby
imod_sturdy|Pevny
; imod_thick|Robust %s
imod_hardened|Tvrzeny
imod_reinforced|Vyztuzeny
imod_superb|Vynikajici
imod_lordly|Mistrovsky
imod_lame|Chromy
imod_swaybacked|Hrbaty
imod_stubborn|Tvrdohlavy
imod_timid|Mirny
imod_meek|Trpelivy
imod_spirited|Kurazny
imod_champion|Sampion
imod_fresh|Cerstvy
imod_day_old|Den stary
imod_two_day_old|Dva dny stary
imod_smelling|Smradlavy
imod_rotten|Shnily
imod_large_bag|Velky vak
