itm_horse_meat|Koňské maso
itm_practice_sword|Cvičný meč
itm_arena_lance|Rytířské kopí
itm_practice_staff|Dřevěná hůl
itm_practice_bow|Cvičný luk
itm_wooden_javelin|Dřevěný oštěp
itm_human_meat|Lidské maso
itm_maggoty_bread|Červavý chléb
itm_cram|Doplnit příděly
itm_lembas|Lembas
itm_smoked_fish|Uzená ryba
itm_dried_meat|Sušené maso
itm_cattle_meat|Hovězí
itm_grain|Pšenice
itm_tools|Nástroje
itm_siege_supply|Zásoby
itm_quest_wine|Víno
itm_quest_ale|Pivo
itm_metal_scraps_bad|Nekvalitní šrot
itm_metal_scraps_medium|Použitelný šrot
itm_metal_scraps_good|Kvalitní šrot
itm_oliphant|Olifant
itm_sumpter_horse|Mezek
itm_saddle_horse|Osedlaný kůň
itm_steppe_horse|Stepní kůň
itm_courser|Oř
itm_hunter|Lovecký kůň
itm_pony|Poník
itm_arnor_warhorse|Arnorský válečný kůň
itm_dunedain_warhorse|Dunadanský válečný kůň
itm_rohirrim_courser|Rohanský oř
itm_rohirrim_hunter|Rohanský lovecký kůň
itm_rohirrim_courser2|Rohanský oř
itm_rohan_warhorse|Rohanský válečný kůň
itm_thengel_warhorse|Thengelský strážní válečný kůň
itm_rhun_horse_a|Rhunský kůň
itm_rhun_horse_b|Rhunský kůň
itm_rhun_horse_d|Rhunský kůň
itm_rhun_horse_e|Rhunský těžký kůň
itm_rhun_horse_f|Rhunský těžký kůň
itm_rhun_horse_g|Rhunský těžký kůň
itm_rhun_horse_h|Rhunský těžký kůň
; itm_dale_horse|Rhovanion Horse
itm_dale_warhorse|Dolský válečný kůň
itm_riv_warhorse|Rivendelský válečný kůň
itm_riv_warhorse2|Imladriský oř
itm_mordor_warhorse|Mordorský válečný kůň
itm_mordor_warhorse2|Mordorský zlověstný válečný kůň
itm_gondor_courser|Gondorský oř
itm_gondor_hunter|Gondorský lovecký kůň
itm_dol_amroth_warhorse|Dol Amrothský válečný kůň
itm_dol_amroth_warhorse2|Dol Amrothský těžký válečný kůň
itm_gondor_warhorse|Gondorský válečný kůň
itm_gondor_lam_horse|Lamedonský válečný kůň
itm_lorien_warhorse|Lorienský válečný kůň
itm_harad_horse|Haradský kůň
itm_harad_warhorse|Haradský válečný kůň
itm_variag_pony|Variažský poník
itm_variag_kataphrakt|Východňanský válečný kůň
itm_warg_1b|Warg
itm_warg_1c|Warg
itm_warg_1d|Warg
itm_wargarmored_1b|Obrněný warg
itm_wargarmored_1c|Obrněný warg
itm_wargarmored_2b|Obrněný warg
itm_wargarmored_2c|Obrněný warg
itm_wargarmored_3a|Obrněný warg
itm_warg_reward|Obrovský warg
itm_axe_a|Severská sekyra
; itm_axe_b|Northmen Bearded Axe
itm_axe_c|Severská sekyra
itm_axe_d|Severská sekyra
itm_tree_trunk_club_a|Kmen stromu
itm_tree_trunk_club_b|Kmen stromu
; itm_long_bearded_axe|Northmen Bearded Longaxe
; itm_2_handed_axe|Northmen Longaxe
itm_giant_hammer|Velká palice
itm_giant_mace|Velký palcat
itm_giant_mace_b|Velký palcát s bodci
itm_olog_feet_boots|Chodidlo Olog Haie
itm_olog_head_helm|Hlava Olog Haie
itm_olog_head_helm_b|Hlava Olog Haie
itm_olog_head_helm_c|Hlava Olog Haie
itm_olog_body|Zbroj Olog Haie
itm_olog_body_b|Zbroj Olog Haie
itm_olog_hands|Ruce Olog Haie
itm_arrows|Šípy
itm_gondor_arrows|Gondorské šípy
itm_gondor_auxila_arrows|Gondoriánské šípy
itm_khergit_arrows|Ostnaté šípy
itm_rohan_arrows_2|Rohanské šípy
itm_harad_arrows|Haradské šípy
itm_corsair_arrows|Korzárské šípy
itm_ithilien_arrows|Ithilijské šípy
itm_woodelf_arrows|Šípy lesních elfů
itm_elven_arrows|Elfí šípy
itm_orc_hook_arrow|Hákový šíp orků
itm_isengard_arrow|Isengardské šípy
itm_pilgrim_disguise|Pilgrim převlek
itm_leather_gloves|Kožené rukavice
itm_mail_mittens|Kroužkové palčáky
itm_leather_boots|Kožené boty
itm_black_dress|Černé šaty
itm_blackwhite_dress|Dámské šaty
itm_white_tunic_a|Jednoduchá tunika
itm_white_tunic_b|Jednoduchá tunika
itm_white_tunic_c|Plášť z tuniky
itm_blue_tunic|Modrá tunika
itm_black_tunic|Černá tunika
itm_green_tunic|Zelená tunika
itm_red_tunic|Červená tunika
itm_leather_apron|Kožená zástěra
itm_leather_jerkin|Krátký kožený kabát
itm_fur_coat|Dolský kabát
itm_green_dress|Zelené šaty
