skinkey_chin_size|ขนาดของคาง
skinkey_chin_shape|รูปร่างของคาง
skinkey_chin_forward|ความแหลมของคาง
skinkey_jaw_width|ความกว้างของกราม
; skinkey_jaw_definition|Jaw Definition
skinkey_lower_lip|ปากล่าง
skinkey_upper_lip|ปากบน
skinkey_mouth_nose_distance|ระยะระหว่างปากและจมูก
skinkey_mouth_width|ความกว้างปาก
skinkey_nostril_size|ขนาดช่องจมูก
skinkey_nose_height|ความสูงของจมูก
skinkey_nose_width|ความกว้างของจมูก
skinkey_nose_size|ขนาดของจมูก
skinkey_nose_shape|รูปร่างของจมูก
skinkey_nose_bridge|ปีกจมูก

skinkey_eye_width|ความกว้างตา
skinkey_eye_to_eye_dist|ระยะห่างของตา
skinkey_eye_shape|รูปร่างตา
skinkey_eye_depth|ความลึกของเบ้าตา
skinkey_eyelids|เปลือกตา
skinkey_cheeks|แก้ม
skinkey_cheek_bones|กระดูกส่วนแก้ม
skinkey_eyebrow_height|ความสูงคิ้ว

skinkey_eyebrow_shape|รูปร่างคิ้ว
skinkey_temple_width|ความกว้าหน้าผาก
skinkey_face_depth|ความลึกของใบหน้า
skinkey_face_ratio|สัดส่วนหน้า
skinkey_face_width|ความกว้างของหน้า
skinkey_post_edit|แก้ในภายหลัง
skinkey_jaw_position|ตำแหน่งกราม
skinkey_eyebrow_position|ตำแหน่งคิ้ว
skinkey_eyebrow_depth|ความลึกของคิ้ว
skinkey_snout_height|ความสูงของปาก
skinkey_snout_width|ความกว้างของปาก
skinkey_snout_size|ขนาดปาก
skinkey_snout_shape|รูปร่างปาก
skinkey_weight|น้ำหนัก
skinkey_mouth_shape|รูปร่างปาก
skinkey_eye_size|ขนาดตา
skinkey_eye_slant|ความเอียงของตา
skinkey_frawn|รูปร่างหน้าผาก
skinkey_mouth_vert_pos|ตำแหน่งของปากตามแนวตั้ง
skinkey_mouth_to_nose_dist|ระยะห่างระหว่างจมูกและปาก
skinkey_chin_width|ความกว้างคาง
