skl_trade|ทักษะในการต่อรอง
skl_trade_desc|ทำให้ช่างเหล็กและผู้เชี่ยวชาญด้านอุปทานร่วมมือกันมากขึ้นและนำเสนออุปกรณ์ที่ดีกว่า (สกิลปาร์ตี้)
skl_leadership|ความเป็นผู้นำ
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 (3 for companions), increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you. (Personal skill)
skl_prisoner_management|การจัดการนักโทษ
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. Improves chances of capturing and keeping prisoners .(Leader skill)
skl_persuasion|พรานป่า
skl_persuasion_desc|ความสามารถในการเอาตัวรอดและใช้ประโยนช์จากป่า ความสามารถนี้จะส่งผลต่อกองทัพในการเคลื่อนที่และการซ่อนตัวในป่า (สกิลที่ส่งผลทั้งกองทัพ)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|การปฐมพยาบาลเบื้องต้น
skl_first_aid_desc|ตัวละครจะฟื้นเลือด 5%% ต่อสกิลเลเวลของเลือดที่เสียไประหว่างทำภารกิจ (สกิลที่ส่งผลทั้งกองทัพ)
skl_surgery|การผ่าตัด
skl_surgery_desc|ทุกเวลเวลของสกิลจะเพิ่มโอกาส 4%% ที่จะทำให้ทหารของเราที่จะตายมีโอกาสที่จะบาดเจ็บแทนตาย (สกิลที่ส่งผลทั้งกองทัพ)
skl_wound_treatment|การดูแลรักษาบาดแผล
skl_wound_treatment_desc|อัตราการฟื้นฟูของกองทัพเพิ่มขึ้น 20%% ต่อเลเวลของสกิล (สกิลที่ส่งผลทั้งกองทัพ)
skl_inventory_management|การจัดการช่องเก็บของ
; skl_inventory_management_desc|Increases inventory capacity by +6 per skill level. Reduces food consumption. (Leader skill)
skl_spotting|การสังเกต
skl_spotting_desc|เพิ่มระยะการมองเห็นของกองทัพ 10%% ต่อเลเวลสกิล (สกิลที่ส่งผลทั้งกองทัพ)
skl_pathfinding|การสำรวจเส้นทาง
skl_pathfinding_desc|เพิ่มความเร็วในการเดินทัพ 3%% ต่อเลเวลสกิล (สกิลสำหรับผู้นำกองทัพ)
skl_tactics|การวางกลยุทธ
; skl_tactics_desc|Improves battle advantage. Increases battle join distance for enemy parties and decreases battle join distance for friendly parties by 3% per level. (Leader skill)
skl_tracking|การสะกดรอย
skl_tracking_desc|การสะกดรอยจะละเอียด มีข้อมูลมากยิ่งขึ้น (สกิลที่ส่งผลทั้งกองทัพ)
skl_trainer|การฝึกทหาร
skl_trainer_desc|ทุกๆวัน ตัวละครที่มีสกิลนี้จะเพิ่มค่าประสบการณ์ให้ทหารในกองทัพที่มีเลเวลต่ำกว่า\nค่าประสบการณ์จะเพิ่มขึ้นตามเลเวลสกิลดังนี้:{0,4,10,16,23,30,38,46,55,65,80} (สกิลส่วนบุคคล)
skl_looting|การดรอปของ
skl_looting_desc|เพิ่มจำนวนและคุณภาพของที่ได้รับหลังการต่อสู้ (สกิลปาร์ตี้)
skl_horse_archery|การขี่ม้ายิงธนู
skl_horse_archery_desc|ลดผลลบของความเสียหาย และความแม่นยำในการยิงธนู และ การขว้าง เมื่อทำการขี่ม้า/สัตว์ (ความสามารถส่วนบุคคล)
skl_riding|การขี่ม้า/สัตว์อื่นๆ
skl_riding_desc|ทำให้ตัวละครสามารถขี่ม้า(หรือสัตว์อื่นๆ) ที่ระดับความยากในการควบคุมสูงขึ้น และเพิ่มความเร็วในการขี่ และ ความเร็วในการเลี้ยว (สกิลส่วนบุคคล)
skl_athletics|ความแข็งแรง
skl_athletics_desc|เพิ่มความเร็วในการวิ่ง (สกิลส่วนบุคคล)
skl_shield|การใช้โล่
skl_shield_desc|ลดความเสียหายของโล่ (8 %% ต่อระดับทักษะ) เพิ่มความเร็วและการครอบคลุมของโล่ ลดความสารถของโล่เมื่อใช้กับธนู (ความสามารถส่วนตัว)
skl_weapon_master|การควบคุมอาวุธ
skl_weapon_master_desc|ทำให้การเพิ่มค่าความเชี่ยวชาญในการใช้อาวุธง่ายขึ้น และเพิ่มขีดจำกัดความเชี่ยวชาญในการใช้อาวุธ\nขีดจำกัดเป็นไปดังต่อไปนี้:60, 100, 140, 180, 220, 260, 300, 340, 380, 420\n(ทักษะส่วนบุคคล)
skl_power_draw|แรงน้าวสายธนู
skl_power_draw_desc|ทำให้ตัวละครสามารถใช้ธนูที่ทรงพลังมากยิ่งขึ้น แต่ละเลเวลของสกิลนี้(มากที่สุดคือ4 บวกด้วย ค่าแรงน้าวสายธนูที่ธนูต้องการ) เพิ่มค่าความเสียหายจากธนู 14%% (สกิลส่วนบุคคล)
skl_power_throw|แรงในการขว้าง
skl_power_throw_desc|แต่ละเลเวลของสกิลนี้เพิ่มความเสียหายจากการขว้าง 10%% (สกิลส่วนบุคคล)
skl_power_strike|แรงในการตี/ฟัน/แทง
skl_power_strike_desc|แต่ละเลเวลของสกิลนี้เพิ่มความเสียหายจากอาวุธระยะประชิด 8%% (สกิลส่วนบุคคล)
skl_ironflesh|กายาเหล็กกล้า
skl_ironflesh_desc|แต่ละจุดของทักษะนี้จะเพิ่มพลังชีวิตขึ้น +2 และช่วยให้คุณลดความเสียหายบางส่วนโดยไม่ได้รับบาดเจ็บ (ความสามารถส่วนตัว)
