skinkey_chin_size|Ukuran Dagu
skinkey_chin_shape|Bentuk Dagu
; skinkey_chin_forward|Chin Forward
; skinkey_jaw_width|Jaw Width
; skinkey_jaw_definition|Jaw Definition
; skinkey_lower_lip|Lower Lip
; skinkey_upper_lip|Upper Lip
skinkey_mouth_nose_distance|Jarak Antar Mulut-Hidung
skinkey_mouth_width|Lebar Mulut
; skinkey_nostril_size|Nostril Size
skinkey_nose_height|Panjang Hidung
skinkey_nose_width|Lebar Hidung
skinkey_nose_size|Ukuran Hidung
skinkey_nose_shape|Bentuk Hidung
; skinkey_nose_bridge|Nose Bridge

skinkey_eye_width|Lebar Mata
skinkey_eye_to_eye_dist|Jarak Antar Mata
skinkey_eye_shape|Bentuk Mata
; skinkey_eye_depth|Eye Depth
; skinkey_eyelids|Eyelids
skinkey_cheeks|Pipi
skinkey_cheek_bones|Tulang Pipi
skinkey_eyebrow_height|Panjang Alis

skinkey_eyebrow_shape|Bentuk Alis
; skinkey_temple_width|Temple Width
; skinkey_face_depth|Face Depth
; skinkey_face_ratio|Face Ratio
skinkey_face_width|Lebar Wajah
; skinkey_post_edit|Post-Edit
; skinkey_jaw_position|Jaw Position
skinkey_eyebrow_position|Posisi Alis
; skinkey_eyebrow_depth|Eyebrow Depth
; skinkey_snout_height|Snout Height
; skinkey_snout_width|Snout Width
; skinkey_snout_size|Snout Size
; skinkey_snout_shape|Snout Shape
skinkey_weight|Berat Badan
skinkey_mouth_shape|Bentuk Mulut
skinkey_eye_size|Ukuran Mata
; skinkey_eye_slant|Eye Slant
; skinkey_frawn|Frawn
; skinkey_mouth_vert_pos|Mouth Vert Pos
skinkey_mouth_to_nose_dist|Jarak Antar Mulut ke Hidung
skinkey_chin_width|Lebar Dagu
