skinkey_chin_size|Velicina brade
skinkey_chin_shape|Sirina brade
skinkey_chin_forward|Isturenje brade
skinkey_jaw_width|Sirina vilice
skinkey_jaw_position|Pozicija vilice
skinkey_mouth_nose_distance|Usta-Nos distanca
skinkey_mouth_width|Sirina usta
skinkey_cheeks|Bucmastots
skinkey_nose_height|Visina nosa
skinkey_nose_width|Sirina nosa
skinkey_nose_size|Velicina nosa
skinkey_nose_shape|Oblik nosa
skinkey_nose_bridge|Most nosa
skinkey_cheek_bones|Jagodice
skinkey_eye_width|Sirina oka
skinkey_eye_to_eye_dist|Udaljenje oka od oka
skinkey_eye_shape|Oblik ociju
skinkey_eye_depth|Dubina ociju
skinkey_eyelids|Kapci
skinkey_eyebrow_position|Pozicija obrva
skinkey_eyebrow_height|Visina obrva
skinkey_eyebrow_depth|Dubina obrva
skinkey_eyebrow_shape|Oblik obrva
skinkey_temple_width|Sirina cela
skinkey_face_depth|Isturenost lica
skinkey_face_ratio|Odnos face
skinkey_face_width|Sirina face
skinkey_post_edit|Uredi post
skinkey_snout_height|Visina njuske
skinkey_snout_width|Sirina njuske
skinkey_snout_size|Velicina njuske
skinkey_snout_shape|Oblik njuske
skinkey_weight|Tezina
skinkey_mouth_shape|Oblik usta
skinkey_eye_size|Velicina oka
skinkey_eye_slant|Nagib oka
skinkey_frawn|Frawn
skinkey_mouth_vert_pos|Usta-Nos distanca
skinkey_mouth_to_nose_dist|Usta-Nos distanca 
skinkey_chin_width|Sirina brade
