itm_horse_meat|Konjsko meso
itm_practice_sword|Mač za vežbanje
itm_arena_lance|Dugo Koplje
itm_practice_staff|Drvena motka
itm_practice_bow|Luk za Vezbanje
itm_wooden_javelin|Drveni javelin
itm_human_meat|Ljudsko meso
itm_maggoty_bread|Crvljiv Hleb
itm_cram|Nagurana Sledovanja
itm_lembas|Lembas
itm_smoked_fish|Dimnjena Riba
itm_dried_meat|Suvo meso
itm_cattle_meat|Biftek
itm_grain|Zito
itm_tools|Alat
itm_siege_supply|Zalihe
itm_quest_wine|Vino
itm_quest_ale|Pivo
itm_metal_scraps_bad|Nisko-kvalitetni metalni ostaci
itm_metal_scraps_medium|Upotrebljivi metalni ostaci
itm_metal_scraps_good|Visoko-kvalitetni metalni ostaci
itm_oliphant|Olifant
itm_sumpter_horse|Sumpter konj
itm_saddle_horse|Osedlani konj
itm_steppe_horse|Stepski konj
itm_courser|Kurser
itm_hunter|Lovački konj
itm_pony|Poni
itm_dunedain_warhorse|Dunedainski Ratni Konj
itm_rohirrim_courser|Rohirimski Kurser
itm_rohirrim_hunter|Rohirimski Lovački Konj
; itm_rohirrim_courser2|Rohirrim Armoured Courser
itm_rohan_warhorse|Rohirimski Ratni Konj
; itm_thengel_warhorse|Eorl Warhorse
itm_rhun_horse_a|Rhunovski konj
itm_rhun_horse_b|Rhunovski konj
itm_rhun_horse_d|Rhunovski konj
itm_rhun_horse_e|Rhunovski teski konj
itm_rhun_horse_f|Rhunovski teski konj
itm_rhun_horse_g|Rhunovski teski konj
itm_rhun_horse_h|Rhunovski teski konj
itm_dale_horse|Rohanski konj
itm_dale_warhorse|Rohanski ratni konj
itm_riv_warhorse|Rivendelski ratni konj
itm_riv_warhorse2|Imladriski konj
itm_mordor_warhorse|Mordorski ratni konj
itm_mordor_warhorse2|Mordodski zli ratni konj
itm_gondor_courser|Gondorski kourser
itm_gondor_hunter|Gondorski hunter
itm_dol_amroth_warhorse|Ratni konj Dol Amrotha
itm_dol_amroth_warhorse2|Teski ratni konj Dol Amrotha
itm_gondor_warhorse|Gondorski ratni konj
itm_gondor_lam_horse|Lamedonski oklopni konj
itm_lorien_warhorse|Lothlorienski ratni konj
itm_harad_horse|Haradski konj
itm_harad_warhorse|Haradski ratni konj
itm_variag_pony|Variagski poni
itm_variag_kataphrakt|Easterlingski ratni konj
itm_warg_1b|Varga
itm_warg_1c|Varga
itm_warg_1d|Varga
itm_wargarmored_1b|Oklopljena Varga
itm_wargarmored_1c|Oklopljena Varga
itm_wargarmored_2b|Oklopljena Varga
itm_wargarmored_2c|Oklopljena Varga
itm_wargarmored_3a|Oklopljena Varga
itm_warg_reward|Ogromna Varga
itm_tree_trunk_club_a|Stablo
itm_giant_mace|Džinovski Buzdovan
itm_troll_shield_a|Trolski štit
itm_arrows|Strele
itm_gondor_arrows|Gondorske Strele
itm_orc_javelin|Orkovsko teško kratko koplje
itm_khergit_arrows|Rohirimske Strele
itm_harad_arrows|Haradrimske Strele
itm_corsair_arrows|Gusarske strele
itm_ithilien_arrows|Itilijenske Strele
itm_woodelf_arrows|Strele Šumskih vilenjaka
itm_elven_arrows|Vilovnjačke Strele
itm_orc_hook_arrow|Orkovske Kukaste Strele
itm_isengard_arrow|Isengardske Strele
itm_leather_gloves|Kožne Rukavice
itm_mail_mittens|Mrežaste Rukavice
itm_leather_boots|Kožne Cipele
; itm_leather_boots_dark|Rider Boots
; itm_splinted_greaves|Splinted Greaves
itm_white_tunic_a|Civilno odelo
itm_rohan_shoes|Kozne Cizme
; itm_furry_boots|Furry Boots
itm_black_tunic|Crna Tunika
itm_hood_black|Crna kapuljača
itm_hood_green|Zelena kapuljaca
; itm_hood_grey|Grey Hood
; itm_hood_leather|Leather Hood
; itm_mail_coif|Mail Coif
itm_axe_a|Severnjačka sekira
itm_axe_b|Severnjacka bradata sekira
itm_axe_c|Severnjacka sekira
itm_axe_d|Severnjačka sekira
itm_long_bearded_axe|Severnjačka bradata duga sekira
itm_2_handed_axe|Severnjačka duga sekira
itm_shortened_spear|Skraćeno Koplje
itm_spear|Koplje
itm_light_lance|Lako Dugo Koplje
itm_lance|Dugo Koplje
itm_tab_shield_small_round_b|Okrugao Konjanički Štit
itm_short_bow|Kratki Luk
itm_regular_bow|Luk
itm_nomad_bow|Nomadski Luk
itm_gondor_bow|Gondorski Luk
itm_strong_bow|Jak Luk
itm_elven_bow|Vilovnjački Luk
itm_corsair_bow|Gusarski Luk
itm_dwarf_horn_bow|Patuljački Rogasti Luk
itm_dwarf_short_bow|Patuljački Kratki Luk
itm_harad_bow|Haradski Zakrivljeni Luk
itm_lg_bow|Luk Orla Čuvara
itm_riv_bow|Rivendalski Luk
; itm_rhun_bow|Balchoth Bow
itm_lorien_bow|Galadrimski Luk
itm_isengard_large_bow|Isengardski Veliki Luk
itm_dale_bow|Dejl Luk
; itm_uruk_bow|Orc Horn Bow
itm_mirkwood_bow|Luk Mrke Šume
itm_dunland_javelin|Danlendsko Koplje
itm_orc_throwing_arrow|Orkovske Strelice
itm_heavy_throwing_spear|Teško Koplje za Bacanje
itm_javelin|Koplje
itm_harad_javelin|Haradsko Koplje
itm_gondor_javelin|Gondorsko Koplje
; itm_rohirrim_throwing_axe|Northmen Throwing Axes
itm_loss_throwing_axes|Sekira za Bacanje Losarnaha
itm_arnor_helm_c|Arnorska Ukrašena Kaciga
itm_arnor_helm_b|Arnorska Kaciga
; itm_arnor_helm_a|Arnor Light Helm
; itm_arnor_light_a|Dunedain Ranger Jerkin
; itm_arnor_light_b|Dunedain Ranger Mail
; itm_arnor_med_a|Dunedain Ranger Coat
; itm_arnor_med_b|Dunedain Mail
itm_arnor_heavy|Arnorsko Jaki Oklop
itm_arnor_greaves|Arnorske čizme
itm_arnor_shield_c|Arnorski Konjanički Štit
; itm_arnor_shield_a|Arnor Round Shield
; itm_arnor_sword_c|Arnor War Sword
itm_arnor_sword_a|Arnorski lažni mač
itm_arnor_sword_f|Arnorski Kratki Mač
itm_riv_helm_a|Rivendalska Kapa
itm_riv_helm_b|Kaciga Rivendalskog Strelca
itm_riv_helm_c|Kaciga Rivendalskog Pešadinca
itm_tiara_reward|Tijara Vilenjačkog Lorda
itm_riv_shield_a|Rivendalski Štit
itm_riv_shield_b|Rivendalski Štit
itm_riv_bas_sword|Rivendelski longsword
itm_riv_1h_sword|Rivendalski Mač
; itm_riv_riding_sword|Rivendell Longsword
; itm_riv_archer_sword|Rivendell Short Sword
itm_riv_spear|Rivendalsko Koplje
; itm_riv_light|Rivendell Tunic
; itm_riv_leather|Rivendell Leather Armor
; itm_riv_foot_mail|Rivendell Mail
; itm_riv_foot_scale|Rivendell Scale
; itm_riv_surcoat|Rivendell Surcoat
; itm_riv_knight|Rivendell Knightly Armour
itm_riv_armor_h_archer|Rivendalski Oklop
itm_riv_boots|Rivendalske Cipele
itm_gon_footman|Gondorska Verižnjača
itm_gon_jerkin|Gondorski Prsluk
itm_gon_regular|Gondorska Teška Veririžnjača
itm_gon_bowman|Gondorski gambeson
itm_gon_archer|Gondorski gambeson sa plastom
itm_gon_noble_cloak|Gondorska odora vise klase
itm_gon_squire|Gondorski verizni oklop sa plastom
itm_gon_knight|Gondorski teski verizni oklop sa plastom
itm_gon_ranger_cloak|Oklop gondorskih rendzera
itm_gon_ranger_skirt|Produzeni oklop gondorskih rendzera
itm_gon_steward_guard|Oklop nadzornikove garde
