fac_no_faction  = "Bez Fakcije"
fac_commoners  = "Obican narod"
fac_outlaws  = "Divljaci i Banditi"
fac_gondor  = "Gondor"
fac_dwarf  = "Erebor"
fac_rohan  = "Rohan"
fac_mordor  = "Mordor"
fac_isengard  = "Isengard"
fac_lorien  = "Lothlorien"
fac_imladris  = "Imladris"
fac_woodelf  = "Šumovita oblast"
fac_dale  = "Dale"
fac_harad  = "Harad"
fac_rhun  = "Rhun"
fac_khand  = "Khand"
fac_umbar  = "Umbar"
fac_moria  = "Moria"
fac_guldur  = "Dol Guldur"
fac_gundabad  = "Planina Gundabad"
fac_dunland  = "Dunland"
fac_beorn  = "Anduinska dolina"
fac_player_supporters_faction  = "Igraceva Fakcija"
fac_player_faction  = "Igraceva Fakcija"
fac_brigands  = "Razbojnici"
fac_tribal_orcs  = "Plemenski Orkovi"
fac_innocents  = "Nevini"
fac_merchants  = "Trgovci"
fac_manhunters  = "Lovci na glave"
fac_deserters  = "Dezerteri"
fac_mountain_bandits  = "Planinski Banditi"
fac_forest_bandits  = "Sumski Banditi"
