pt_rescued_prisoners|Spaseni Zarobljenici
pt_enemy|Neprijatelj
pt_hero_party|Herojska Grupa
pt_cattle_herd|Stado Goveda
pt_ruins|Rusevine
pt_legendary_place|Legendarno Mesto
pt_mound|Herojska Humka
pt_pyre|Herojska Lomaca
pt_wild_troll|Divlji Trol
pt_raging_trolls|Razjaren Trol
pt_looters|Plemenski orkovi
pt_forest_bandits|Zaostali Orkovi
pt_mountain_bandits|Divlji Goblini
pt_steppe_bandits|Dunlandski Izgnanici
pt_sea_raiders|Corsairski Odmetnici
pt_deserters|Dezerteri
pt_merchant_caravan|Trogvinski Karavan
pt_troublesome_bandits|Goblini koji prave probleme
pt_fangorn_orcs|Orkovi Drvosece
pt_village_farmers|Seljaci
pt_spy_partners|Sumnjivi Putnici
pt_spy_partners_evil|Sumnjivi Putnici
pt_runaway_serfs|Izbegli Robovi
pt_spy|Usamljeni Jahac
pt_spy_evil|Usamljeni Jahac
pt_sacrificed_messenger|Ztrveni Glasnik
pt_gandalf|Usamljeni Jahac
pt_nazgul|Usamljeni Jahac
pt_gondor_scouts|Gondorski Skauti
pt_blackroot_auxila|Blackrootska Auxilia
pt_lamedon_auxila|Lamedonska Auxilia
pt_lossarnach_auxila|Lossarnachka Auxilia
pt_pinnath_gelin_auxila|Pinnath Gelinska Auxilia
pt_ranger_scouts|Rendzerski Skauti
pt_rohan_scouts|Rohirrimski Skauti
pt_lorien_scouts|Lothlorienski Skauti
pt_woodelf_scouts|Mirkwoodski Skauti
pt_imladris_scouts|Revendellski Skauti
pt_dale_scouts|Dalski Skauti
pt_esgaroth_scouts|Esgarothski Skauti
pt_dwarf_scouts|Patuljacki Skauti
pt_beorn_scouts|Beorningski Skauti
pt_woodmen_scouts|Drovsecki Skauti
pt_mordor_scouts|Mordorski Skauti
pt_morgul_scouts|Morgulski Skauti
pt_isengard_scouts|Isengarski Skauti
pt_isengard_scouts_warg|Isengardske Varge
pt_harad_scouts|Haradski Skauti
pt_dunland_scouts|Dunlendingski Skauti
pt_umbar_scouts|Corsairski Skauti
pt_khand_scouts|Easterlingski Skauti
pt_moria_scouts|Morijski Skauti
pt_guldur_scouts|Dol Guldurski Skauti
pt_gundabad_scouts|Gundabadski Skauti
pt_rhun_scouts|Rhunski Skauti
pt_gondor_raiders|Gondorski Tragaci
pt_rohan_raiders|Rohirrimski Tragaci
pt_imladris_raiders|Rivendellski Tragaci
pt_lorien_raiders|Lothlorienski Tragaci
pt_woodelf_raiders|Mirkwoodski Tragaci
pt_dale_raiders|Dalski Tragaci
pt_dwarf_raiders|Patuljacki Tragaci
pt_ranger_raiders|Rendzerski Napadaci
pt_morgul_raiders|Morgulski Napadaci
pt_mordor_raiders|Mordorski Napadaci
pt_isengard_raiders|Isengarski Napadaci
pt_dunland_raiders|Dunlending Napadaci
pt_harad_raiders|Haradski Napadaci
pt_khand_raiders|Khandski Napadaci
pt_umbar_raiders|Umbarski Napadaci
pt_moria_raiders|Morijski Napadaci
pt_guldur_raiders|Dol Guldurski Napadaci
pt_gundabad_raiders|Gundabandski Napadaci
pt_rhun_raiders|Rhunski Napadaci
