p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Zapadni Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Calembel
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|Istocni Emnet
p_town_westfold|Westfold
p_town_west_emnet|Zapadni Emnet
p_town_eastfold|Eastfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Orkski Patrolni Kamp
p_town_east_osgiliath|Istocni Osgiliath
p_town_orc_sentry_camp|Orkski Centralni Kamp
p_town_isengard|Isengard
p_town_urukhai_outpost|Uruk Hai izvidnica
p_town_urukhai_h_camp|Uruk Hai lovni kamp
p_town_urukhai_r_camp|Uruk Hai recni kamp
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Thranduilova dvorana
p_town_woodelf_camp|Woodelf Kamp
p_town_woodelf_west_camp|Woodelf Zapadni Kamp
p_town_woodsmen_village|Selo drvoseca
p_town_beorning_village|Selo Beorning 
p_town_beorn_house|Kuca Beorna
p_town_moria|Vrata Morie
p_town_troll_cave|Pecina Trolova
p_town_dale|Dale
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Dunlander Kamp
p_town_harad_camp|Haradrim Kamp
p_town_khand_camp|Khand Kamp
p_town_umbar_camp|Corsair Kamp
p_town_imladris_camp|Rivendell Kamp
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Dol Guldurova Severna Osmatracnica
p_town_rhun_main_camp|Glavni Rhun Kamp
p_town_rhun_south_camp|Rhun Juzna Osmatracnica
p_town_rhun_north_camp|Rhun Severna Osmatracnica
p_town_gundabad|Gundabad
p_town_gundabad_ne_outpost|Gundabad SE Osmatracnica
p_town_gundabad_nw_outpost|Gundabad SZ Osmatracnica
p_town_goblin_north_outpost|Goblinska Severna Osmatracnica
p_town_goblin_south_outpost|Goblinska Juzna Osmatracnica
p_town_gundabad_m_outpost|Gundabad Mirkwood osmatracnica
p_town_erebor|Erebor
p_town_ironhill_camp|Iron Hills rudnik
p_advcamp_gondor|Gondor Prodorni Kamp
p_advcamp_rohan|Rohan Prodorni Kamp
p_advcamp_isengard|Isengard Prodorni Kamp
p_advcamp_mordor|Mordor Prodorni Kamp
p_advcamp_harad|Harad Prodorni Kamp
p_advcamp_rhun|Rhun Prodorni Kamp
p_advcamp_khand|Khand Prodorni Kamp
p_advcamp_umbar|Umbar Prodorni Kamp
p_advcamp_lorien|Lorien Prodorni Kamp
p_advcamp_imladris|Imaldris Prodorni Kamp
p_advcamp_woodelf|Mirkwood Prodorni Kamp
p_advcamp_moria|Moria Prodorni Kamp
p_advcamp_guldur|Dol Guldur Prodorni Kamp
p_advcamp_gundabad|Gundabad Prodorni Kamp
p_advcamp_dale|Dale Prodorni Kamp
p_advcamp_dwarf|Erebor Prodorni Kamp
p_advcamp_dunland|Dunland Prodorni Kamp
p_advcamp_beorn|Beorning Prodorni Kamp
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Handsign of Isengard
p_mount_doom|Mount Doom
p_town_barad_dur|Barad Dur
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Silverlode
p_old_ford|Stara Bara
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entwash
p_ford_rohan2|Entwash
p_ford_fangorn|Entwash
p_ford_fangorn2|Entwash
p_ford_moria|Silverlode
p_legend_amonhen|Amon Hen
p_legend_deadmarshes|Smrtinosne Mocvare
p_legend_mirkwood|Mirkwood suma
p_legend_fangorn|Fangorn Entsko upariste
p_ancient_ruins|Stare Rusevine
