fac_no_faction|沒 有 陣 營 
fac_commoners|平 民 
fac_outlaws|野 人 和 匪 徒 
fac_gondor|剛 鐸 
fac_dwarf|孤 山 
fac_rohan|洛 汗 
fac_mordor|魔 多 
fac_isengard|艾 辛 格 
fac_lorien|羅 斯 洛 立 安 
fac_imladris|瑞 文 戴 爾 
fac_woodelf|幽 暗 密 林 精 靈 
fac_dale|河 谷 鎮 
fac_harad|哈 拉 德 
fac_rhun|盧 恩 
fac_khand|侃 德 
fac_umbar|昂 巴 
fac_moria|摩 瑞 亞 
fac_guldur|多 爾 哥 多 
fac_gundabad|剛 達 巴 山 
fac_dunland|登 蘭 德 人 
fac_beorn|波 寧 人 
fac_player_supporters_faction|玩 家 陣 營 
fac_player_faction|玩 家 陣 營 
fac_brigands|強 盜 
fac_tribal_orcs|部 落 獸 人 
fac_innocents|無 辜 者 
fac_merchants|商 人 
fac_manhunters|賞 金 獵 人 
fac_deserters|逃 兵 
fac_mountain_bandits|山 賊 
fac_forest_bandits|森 林 強 盜 
