trp_unarmed_troop|徒 手 部 隊 
trp_unarmed_troop_pl|徒 手 部 隊 
trp_tutorial_maceman|錘 子 手 
trp_tutorial_maceman_pl|錘 子 手 
trp_tutorial_archer|弓 箭 手 
trp_tutorial_archer_pl|弓 箭 手 
trp_tutorial_swordsman|劍 士 
trp_tutorial_swordsman_pl|劍 士 
trp_novice_fighter|初 級 鬥 士 
trp_novice_fighter_pl|初 級 鬥 士 
trp_regular_fighter|正 規 鬥 士 
trp_regular_fighter_pl|正 規 鬥 士 
trp_veteran_fighter|資 深 鬥 士 
trp_veteran_fighter_pl|資 深 鬥 士 
trp_champion_fighter|精 英 鬥 士 
trp_champion_fighter_pl|精 英 鬥 士 
trp_arena_training_fighter_1|初 級 鬥 士 
trp_arena_training_fighter_1_pl|初 級 鬥 士 
trp_arena_training_fighter_2|初 級 鬥 士 
trp_arena_training_fighter_2_pl|初 級 鬥 士 
trp_arena_training_fighter_3|正 規 鬥 士 
trp_arena_training_fighter_3_pl|正 規 鬥 士 
trp_arena_training_fighter_4|正 規 鬥 士 
trp_arena_training_fighter_4_pl|正 規 鬥 士 
trp_arena_training_fighter_5|正 規 鬥 士 
trp_arena_training_fighter_5_pl|正 規 鬥 士 
trp_arena_training_fighter_6|資 深 鬥 士 
trp_arena_training_fighter_6_pl|資 深 鬥 士 
trp_arena_training_fighter_7|資 深 鬥 士 
trp_arena_training_fighter_7_pl|資 深 鬥 士 
trp_arena_training_fighter_8|資 深 鬥 士 
trp_arena_training_fighter_8_pl|資 深 鬥 士 
trp_arena_training_fighter_9|精 英 鬥 士 
trp_arena_training_fighter_9_pl|精 英 鬥 士 
trp_arena_training_fighter_10|精 英 鬥 士 
trp_arena_training_fighter_10_pl|精 英 鬥 士 
trp_cattle|牛
trp_cattle_pl|牛 
trp_farmer|農 民 
trp_farmer_pl|農 民 
trp_townsman|市 民 
trp_townsman_pl|市 民 
trp_watchman|雇 傭 哨 兵 
trp_watchman_pl|雇 傭 哨 兵 
trp_woodmen_youth|山 林 人 
trp_woodmen_youth_pl|山 林 人 
trp_woodmen_forester|山 林 人 森 林 行 者 
trp_woodmen_forester_pl|山 林 人 森 林 行 者 
trp_woodmen_skilled_forester|山 林 人 熟 練 森 林 行 者 
