skinkey_chin_size|下 巴 大 小
skinkey_chin_shape|下 巴 形 狀 
skinkey_chin_forward|下 巴 前 凸 
skinkey_jaw_width|下 頜 寬 度 
skinkey_jaw_position|下 頜 位 置 
skinkey_mouth_nose_distance|人 中 長 度 
skinkey_mouth_width|嘴 巴 寬 度 
skinkey_cheeks|臉 頰 
skinkey_nose_height|鼻 子 長 度 
skinkey_nose_width|鼻 子 寬 度 
skinkey_nose_size|鼻 子 尺 寸 
skinkey_nose_shape|鼻 子 形 狀 
skinkey_nose_bridge|鼻 梁 高 低 
skinkey_cheek_bones|顴 骨 
skinkey_eye_width|眼 睛 寬 度 
skinkey_eye_to_eye_dist|兩 眼 間 距 
skinkey_eye_shape|眼 睛 形 狀 
skinkey_eye_depth|眼 睛 深 度 
skinkey_eyelids|眼 皮 
skinkey_eyebrow_position|眉 毛 位 置 
skinkey_eyebrow_height|眉 毛 高 度 
skinkey_eyebrow_depth|眉 毛 深 度 
skinkey_eyebrow_shape|眉 毛 形 狀 
skinkey_temple_width|太 陽 穴 寬 度 
skinkey_face_depth|面 部 深 度 
skinkey_face_ratio|面 部 比 例 
skinkey_face_width|面 部 寬 度 
skinkey_post_edit|編 輯 完 成 
skinkey_snout_height|鼻 子 高 度 
skinkey_snout_width|鼻 子 寬 度 
skinkey_snout_size|鼻 子 尺 寸 
skinkey_snout_shape|鼻 子 形 狀 
skinkey_weight|重 量 
skinkey_mouth_shape|嘴 巴 形 狀 
skinkey_eye_size|眼 睛 尺 寸 
skinkey_eye_slant|眼 睛 角 度 
skinkey_frawn|皺 眉 
skinkey_mouth_vert_pos|嘴 巴 垂 直 彎 曲 
skinkey_mouth_to_nose_dist|嘴 巴 和 鼻 子 距 離 
skinkey_chin_width|下 巴 寬 度 
