fac_no_faction|بدون جناح
fac_commoners|روستایی
fac_outlaws|راهزنان
fac_gondor|گوندور
fac_dwarf|اره بور
fac_rohan|روهان
fac_mordor|موردور
fac_isengard|ایزنگارد
fac_lorien|لوتلورین
fac_imladris|املیدرس
; fac_woodelf|The Woodland Realm
fac_dale|دیل
fac_harad|هاراد
; fac_rhun|Rhun
; fac_khand|Khand
; fac_umbar|Umbar
; fac_moria|Moria
; fac_guldur|Dol Guldur
; fac_gundabad|Mt. Gundabad
; fac_dunland|Dunland
; fac_beorn|The Vale of Anduin
; fac_player_supporters_faction|Player Faction
; fac_player_faction|Player Faction
; fac_brigands|Brigands
; fac_tribal_orcs|Tribal Orcs
; fac_innocents|Innocents
; fac_merchants|Merchants
; fac_manhunters|Manhunters
; fac_deserters|Deserters
; fac_mountain_bandits|Mountain Bandits
; fac_forest_bandits|Forest Bandits
