hint_1|白掌不該過分相信肉眼，反之亦然。
hint_2|戰役中敵人的身分、援助的對象、以及戰鬥的地點都會影響同盟國是否會注意到你的戰役，或是感謝你的貢獻。
hint_3|斥候是一個王國信息的來源，人們也會把俘虜拖進他們的地牢中嚴刑拷問。解放俘虜和派遣斥候可以迷惑敵人 。 
hint_4|請記得，在不同王國裡你會有不同單位的資源點，這些資源點能讓你在該王國內獲得裝備及軍隊補給。
hint_5|一個王國軍隊的潰敗是不可挽回的。魔多不會經歷這種命運，但如果它的軍隊力量被牽制且它的同盟都被擊敗的話戰爭就會結束。
hint_6|你需要清醒的頭腦(INT)來避免對戒靈的恐慌。唯有精準的控制才能防止坐騎的恐慌。
hint_7|你可以在世界地圖中通過按住空白鍵休息。不過，受傷的士兵在城市裡休息時會治療的更快。
hint_8|在物品視窗中，按住Ctrl鍵不放再點滑鼠左鍵可以快速索取或給予物品。
hint_9|你可以按下Tab鍵直接離開任何地方，而戰鬥中按Backspace鍵可以打開指令界面。
hint_10|動物在靠近食人妖與歐羅海時會陷入恐慌。當心！
hint_11|人力對於一個王國是一種很重要的資源：帶走士兵並讓其歸入你的旗下會消費該陣營的資源點。
hint_12|你可以在戰鬥中下達命令給你的部隊。你可以通過按shift鍵來縮放以瞄準遠距離的敵人。
