qstr_Received_{reg0}_dama|受到{reg0}傷害。
qstr_Gate_is_breached!|大門被攻破了！
qstr_Gate_opens..._You_ha|大門緩緩打開...你來到中土世界最神聖的地方了！
qstr_Secret_place_discove|發現秘密之地！
qstr_Next_Page|下一頁
qstr_Action|行動
qstr_Mount|騎乘
qstr_Attack_Type|攻擊方式
qstr_Hold_This_Position|堅守此地
qstr_Follow_Me|跟著我
qstr_Charge|衝鋒
qstr_Advance|前進
qstr_Fall_Back|後退
qstr_Stand_Closer|靠攏
qstr_Spread_Out|散開
qstr_Stand_Ground|原地立守
qstr_Dismount|下馬
qstr_Use_Any_Weapon|任意使用武器
qstr_Use_Blunt_Weapons|使用鈍器
qstr_Hold_Your_Fire|停止射擊
qstr_Fire_At_Will|自由射擊
qstr_Us|我方
qstr_Allies|盟友
qstr_Enemies|敵軍
qstr_Ready|預備
qstr_Wounded|受傷
qstr_Dead|死亡
qstr_Routed|逃跑了
qstr_Number_of_men_knocke|被擊倒的人數：{reg1}
qstr_Number_of_men_left:_|剩餘的人數：{reg1}
qstr_Opponents_Beaten:_{r|被擊敗的對手：{reg1}
qstr_Opponents_Remaining:|剩餘的對手：{reg1}
qstr_Gauntlet_wave:_1|第1場比賽
qstr_Gauntlet_wave:_{reg1|第{reg1}場比賽
qstr_Remain_in_retirement|保持退休。
qstr_Go_back_to_the_adven|重出江湖。
qstr_A_peaceful_village_n|一個在西谷不遠處的平靜村子...
qstr_The_War_is_upon_Roha|戰爭降臨於洛汗了！
qstr_Minas_Tirith___The_W|米那斯提力斯-白之城
qstr_The_White_Tree_stand|白之樹在國王的血脈斷絕後就長年枯萎著。
qstr_And_the_Shadow_grows|東方，陰影前所未有的壯大。
qstr_Minas_Morgul___City_|米那斯魔窟-戒靈之城
qstr_Sauron_s_armies_marc|索倫的軍隊向戰爭邁進！
qstr_Adventurers_at_audie|冒險者覲見攝政王迪耐瑟二世...
qstr___What_business_do_y|'你來我這，有何請求？'
qstr___Your_Stewardship_w| '攝政王殿下，我們從遙遠之地前來...跳躍！'
qstr___Enough_of_this_mad| '停止這種愚行！衛兵！！'
qstr___I_ve_had_enough_of|'我已經受夠這些惡作劇了...下一批必須跪下！'
qstr_Chest|胸部
qstr_Cape|披肩
qstr_Arms|手臂
qstr_Thighs|大腿
qstr_Legs|腿部
qstr_Rotate|旋轉
qstr_Close|關閉
qstr_Faction_Side:^^Campa|陣營方：^^戰役難度：^^初始戰區：^^元帥：^^敵人：^^
qstr_Campaign_Difficulty_|戰役難度取決於初始陣營力量，戰區的敵人，^陣營兵種樹狀圖和部隊裝備。
qstr_Rallies:|鼓舞：
qstr_View_Keybinds__Press|查看按鍵綁定(按Insert键)
qstr_What_do_you_fight_fo|你為何而戰？
qstr_Go_Back...|返回...
qstr_Learn_about_the_diff|了解中土世界不同的陣營
qstr_The_DAWN_of_a_New_Er|新紀元的黎明
qstr_The_TWILIGHT_of_Man|人類的暮光
qstr_Select_your_Race?|你的種族選擇是？
qstr_Man|人類
qstr_Elf|精靈
qstr_Dwarf|矮人
qstr_Whom_Do_You_Serve?|你要效忠於誰？
qstr_SAURON_of_Mordor_The|魔多的索倫，魔戒之主
qstr_SARUMAN_of_Isengard_|艾辛格的薩魯曼，白掌
qstr_an_ORC^_serving_the_|半獸人，^邪眼之僕
qstr_an_URUK^_the_new_bre|強獸人，^新品種的半獸人
qstr_a_MAN^_subjugated_by|人類，^臣服於索倫
qstr_an_ORC^_serving_the_W|半獸人，白掌之僕
qstr_one_of_the_URUK_HAI^|強獸人，^生於艾辛格
qstr_a_MAN_of_Dunland^_th|登蘭德人，^來自西方平原
qstr_Click_the_center_but|點擊中央按鈕以切換陣營^點擊人物以查看詳細資訊
qstr_Level:_{reg3}^Health|等級：{reg3}^生命值：{reg4}
qstr_Attributes|屬性
qstr_STR^AGI^INT^CHA|力量^敏捷^智慧^魅力
qstr_Skills|技能
qstr_Ironflesh^Power_Stri|鐵骨^強擊^強擲^強弓^盾防^運動^騎術^騎射
qstr_Proficiencies|熟練度
qstr_1H_Weapons^2H_Weapon|單手武器^雙手武器^長柄武器^弓箭^十字弓^投擲
qstr_Equipment|裝備
qstr_The_Last_Days_Mod_Op|最後之日模組設定
qstr_War_Starts_at_Level:|戰爭始於等級：
qstr_Restrict_Player_Equi|限制玩家裝備：
qstr_Battle_Formations_an|戰鬥陣型和AI：
qstr_Native|原版
qstr_TLD_FormAI__Original|TLD陣型AI(初版)
qstr_TLD_New_FormAI|TLD新陣型AI
qstr_Siege_AI:__|攻城AI：
qstr_Basic__better_perfor|基本(效能更好)
qstr_Advanced|進階
qstr_Campaign_difficulty:|戰役難度：
qstr_Hard|困難
qstr_Default|預設
qstr_Easy|簡單
qstr_Town_NPCs_Always_Acc|可從選單訪問城鎮NPC：
qstr_Cutscenes:__|過場動畫：
qstr_Injuries_for_compani|同伴會受傷：
qstr_Permanent_death_for_|領主和同伴會永久死亡：
qstr_Permanent_death_for_p|玩家會永久死亡(就是你！)：
qstr_Battle_morale_system|戰鬥士氣系統：
qstr_Animal_ambushes:__|動物伏擊：
qstr_Fallen_rider_damage_|落馬傷害訊息：
qstr_No_Messages|不顯示訊息
qstr_Player_damage_only|只顯示玩家傷害
qstr_All_Messages|顯示所有訊息
qstr_Preferred_Camera_Mod|喜好的鏡頭模式：
qstr_Default_Camera|預設鏡頭
qstr_Free_Mode_Custom_Cam|自由模式自訂鏡頭
qstr_Fixed_Over_The_Shoul|固定鏡頭-肩後
qstr_Prevent_AI_from_taki|防止AI採取守勢：
qstr_Brighter_Nights:__|較明亮的夜晚：
qstr_Done|完成
qstr_Gameplay_Tweaks|遊戲調整
qstr_Beta_Formations_Twea|Beta陣型調整
qstr_War_Will_Start_at_Le|戰爭將始於等級{reg0}
qstr_Troop_Tree|兵種樹狀圖
qstr__Click_on_a_unit_for|(點擊單位以獲得詳細資訊)
qstr_Weapons|武器
qstr_Armors|鎧甲
qstr_Others|其他
qstr_F4___Complex_formati|F4-複雜陣型
qstr_F7___Memorize_div._p|F7-記憶分隊位置
qstr_F8___Default_divisio|F8-預設的分隊位置
qstr_F4___Ranks|F4-列陣
qstr_F5___Shield_Wall|F5-盾牆
qstr_F6___Wedge|F6-楔形陣
qstr_F7___Square|F7-方陣
qstr_F8___No_Formation|F8-無陣型
qstr_Extended_Formations_|額外陣型和AI設定
qstr_Put_player_in_divisi|將玩家置於分隊：
qstr_None|無
qstr_Army_rotates_to_face|軍隊轉向面對敵人的中心：
qstr_Prevent_AI_from_takin|防止AI採取守勢：
qstr_AI_Controls_Troops_W|當玩家被擊倒時由AI控制部隊：
qstr_You_gained_{reg0}_Re|你得到了{s0}的{reg0}資源點。
qstr_You_lost_{reg0}_Reso|你失去了{s0}的{reg0}資源點。
qstr_{s24}:|{s24}：
qstr_Great_Hope_of_{s5}|{s5}的希望
qstr_Hope_of_{s5}| {s5}的期待
qstr_Indispensable_Ally_o|{s5}不可或缺的盟友
qstr_Faithful_Ally_of_{s5|{s5}忠實的盟友
qstr_Trusted_Friend_of_{s|{s5}信任的朋友
qstr_Close_Friend_of_{s5}|{s5}親近的朋友
qstr_Friend_of_{s5}|{s5}的朋友
qstr_Familiar_to_{s5}|{s5}的熟人
qstr_Known_to_{s5}| {s5}認識的人
qstr_Stranger_to_{s5}|{s5}的陌生人
qstr_Great_Enforcer_of_{s|{s5}的大執行者
qstr_Enforcer_of_{s5}|{s5}的執行者
qstr_Important_Ally_of_{s|{s5}重要的盟友
qstr_Ally_of_{s5}|{s5}的盟友
qstr_Accomplice_of_{s5}|{s5}的共犯
