imod_plain|普通的%s
imod_cracked|劣質的%s
imod_rusty|粗糙的%s
imod_bent|彎曲的%s
imod_chipped|有缺口的%s
imod_battered|坑坑疤疤的%s
imod_poor|劣質的%s
imod_crude|單純的%s
imod_old|古老的%s
imod_cheap|便宜的%s
imod_fine|優質的%s
imod_well_made|精良的%s
imod_sharp|鋒利的%s
imod_balanced|平衡的%s
imod_tempered|精鍛的%s
imod_deadly|致命的%s
imod_exquisite|精致的%s
imod_masterwork|極品的%s
imod_heavy|重型的%s
imod_strong|堅固的%s
imod_powerful|強力的%s
imod_tattered|破爛的%s
imod_ragged|粗糙的%s
imod_rough|粗糙的%s
imod_sturdy|結實的%s
imod_thick|強大的%s
imod_hardened|加硬的%s
imod_reinforced|加強過的%s
imod_cloak|%s加斗篷
imod_lordly|極品的%s
imod_lame|瘸腿的%s
imod_swaybacked|過勞的%s
imod_stubborn|倔強的%s
imod_timid|膽小的%s
imod_meek|血跡斑斑的%s 
imod_spirited|活潑的%s
imod_champion|一流的%s
imod_fresh|新鮮的%s
imod_day_old|隔夜的%s
imod_two_day_old|隔兩夜的%s
imod_smelling|發臭的%s
imod_rotten|腐爛的%s
imod_large_bag|一大袋的%s
