p_town_minas_tirith|米那斯提力斯
p_town_pelargir|佩拉格
p_town_linhir|林希爾
p_town_dol_amroth|多爾安姆羅斯
p_town_edhellond|艾德西隆得
p_town_lossarnach|洛薩那奇
p_town_tarnost|塔洛斯
p_town_erech|伊瑞奇
p_town_pinnath_gelin|皮那斯傑林
p_town_west_osgiliath|西奧斯吉力亞斯
p_town_henneth_annun|落日之窗
p_town_cair_andros|凱爾安卓斯島
p_town_calembel|卡倫貝爾
p_town_edoras|伊多拉斯
p_town_aldburg|奧德博格
p_town_hornburg|號角堡
p_town_east_emnet|東洛汗
p_town_westfold|西谷
p_town_west_emnet|西洛汗
p_town_eastfold|東谷
p_town_morannon|莫拉農
p_town_minas_morgul|米那斯魔窟
p_town_cirith_ungol|半獸人巡邏營地
p_town_east_osgiliath|東奧斯吉力亞斯
p_town_orc_sentry_camp|半獸人崗哨營地
p_town_isengard|艾辛格
p_town_urukhai_outpost|強獸人前哨
p_town_urukhai_h_camp|強獸人狩獵營地
p_town_urukhai_r_camp|強獸人河流營地
p_town_caras_galadhon|卡拉斯加拉頓
p_town_cerin_dolen|瑟林朵蓮
p_town_cerin_amroth|瑟林安羅斯
p_town_thranduils_halls|瑟蘭督伊的廳堂
p_town_woodelf_camp|木精靈營地
p_town_woodelf_west_camp|木精靈西營地
p_town_woodsmen_village|木精靈村庄
p_town_beorning_village|波寧村庄
p_town_beorn_house|比翁之家
p_town_moria|摩瑞亞大門
p_town_troll_cave|巨魔洞穴
p_town_dale|河谷鎮
p_town_esgaroth|長湖鎮
p_town_dunland_camp|登蘭德人營地
p_town_harad_camp|哈拉德人營地
p_town_khand_camp|侃德營地
p_town_umbar_camp|海盜營地
p_town_imladris_camp|瑞文戴爾營地
p_town_dol_guldur|多爾哥多
p_town_dol_guldur_north_outpost|多爾哥多北方前哨
p_town_rhun_main_camp|盧恩主營地
p_town_rhun_south_camp|盧恩南方前哨
p_town_rhun_north_camp|盧恩北方前哨
p_town_gundabad|剛達巴
p_town_gundabad_ne_outpost|剛達巴東北前哨
p_town_gundabad_nw_outpost|剛達巴西北前哨
p_town_goblin_north_outpost|半獸人北方前哨
p_town_goblin_south_outpost|半獸人南方前哨
p_town_gundabad_m_outpost|剛達巴幽暗密林前哨
p_town_erebor|孤山
p_town_ironhill_camp|鐵丘陵採石場
p_advcamp_gondor|剛鐸前線營地
p_advcamp_rohan|洛汗前線營地
p_advcamp_isengard|艾辛格前線營地
p_advcamp_mordor|魔多前線營地
p_advcamp_harad|哈拉德前線營地
p_advcamp_rhun|盧恩前線營地
p_advcamp_khand|侃德前線營地
p_advcamp_umbar|昂巴前線營地
p_advcamp_lorien|羅斯洛立安前線營地
p_advcamp_imladris|瑞文戴爾前線營地
p_advcamp_woodelf|幽暗密林前線營地
p_advcamp_moria|摩瑞亞前線營地
p_advcamp_guldur|多爾哥多前線營地
p_advcamp_gundabad|剛達巴前線營地
p_advcamp_dale|河谷鎮前線營地
p_advcamp_dwarf|孤山前線營地
p_advcamp_dunland|登蘭德前線營地
p_advcamp_beorn|波寧前線營地
p_argonath|亞苟那斯
p_argonath2|亞苟那斯
p_hand_isen|艾辛格白掌
p_mount_doom|歐洛都因
p_town_barad_dur|巴拉多
p_ford_cair_andros1|安都因河
p_ford_cair_andros2|安都因河
p_ford_caras_galadhon|安都因河
p_ford_brown_lands|安都因河
p_ford_rauros|安都因河
p_ford_pelargir|安都因河
p_ford_edhellond|安都因河
p_ford_cerin_dolen|銀流河
p_old_ford|老渡口
p_ford_erech|林羅河
p_ford_isen1|艾辛河
p_ford_isen2|艾辛河
p_ford_rohan|樹沐河
p_ford_rohan2|樹沐河
p_ford_fangorn|樹沐河
p_ford_fangorn2|林萊河
p_ford_moria|銀流河
p_legend_amonhen|阿蒙漢山脈
p_legend_deadmarshes|死亡沼澤
p_legend_mirkwood|幽暗密林
p_legend_fangorn|法貢樹人會議
p_ring_hunter_lair|魔戒猎手巢穴
p_ancient_ruins|古代遺跡
