dlga_start:mutiny_pretalk_1|喂，{playername}。告訴你.. ^小的們在抱怨！想多點樂子，少點行軍。
dlga_mutiny_pretalk_1:mutiny_pretalk_2|歸隊，蛆蟲！我們還正在戰爭中而我還是你們的指揮官。
dlga_mutiny_pretalk_2:close_window|如你所願，指揮官，如你所願...
dlga_start:mutiny_talk_1|喂，指揮官。告訴你... 小的們不高興！一點都不高興！ ^沒人肉吃，沒樂子找！ ^小的們認為指揮官你不夠好！
dlga_mutiny_talk_1:mutiny_talk_2|什麼？ 在戰爭期間叛變？ 這可是要判死刑的，蛆蟲！
dlga_mutiny_talk_2:close_window|讓我們告訴你... 小的們認為在我殺了你以後會是個更好的指揮官！
dlga_start:troll_introduce_1|有問題嗎？
dlga_start:troll_talk_1|生氣了？
dlga_troll_introduce_1:troll_goodbye|哇！一隻會說話的食人妖？！
dlga_troll_introduce_1:close_window|我有一匹馬。
dlga_troll_talk_1:troll_talk_2|來抓我啊，食人妖。
dlga_troll_talk_1:close_window|我有一匹馬。
dlga_troll_talk_2:troll_talk_3|接受挑戰！^^{s4}
dlga_troll_beaten:troll_talk_1|我向你的智慧致敬，天才食人妖小釣手！
dlga_troll_goodbye:close_window|TROLLOLOLOLOLOLOLOLOLOL！
dlga_start:hobbit_merry_talk_met|又見面了，{playername}！
dlga_start:hobbit_pippin_talk_met|又見面了，{playername}！
dlga_start:hobbit_general_talk_1|你好，{先生/女士}！我的名字是梅里雅達克·烈酒鹿但你可以叫我梅里！
dlga_start:hobbit_general_talk_1.1|你好，{先生/女士}！我的名字是皮瑞格林·圖克但你可以叫我皮聘！
dlga_hobbit_general_talk_1:close_window|我現在沒空。
dlga_hobbit_general_talk_1:hobbit_general_talk_first_met|話說，我從未見過你這種人。
dlga_hobbit_general_talk_1:hobbit_general_talk_second_met|話說，我想我在伊多拉斯有遇到跟你一樣的人。
dlga_hobbit_general_talk_1:hobbit_general_talk_second_met.1|話說，我想我在米那斯提力斯有遇到跟你一樣的人。
dlga_hobbit_general_talk_first_met:hobbit_general_talk_3|我知道。我來自遠方！我是一個哈比人，{先生/女士}，來自夏爾。
dlga_hobbit_general_talk_second_met:hobbit_general_talk_ask|噢，那肯定是我親愛的表親了！皮瑞格林圖克，或人稱皮聘。我們是哈比人。{先生/女士}，我們來自夏爾，我們兩個都是！真懷念皮聘，不知道他在米那斯提力斯過得好不好。
dlga_hobbit_general_talk_second_met:hobbit_general_talk_ask.1|噢，那肯定是我親愛的表親了！梅里雅達克烈酒鹿，或人稱梅里。我們是哈比人。{先生/女士}，而且我們來自夏爾，我們兩個都是！真懷念梅里，不知道他在伊多拉斯過得好不好。
dlga_hobbit_general_talk_ask:hobbit_general_talk_ask_1|可以請你幫個忙嗎，{大人/女士}。
dlga_hobbit_general_talk_ask_1:hobbit_general_talk_ask_2|當然，{s1}。什麼事？
dlga_hobbit_general_talk_ask_2:hobbit_general_talk_ask_3|你能送一封信給我的表親，{s1}嗎？他人在{s2}，{s3}中，為{s4}服務。
dlga_hobbit_general_talk_ask_3:hobbit_general_talk_ask_accept|我近期會經過{s1}也很樂意傳達這封信息給你的表親。
dlga_hobbit_general_talk_ask_3:hobbit_general_talk_ask_reject|對不起，{s1}，但我沒有時間。
dlga_hobbit_general_talk_ask_accept:close_window|謝謝你！ {s1}
dlga_hobbit_general_talk_ask_reject:hobbit_general_talk_3|我明白。我會把它交給下一個到{s1}的商隊。
dlga_hobbit_general_talk_3:close_window|那麼，是時候說再見了。
dlga_start:hobbit_merry_talk_met.1|歡迎回來，{playername}！
dlga_start:hobbit_pippin_talk_met.1|歡迎回來，{playername}！
dlga_hobbit_merry_talk_met:hobbit_deliver_message|你好，梅里閣下。我有一封你表親的信，皮聘，自米那斯提力斯。
