imod_plain|Σκέτο %s
imod_cracked|Φτωχό %s
imod_rusty|Ακατέργαστο %s
imod_bent|Στραβό %s
imod_chipped|Φαγωμένο %s
imod_battered|Ταλαιπωρημένο %s
imod_poor|Φτωχό %s
imod_crude|Απλό %s
imod_old|Αρχαίο %s
imod_cheap|Φτηνό %s
imod_fine|Έξοχο %s
imod_well_made|Καλοφτιαγμένο %s
imod_sharp|Κοφτερό %s
imod_balanced|Ισορροπημένο %s
imod_tempered|Σκληρυμένο %s
imod_deadly|Θανάσιμο %s
imod_exquisite|Έξοχο %s
imod_masterwork|Αριστούργημα %s
imod_heavy|Βαρύ %s
imod_strong|Ανθεκτικό %s
imod_powerful|Δυνατό %s
imod_tattered|Κουρελιασμένο %s
imod_ragged|Τραχύ %s
imod_rough|Τραχύ %s
imod_sturdy|Ισχυρό %s
imod_thick|Ανθεκτικό %s
imod_hardened|Σκληρυμένο %s
imod_reinforced|Ενισχυμένο %s
imod_cloak|%s με μανδύα
imod_lordly|Αριστούργημα %s
imod_lame|Κουτσό %s
imod_swaybacked|Προβληματικό %s
imod_stubborn|Πεισματάρικο %s
imod_timid|Δειλό %s
imod_meek|Αιματοβαμμένο %s
imod_spirited|Σθεναρό %s
imod_champion|Πρωταθλητής %s
imod_fresh|Φρέσκο %s
imod_day_old|Μιας μέρας %s
imod_two_day_old|Δύο ημερών %s
imod_smelling|Μυρίζει %s
imod_rotten|Σάπιο %s
imod_large_bag|Μεγάλη Τσάντα με %s
