menu_start_game_1|Για τι πολεμάς;
mno_start_good|Η αρχή μιας νέας εποχής
mno_start_evil|Το ΛΥΚΟΦΩΣ ενός άνδρα
mno_faction_intros|Μάθε για τις διάφορες φατρίες της Μέσης-Γης
mno_go_bback|Πίσω
menu_start_phase_2|Μέση Γη. Μία σκιά απλώνετε από την Ανατολή, και σκοτεινά πράγματα έρχονται που ήταν καιρό κρυμμένα. Οι ελεύθεροι άνθρωποι ετοιμάζονται για πόλεμο, τόσο τρομερό που δεν έχει δει ο κόσμος εδώ και αιώνες. Άνθρωποι, Ξωτικά, Νάνοι και Ορκ: όλοι θα παίξουν το κομμάτι τους. Τώρα τι, όμως, θα δούμε στο μέλλον...
mno_go_forth|Προχόρα μπροστά στον δρόμο πού διάλεξες
mno_change_tld_options|Άλλαξε επιλογές TLD.
menu_start_game_3|Διαλέξτε το σενάριο σας:
mno_custom_battle_scenario_1|Μάχη, Γκόντορ ενάντια Χαράντ
mno_custom_battle_scenario_12|Επιλέξτε φατριές για την μάχη
mno_custom_battle_scenario_3|Μάχη, Ξωτικά ενάντια Μαύρων Νουμενοριανών
mno_custom_battle_scenario_4|Άμυνα Φαραγγιού Χελμ, Ρόχαν ενάντια Άισενγκαρντ
mno_custom_battle_scenario_5|Μάχη, Βόρια Φατρία ενάντια Ρουν
mno_custom_battle_scenario_6|Επίθεση Πολιορκίας, Ορκ ενάντια Νάνοι
mno_custom_battle_scenario_7|Ενέδρα, Ορκ ενάντια Μίρκγουντ
mno_custom_battle_scenario_8|Η Τελική Μάχη της Φυλής του Ντούριν
mno_custom_battle_scenario_88|Κυνηγάει μία Ομάδα Ανιχνευτών Ορκ
mno_custom_battle_scenario_11|Δοκιμαστικές Μάχες (Ρύθμισε την ισορροπία!)
mno_custom_battle_scenario_10|Δοκιμαστική μάχη τοπίου
mno_troll_battle_scenario|Δοκιμαστική Μάχη Τρολ
mno_warg_battle_scenario|Δοκιμαστική Μάχη Γουόργκ
mno_build_your_own_scene|Χτίσε την δική σου σκηνή για το TLD
mno_go_back|Πίσω
menu_tutorial|Καλώς ήρθες στην Εκμάθηση Μάχης για το Mount & Blade. Εδώ μπορείς να μάθεις τα βασικά της μάχης, όπως και επισκόπηση για τις εντολές των στρατευμάτων κατά την διάρκεια μαχών στο πεδίο.
mno_tutorial_1|Μάθημα #1: Βασικές κινήσεις και επιλογή όπλου. {s1}
mno_tutorial_2|Μάθημα #2: Μάχη με ασπίδα. {s2}
mno_tutorial_3|Μάθημα #3: Μάχη χωρίς ασπίδα. {s3}
mno_tutorial_3b_door|επόμενο επίπεδο
mno_tutorial_4|Μάθημα #4: Καβαλώντας ένα άλογο ή ένα γουόργκ. {s4}
mno_tutorial_5|Μάθημα #5: Διοίκηση μίας ομάδας στρατιωτών. {s5}
mno_go_back_dot|Πίσω
mno_action_view_troop_trees|Δες δέντρα στρατευμάτων.
mno_view_upkeep_costs|Δες το κόστος συντήρησης.
mno_view_character_report|Δες αναφορά χαρακτήρα.
mno_view_party_size_report|Δες την αναφορά του μεγέθους της ομάδας σου.
mno_view_morale_report|Δες αναφορά ηθικού της ομάδας.
mno_view_character_report_02|Έλεγχος κατάστασης NPC.
mno_view_faction_strengths_report|Δες αναφορά της δύναμης της φατρίας.
mno_view_traits_report|Δες χαρακτηριστικά.
