ip_formations_and_morale|Σχηματισμοί και Ηθικό
ip_formations_and_morale_text|Τα στρατεύματα σου θα τοποθετήσουν τον ευατό τους και θα σταθούν εκεί στην αρχή κάθε μάχης, αντί να επιτεθούν στα τυφλά. Μόνο μεγάλες φατρίες (18 στο σύνολο) χρησιμοποιούν σχηματισμούς (+)
ip_economy|Οικονομία
; ip_economy_text|There is no money in TLD. Instead you develop relationships with factions - represented by Resources, Influence and Rank.^^Resources are what's needed to sustain the faction in war - you can redeem looted scraps and items for it and you're also given a certain number of resource allowance each week depending on your rank within a faction. You can use this allowance to get soldiers, gear, horses for you to command and companions to follow you, but only if you accumulated enough. You have a separate resource/influence/rank pool for each Faction, remember that!^Influence points are awarded for finishing quests and winning tough battles. They can later be spent on special items as a reward from the rulers of factions you got the influence with.^^Rank points allow you to rise up in the ranks of your faction - this will determine your max party size, weekly resource income and unlock other stuff.^Due to being true to lore, we have also disabled by default the option of the so called "cross-dressing": a Gondorian wouldn't likely ever wear looted orc armour, and vice-versa. After most battles, you will find few or no items in the loot which can be used directly. Instead, "metal scraps" are dropped, which represent salvageable equipment and can then be given to your smiths who require them, for Resource Points.
ip_war_of_the_ring|Πόλεμος του Δαχτυλιδιού
; ip_war_of_the_ring_text|At the beginning of the game the War between good and evil hasn't started yet. You'll be notified when it does. (This does NOT depend on time spent playing, rather on how ready your character is for the war.) While Middle Earth might look like a pretty empty and quiet place at start, it gets filled with hostile parties very quickly once the War starts. Be prepared and use your few days of peace wisely! You can perform quests for the lords and leaders of all allied factions, raise troops and train yourself in the barracks.^^The war itself can be won or lost, unlike in the original M&B. Every faction has a strength rating - which changes according to faction successes or failures in battles. With strength dropping low enough, it becomes possible for enemies to siege faction cities/camps. When a faction drops to the lowest status, it is possible to defeat it completely by storming its capital.^^Note that player himself cannot initiate sieges in TLD. He can only help his faction and allies in siege battles if their leaders decide that it is time to go storm the enemy settlement.^^(This is a design decision, not a bug. It's also something we want to tweak in future releases, so the option to siege is available, but very costly and difficult to obtain)^^There are several theatres of war in TLD, defined by geography. When one side eliminates all the enemies in its current theatre, it will send an expeditionary force to help allies on other theatres. Expeditionary force will build an advance camp in the other theatre and operate from there. If the good forces are completely defeated, but Mordor and Isengard still stand strong, the two towers will battle each other over total dominance.
ip_starting_tips|Αρχικές Βοήθειες
ip_starting_tips_text|Εσύ διαλέγεις την φατρία που θες στην αρχή και δεν μπορείς να την αλλάξεις αργότερα. Μπορείς επίσης να διαλέξεις διαφορετικές φυλές: Ανθρώπους, Νάνους, Ούρουκς, Ούρουκ-αις ή ορκς. Θυμήσου ότι και η φατρία αλλά και φυλή που θα διαλέξεις θα σε περιορίσουν κατά κάποιο τρόπο. Μερικές φατρίες παρέχουν ταλαντούχους στρατιώτες, αλλά σε μικρούς αριθμούς. Μερικές έχουν αδύναμα στρατεύματα, αλλά μπορείς να προσλάβεις πολλά. Μικρά ορκ δεν μπορούν να φορέσουν πανοπλίες για τους μεγάλους, αλλά μπορούν να καβαλήσουν κάποια ζώα. Οι Νάνοι έχουν εξαιρετικό εξοπλισμό, αλλά δεν μπορούν να καβαλήσουν ζώα.^^Το αναφερόμενο δεν είναι πλήρως σχεδιασμένο για να είναι (τεχνητά) ισορροπημένο. Παίζοντας λιγότερο δυνατές φυλές ή φατρίες μπορεί να είναι πιο απαιτητικό (as a first game, you might want to prefer options, in the starting menus, which are placed on top of the list of alternatives).^^Επιλέγεις μια φατρία και μάχεσαι για αυτήν μέχρι να νικήσει τον μεγάλο πόλεμο, ή μέχρι η φατρία σου να αφανιστεί. Σε αυτή την περίπτωση μπορείς να συνεχίσεις να μάχεσαι για τους συμμάχους σου.^^-το να περιπλανιέσαι χωρίς στόχο δεν είναι καλή ιδέα, ο πόλεμος χρειάζεται κάποια πρόθεση η σκοπό από την πλευρά σου. Πριν την έναρξη του πολέμου, προσπάθησε να συγκεντρώσεις μια ομάδα πολεμιστών, πάρε τους απαραίτητους συντρόφους και λίγο εξοπλισμό για να είσαι έτοιμος. Έπειτα από την έναρξη του πολέμου, οι στρατηγικές σου θα ποικίλουν. Θυμήσου, είναι σημαντικό να βοηθάς τους συμμάχους σου αλλά και να καταστρέψεις τον εχθρό.^-κάνοντας αποστολές για τους λόρδους των φατριών είναι ένας καλός τρόπος για να ανέβεις σε βαθμό και για να αποκτήσεις πόντους πόρων και επιρροής.^-πάρε πολλαπλές αποστολές στη ίδια στιγμή, ρώτα τους πάντες! Μπορείς συχνά να "κάνεις κύκλους" και να τελειώσεις αρκετές αποστολές κατά την μεταφορά ενός γράμματος για παράδειγμα. Μη χάνεις χρόνο!
ip_rumours_and_legendary_places|Φήμες και Θρυλικά μέρη
ip_rumours_and_legendary_places_text|Μιλώντας σε ανθρώπους στους οικισμούς, μπορείς να διαβάσεις σχόλια από την οπτική της φατρίας τους. Αυτό συχνά εμπεριέχει ενδιαφέρον ιστορία και μερικές φορές σου αποκαλύπτει ιδιαίτερες μυθικές τοποθεσίες στον χάρτη.^^Μερικές από αυτές υπάρχουν μόνο για εξερεύνηση και δεν εξυπηρετούν κάποιο άλλο σκοπό, μερικές από αυτές περιέχουν μοναδικές περιπέτειες και μυστικά ιστορίας. Όταν ξεκλειδώσεις μία, θα ενημερωθείς με μήνυμα.
ip_trolls|Τρόλλς
ip_trolls_text|Τα Τρολλ είναι πολύ ισχυρά. Μοχθηροί παίκτες δεν μπορούν απλά να τα στρατολογήσουν, αλλά υπάρχουν άλλοι τρόποι για την στρατολόγηση ενός ή δύο Τρολλ. Δεν υπακούν σε εντολές, γι'αυτό κράτα τις μονάδες σου μακριά από τις καταστροφικές τους επιθέσεις!^^Αν ψάχνεις για Τρολλ ως αποστολή, μπορείς να τα βρεις να τριγυρνάν σε οικισμούς τους οποίους ενοχλούν (Πάραυτα μερικές φορές συμμαχικές ομάδες μπορεί να τα απομακρύνουν ή να τα σκοτώσουν πριν από εσένα), ή μπορεί να τριγυρνάν γύρω απ'τα Βουνά της Καταχνοιάς, κυρίως κοντά στις σπηλιές τους.
ip_custom_camera|Προσαρμοσμένη Κάμερα
; ip_custom_camera_text|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (i.e Orcs and Dwarves). It is easy to use, but can take some time to get used to.^^There are 2 modes: Fixed Position and Free-Mode.^^Fixed position is the optimal position for all races, however it cannot be configured.^^Free-Mode Camera puts the character in the middle of the screen. This camera can be adjusted to player preference. When aiming during archery or throwing, it snaps back to default camera for better aiming (which can be quite hard in the beginning, but one can get accustomed to). Once the projectile is used, it goes back to the custom camera.^^^Controls:^^Press the Ctrl+End keys together to switch between the three different camera modes: Default Camera / Fixed Camera / Free-Mode Camera.^^When in "Free-Mode Camera", Press and hold Ctrl and Arrow Up (or Arrow Down) to adjust camera height (Tilt).^^When in "Free-Mode Camera", Press and hold Ctrl and Numpad + (or Numpad -) to adjust camera distance (Zoom).^^Additionally, you can also press Shift while moving/zooming the camera to enable smoothing.^^When in "Fixed-Mode Camera", Press Ctrl and Arrows left/down/right to switch view between left shoulder / central / right shoulder.
ip_tactical_controls|Έλεγχος τακτικών
ip_tactical_controls_text|Χρησιμοποίησε τους ΑΡΙΘΜΟΥΣ του πληκτρολογίου για να διαλέξεις μια μεραρχία. Πάτα 0 για να επιλέξεις όλο τον στρατό σου.^^Χρησιμοποίησε F1-F4 για να διατάξεις τις επιλεγμένες μεραρχίες. Κράτα πατημένο το F1 για να τοποθετήσεις τις επιλεγμένες μεραρχίες. Μπορείς να στοχεύσεις μια αντίπαλη μεραρχία με αυτό τον μηχανισμό.
ip_division_placement|Τοποθέτηση Μεραρχίων
ip_division_placement_text|Όταν ΜΙΑ μεραρχία είναι επιλεγμένη, το κέντρο της μπροστινής της γραμμής είναι τοποθετημένο στο μέρος το οποίο υποδεικνύεται.^^Όταν ΠΟΛΛΕΣ μεραρχίες είναι επιλεγμένες, μπορούν να διαχωριστούν και να απλωθούν σαν να στεκόταν ο παίκτης στο μέρος που υποδεικνύετα.^^Ένας μπορεί να απομνημονεύσει την τοποθέτηση τον επιλεγμένων μεραρχιών σχετιζόμενες με τον παίκτη πατόντας F2,F7. Προκαθορισμένο είναι το πεζικό στα αριστερά, ιππικό στα δεξιά, και τοξότες μπροστά. Η τοποθέτηση καταπατείτε για οποιαδήποτε μεραρχία αν ο παίκτης διαλέξει να διατρέξει το Μενού επιλογών Σχηματισμών.^^Αν είναι ενεργή η ρύθμιση του μενού στρατοπέδου, οι μεραρχίες θα στραφούν για να κοιτάξουν τους εχθρούς. Αλλιώς, θα συνεχίσουν να κοιτάν εκεί οπού όρισε ο παίκτης όταν τοποθετήθηκαν.
ip_formations|Σχηματισμοί
ip_formations_text|Οι πολύπλοκοι σχηματισμοί στο μενού της μάχης είναι:^^- ΓΡΑΜΜΕΣ με τις καλύτερες μονάδες μπροστά^- ΤΟΙΧΟΣ ΑΣΠΙΔΩΝ, γραμμές με ασπίδες μπροστά και μακρύτερα όπλα πίσω^- ΑΙΧΜΗ με τα καλύτερα στρατεύματα μπροστά^- ΤΕΤΡΑΓΩΝΟ χωρίς κάποια διάταξη^- ΧΩΡΙΣ ΣΧΗΜΑΤΙΣΜΟ^^Ακόμη και στην τελευταία περίπτωση, ο παίκτης μπορεί να σχηματίσει τέσσερις σειρές διατάζοντας τις μονάδες του να συμπτυχθούν αρκετές φορές.
