fac_no_faction|Sense facció
fac_commoners|Plebeus
fac_outlaws|Salvatges i Bandits
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlorien
fac_imladris|Imladris
fac_woodelf|Elfs de Mirkwood
fac_dale|Dale
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Muntanya Gundabad
fac_dunland|Dunlendians
fac_beorn|Beornians
fac_player_supporters_faction|Facció del Jugador
fac_player_faction|Facció del Jugador
fac_brigands|Roders
fac_tribal_orcs|Orcs Tribals
fac_innocents|Innocents
fac_merchants|Mercaders
fac_manhunters|Caça-homes
fac_deserters|Dessertors
fac_mountain_bandits|Bandits de la Muntanya
fac_forest_bandits|Bandits del Bosc
