
str_yes|する
str_no|しない
str_noone|空
str_s50_comma_s51|{s50}、 {s51}
str_s50_and_s51|{s50}、 および{s51}
str_s5_s_party|{s5}の部隊
str_s5_s_host|{s5}の部隊
str_given_by_s1_at_s2|{s2}にて、 {s1}より請け負う
str_given_by_s1_in_wilderness|野外にて、 {s1}より請け負う
str_s7_raiders|{s7}遊撃隊
str_bandits_eliminated_by_another|迷惑な野盗は、他のパーティによって倒されました。
str_msg_battle_won|戦いに勝利しました！ 終了するにはTABキーを押してください・・・
str_tutorial_map1|これは大陸の地図です。 マップ上を左クリックすると、 あなたのパーティはそこを目指して移動をしたり、 町の中へ入ったり、 選択されたパーティを追跡したりします。 この画面のときに、 パーティが移動もせず、 待機中でも休息中でもない場合は、 時間の流れは止まった状態になります。 スペースキーを押している間は、 パーティがその場に立ち止まった状態でも、 時間だけは流れていきます。
str_accept|受け入れる
str_charge|突撃
str_color|色
str_flip_horizontal|水平反転
str_flip_vertical|上下反転
str_hold_fire|攻撃止め
str_blunt_hold_fire|殴打 / 攻撃止め
str_tutorial_ammo_refilled|矢弾が補充されました。
str_tutorial_failed|今回は失敗しましたが、気にすることはありません。 よく注意を払って指示に従えば、もっとうまくやれるはずです。 Tabキーを押すと戻れるメニュー画面からこのチュートリアルに再挑戦できます。
str_tutorial_1_msg_1|このチュートリアルでは、移動と戦闘の基本を学びます。 まずはこの部屋にある旗を見つけて、その上に移動しましょう。 Tabキーを押せば、いつでもこのチュートリアルを終了できますし、 またゲーム中の他のエリアからも退出できます。 さあ旗へ移動しましょう。
str_tutorial_1_msg_2|よくできました。次は武器による攻撃です。 このチュートリアルで必要なため、あなたは今、 弓と矢、それと剣と盾を装備しています。 武器スロットに設定されている武器の切り替えは、 マウスのスクロールで行うことができます。 標準の設定では、上スクロールで武器を順番に切り替え、 下スクロールで盾を手に持ちます。 すでに盾を手に持っている場合は、 下スクロールで盾を仕舞います。 スクロールで手に持つ装備を切り替えてみてください。 準備ができたら、旗へ移動して次へ進みましょう。
str_tutorial_1_msg_3|素晴らしい。次は近接武器による攻撃を学びます。 今手に持っている武器で攻撃を行うには、マウスの左ボタンを使います。 ボタンを押した状態で振りかぶり、ボタンを離すと振り下ろします。 ボタンをしばらくの間長押ししてからボタンを離すと、より強い一撃になります。 さあ剣を抜いて、この部屋にあるよっつの人形を破壊してください。
str_tutorial_1_msg_4|お見事！よっつすべての人形を破壊しました。 では次の部屋へ進みましょう。
str_tutorial_1_msg_5|ご覧の通りに、部屋の反対側に弓の的があります。 次の課題は、弓を使ってあの的に矢を3本当てることです。 マウスの左ボタンを押したままの状態を維持する事で矢をつがえます。 その後にマウスの左ボタンを離すと、矢を放ちます。 画面中央に表示されるレティクルを見ると、あなたの射撃の精度がわかります。 高い精度を得るには、レティクルが最小の状態になったときに矢を放ちます。 さあ的をめがけて射撃をしてみましょう。
str_tutorial_1_msg_6|上出来です！これであなたは移動と攻撃の基本を学びました。 ちょっと練習をすれば、すぐに習得できるでしょう。 2番目のチュートリアルでは、さらに高度な戦闘技術を学び、 武装した相手と対峙することができます。 Tabキーを押せば、いつでもチュートリアルメニューに戻れます。
