p_temp_party|temp party
p_camp_bandits|camp bandits
p_temp_party_2|temp party 2
p_temp_casualties|casualties
p_temp_casualties_2|casualties
p_temp_casualties_3|casualties
p_temp_wounded|enemies wounded
p_temp_killed|enemies killed
p_main_party_backup| 
p_encountered_party_backup| 
p_collective_friends_backup| 
p_player_casualties| 
p_enemy_casualties| 
p_ally_casualties| 
p_collective_enemy|collective enemy
p_collective_ally|collective ally
p_collective_friends|collective ally
p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|West Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Hornburg
p_town_east_emnet|East Emnet
p_town_westfold|Westfold
p_town_west_emnet|West Emnet
p_town_eastfold|Eastfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul
p_town_cirith_ungol|Orc Patrol Camp
p_town_east_osgiliath|East Osgiliath
p_town_orc_sentry_camp|Orc Sentry Camp
p_town_isengard|Isengard
p_town_urukhai_outpost|Uruk Hai Outpost
p_town_urukhai_h_camp|Uruk Hai Hunting camp
p_town_urukhai_r_camp|Uruk Hai River camp
p_town_caras_galadhon|Caras Galadhon
p_town_cerin_dolen|Cerin Dolen
p_town_cerin_amroth|Cerin Amroth
p_town_thranduils_halls|Thranduil's Halls
p_town_woodelf_camp|Woodelf Camp
p_town_woodelf_west_camp|Woodelf West Camp
p_town_woodsmen_village|Woodsmen Village
p_town_beorning_village|Beorning Village
p_town_beorn_house|Beorn's House
p_town_moria|Gates of Moria
p_town_troll_cave|Troll Cave
p_town_dale|Dale
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Dunlander Camp
p_town_harad_camp|Haradrim Camp
p_town_khand_camp|Khand Camp
p_town_umbar_camp|Corsair Camp
p_town_imladris_camp|Rivendell Camp
p_town_dol_guldur|Dol Guldur
p_town_dol_guldur_north_outpost|Dol Guldur North Outpost
p_town_rhun_main_camp|Main Rhun Camp
p_town_rhun_south_camp|Rhun Southern Outpost
p_town_rhun_north_camp|Rhun Northern Outpost
p_town_gundabad|Gundabad
p_town_gundabad_ne_outpost|Gundabad NE Outpost
p_town_gundabad_nw_outpost|Gundabad NW Outpost
p_town_goblin_north_outpost|Goblin Northern Outpost
p_town_goblin_south_outpost|Goblin Southern Outpost
