qstr_Received_{reg0}_dama|Received {reg0} damage.
qstr_Siege_Weapon_damaged|Siege Weapon damaged {reg10} agents
qstr_Gate_is_breached!|Gate is breached!
qstr_Gate_opens..._You_ha|Gate opens... You have reached the most sacred place in Middle Earth!
qstr_Secret_place_discove|Secret place discovered!
qstr_hit!|hit!
qstr_Next_Page|Next Page
qstr_Action|Action
qstr_Mount|Mount
qstr_Attack_Type|Attack Type
qstr_Hold_This_Position|Hold This Position
qstr_Follow_Me|Follow Me
qstr_Charge|Charge
qstr_Advance|Advance
qstr_Fall_Back|Fall Back
qstr_Stand_Closer|Stand Closer
qstr_Spread_Out|Spread Out
qstr_Stand_Ground|Stand Ground
qstr_Dismount|Dismount
qstr_Use_Any_Weapon|Use Any Weapon
qstr_Use_Blunt_Weapons|Use Blunt Weapons
qstr_Hold_Your_Fire|Hold Your Fire
qstr_Fire_At_Will|Fire At Will
qstr_Us|Us
qstr_Allies|Allies
qstr_Enemies|Enemies
qstr_Ready|Ready
qstr_Wounded|Wounded
qstr_Dead|Dead
qstr_Routed|Routed
qstr_Number_of_men_knocke|Number of men knocked down: {reg1}
qstr_Number_of_men_left:_|Number of men left: {reg1}
qstr_Opponents_Beaten:_{r|Opponents Beaten: {reg1}
qstr_Opponents_Remaining:|Opponents Remaining: {reg1}
qstr_Gauntlet_wave:_1|Gauntlet wave: 1
qstr_Gauntlet_wave:_{reg1|Gauntlet wave: {reg1}
qstr_Remain_in_retirement|Remain in retirement.
qstr_Go_back_to_the_adven|Go back to the adventuring.
qstr_swy_ui_opacity|swy ui opacity
qstr_______|      
qstr_A_peaceful_village_n|A peaceful village not far from Westfold...
qstr_The_War_is_upon_Roha|The War is upon Rohan!
qstr_Minas_Tirith___The_W|Minas Tirith - The White City
qstr_The_White_Tree_stand|The White Tree stands dead since the line of the Kings had failed
qstr_And_the_Shadow_grows|And the Shadow grows ever stronger in the East
qstr_Minas_Morgul___City_|Minas Morgul - City of the Nazgul
qstr_Sauron_s_armies_marc|Sauron's armies march into War!
qstr_Adventurers_at_audie|Adventurers at audience with Steward Denethor...
qstr___What_business_do_y| 'What business do you have here, supplicants?'
qstr___Your_Stewardship_w| 'Your Stewardship, we have come from distant lands to... jump!'
qstr___Enough_of_this_mad| 'Enough of this madness! Guards!!'
qstr___I_ve_had_enough_of| 'I've had enough of these pranks... The next bunch would have to kneel!'
qstr_Chest|Chest
qstr_Cape|Cape
qstr_Arms|Arms
qstr_Thighs|Thighs
qstr_Legs|Legs
qstr_Rotate|Rotate
qstr_Rotation={reg0}|Rotation={reg0}
qstr_{s30}|{s30}
qstr_{s1}|{s1}
qstr_Close|Close
qstr_Faction_Side:^^Campa|Faction Side:^^Campaign Difficulty*:^^Home Theater:^^Marshall:^^Enemies:^^
qstr_Campaign_Difficulty_|Campaign Difficulty is based on starting faction strength, theater enemies,^ and faction troop tree & troop equipment.
qstr_{s2}|{s2}
qstr_Rallies:|Rallies:
qstr_View_Keybinds__Press|View Keybinds (Press Insert)
qstr_{reg75}|{reg75}
qstr_What_do_you_fight_fo|What do you fight for?
qstr_Go_Back...|Go Back...
qstr_Learn_about_the_diff|Learn about the different factions of Middle-Earth
qstr_The_DAWN_of_a_New_Er|The DAWN of a New Era
qstr_The_TWILIGHT_of_Man|The TWILIGHT of Man
qstr_Select_your_Race?|Select your Race?
qstr_Man|Man
qstr_Elf|Elf
qstr_Dwarf|Dwarf
qstr_Whom_Do_You_Serve?|Whom Do You Serve?
qstr_SAURON_of_Mordor_The|SAURON of Mordor, The Lord of the Rings
qstr_SARUMAN_of_Isengard_|SARUMAN of Isengard, The White Hand
qstr_an_ORC^_serving_the_|an ORC,^ serving the Lidless Eye
qstr_an_URUK^_the_new_bre|an URUK,^ the new breed of Orcs
qstr_a_MAN^_subjugated_by|a MAN,^ subjugated by Sauron
qstr_an_ORC^_serving_the_W|an ORC,^ serving the White Hand
qstr_one_of_the_URUK_HAI^|one of the URUK-HAI,^ bred in Isengard
qstr_a_MAN_of_Dunland^_th|a MAN of Dunland,^ the Western Plains
qstr__rev_?_wb__dev_^_Bui| rev ¿? wb | dev ^ Built 2024-06-16 07:46   
qstr_Click_the_center_but|Click the center button to toggle faction^Click the avatars to view details of them
qstr_Level:_{reg3}^Health|Level: {reg3}^Health: {reg4}
qstr_Attributes|Attributes
qstr_STR^AGI^INT^CHA|STR^AGI^INT^CHA
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|Skills
qstr_Ironflesh^Power_Stri|Ironflesh^Power Strike^Power Throw^Power Draw^Shield^Athletics^Riding^Horse Archery
qstr_Proficiencies|Proficiencies
qstr_1H_Weapons^2H_Weapon|1H Weapons^2H Weapons^Polearms^Archery^Crossbows^Throwing
qstr_Equipment|Equipment
