fac_no_faction|Không thuộc phe phái
fac_commoners|Dân thường
fac_outlaws|Sơn tặc
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlorien
fac_imladris|Imladris
fac_woodelf|Vương quốc Cây
fac_dale|Thung lũng
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Mt. Gundabad
fac_dunland|Dunland
fac_beorn|The Vale of Anduin
fac_player_supporters_faction|Phe phái của bạn
fac_player_faction|Phe phái của bạn
fac_brigands|Lữ đoàn
fac_tribal_orcs|Bộ tộc Orc
fac_innocents|Vô tội
fac_merchants|Thương nhân
fac_manhunters|Thợ săn
fac_deserters|Lính đào ngũ
fac_mountain_bandits|Sơn tặc
fac_forest_bandits|Lâm tặc
