ip_formations_and_morale|Formações e Moral
ip_formations_and_morale_text|Suas tropas irão posicionar-se e segurar no início de cada batalha, em vez de carregamento cegamente. Apenas principais facções (todos os 18 deles) usam formações (+ desertores), bandidos simplesmente irão cobrar. Há uma pequena diferença entre facções do bem e do maus, boa infantaria irá formar paredes de escudo (geralmente defensiva - blindado tropas primeiro, mas pode dar forma a uma falange se tiver lanceiros), enquanto a infantaria mal formarão fileiras (melhores tropas primeiro). Formações só funcionam em batalhas de campo (ou seja, não em batalhas personalizadas e cercos). ^ ^ qualquer hora no jogo que você tem uma formação formar ou "Hold", instituirá perto a posição que o jogador tinha quando o comando foi emitido: infantaria para a esquerda, a cavalaria para a direita e os arqueiros à frente. Além disso, as formações podem manter a mesma face que o jogador tinha (dependendo do projeto mod). Sempre que uma unidade primeiro constitui uma formação específica, as tropas podem espalhar para facilidade de juntar-se (dependendo do projeto mod). As tropas do jogador começam cada batalha em formação. A não ser alterados pelo projeto mod, teclas de formação são: "J" para "K" patentes para arma com base em patentes (shieldwall, falange), "L" para Cunha (o jogador deve reatribuir o "L" para "Log" mapeamento) ";" para a praça, "U" sem formação (formação de desfazer). O comando "fileiras" para arqueiros coloca-los em uma linha escalonada. Cavalaria não fará qualquer formação que não sejam a cunha... ^ ^ carga (e desmonte para a cavalaria) irão desfazer uma formação. O jogador pode avançar várias vezes para ter uma formação a mover-se para a posição do inimigo. Ou use o painel de ordem ou segure-F1 para colocá-los (ou varrê-los do outro lado o inimigo para a vitória de cavalaria). Como um líder é sua responsabilidade manter suas tropas em ordem durante a batalha. As mais baixas de seu lado sofre, mais a sua moral se desfaz. Continuem assistindo para mensagens aparecendo! Você pode apoiar suas tropas de duas maneiras: ^ ^ 1. Inimigos de morte. Se você faz bem, te impressiona seus homens e eles lutam mais e não fogem. ^ ^ 2. Reunindo-os. Se as tuas tropas estão fugindo, pressione "V". Seu personagem será uma sirene e reunir as tropas. Se apenas uma quantidade limitada de comícios por batalha! (a quantidade é baseada em seu carisma e liderança) ^ ^ pode ser bastante a vantagem se você conseguir derrotar o comandante inimigo, porque que rouba os inimigos de seu líder, eles não podem ser reuniram-se. Portanto, uma vez que você conseguir derrota-los, eles se foram.
ip_economy|Economia
ip_economy_text|Não há dinheiro no TLD. Em vez disso você desenvolver relacionamentos com facções - representadas por recursos, influência e Rank... ^ ^ os recursos são o que é necessário para sustentar a facção em guerra - você pode resgatar sucatas saqueadas e itens para isso e você também são dado um certo número de subsídio recurso cada semana dependendo da sua classificação dentro de uma facção. Você pode usar este subsídio conseguir soldados, engrenagem, cavalos para você ao comando e companheiros para segui-lo, mas só se você acumulada suficiente. Você tem um recurso separado/influência/rank piscina para cada facção, lembre-se disso! ^ influência os pontos são concedidos para o acabamento de missões e ganhar batalhas difíceis. Eles podem mais tarde ser gastos em itens especiais como recompensa dos governantes das facções tem a influência com. ^ ^ pontos de classificação permitem subir nas fileiras de sua facção - isto irá determinar seu tamanho máximo partido, semanalmente recurso renda e desbloquear outras coisas... ^ devido a ser fiel à tradição, nós também desativou por padrão a opção do chamado "cross-dressing" : um Gondorian provavelmente não usaria nunca armadura orc saqueado e vice-versa. Depois da maioria das batalhas, você encontrará itens poucos ou nenhum no saque, que pode ser usado diretamente. Em vez disso, 'sucatas metálicas"são descartados, que representam o equipamento pode ser salvo e pode então ser dada para seus ferreiros que requerem, para pontos de recurso.
ip_war_of_the_ring|Guerra do anel
ip_war_of_the_ring_text|No início do jogo a guerra entre o bem e o mal ainda não começou. Você será notificado quando ele faz. (Isto não depende tempo gasto jogando, bastante sobre como preparar seu personagem é para a guerra.) Enquanto a Terra-média pode parecer um lugar muito vazio e tranquilo no início, fica cheio de partes hostis muito rapidamente uma vez do início da guerra. Prepare-se e usar seus dias de paz sabiamente! Você pode executar missões para os senhores e os líderes das facções aliadas tudo, levantar tropas e treinar-se no quartel. ^ ^ a própria guerra pode ser ganha ou perdida, ao contrário no original M & B. Cada facção tem um rating de força - que muda de acordo com a facção sucessos ou fracassos em batalhas. Com queda de força bastante baixa, torna-se possível para os inimigos para sitiar cidades/campos de facção. Quando uma facção cai para o status mais baixo, é possível derrotá-lo completamente por atacar a capital... ^ ^ nota que o jogador se não é possível iniciar cercos no TLD. Ele só pode ajudar sua facção e aliados em batalhas de cerco se seus dirigentes decidem que é hora de ir atacar o inimigo liquidação. ^^(This is a design decision, not a bug. Também é algo que queremos ajustar no futuro versões, então a opção de cerco é disponível, mas muito caro e difícil de obter) ^ ^ há vários teatros de guerra no TLD, definido pela geografia. Quando um lado elimina todos os inimigos em seu teatro atual, ele vai enviar uma força expedicionária para ajudar aliados em outros teatros. Força expedicionária vai construir um campo de avanço no outro teatro e operar a partir de lá. Se as forças do bem estão completamente derrotadas, mas Mordor e Isengard ainda estão de pé forte, as duas torres vão disputar entre si sobre o domínio total.
ip_starting_tips|Inicio Dicas
ip_starting_tips_text|Você escolhe a sua facção no início e você não pode mudá-lo mais tarde. Você também pode escolher entre raças diferentes: homens, elfos, anões, uruks, uruk-hais ou orcs. Lembre-se que tanto a facção e a raça que você escolher irá limitá-lo em determinadas maneiras. Algumas facções fornecem excelentes soldados, mas em pequenas quantidades. Alguns têm tropas fracas, mas você pode contratar muitos. Orcs menores não podem usar armaduras projetadas para grandes caras, mas pode montar algumas bestas em vez disso. Anões tem engrenagem excepcional, mas não pode montar montagens... ^ ^ isso não é projetado para ser totalmente equilibrada (artificialmente). Jogar mais fraco raças ou facções pode ser mais difícil (como um jogo de primeiro, convém preferir opções, no menu inicial, que é colocado no topo da lista de alternativas). ^ ^ você escolhe uma facção e que lutar por isso até seu lado ganha a grande guerra, ou até sua facção Obtém dizimada. Nesse caso você pode ainda continuar a lutar por seus aliados... ^ ^-vagando sem rumo não é uma boa idéia, a guerra exige finalidade e intenção de sua parte. Antes da guerra começar, você está tentando montar um grupo de guerreiros, se os companheiros de baixa exigência e alguns equipamentos para estar pronto. Depois que a guerra começa, podem variar suas estratégias. Lembre-se, é importante para ambos ajudar seus aliados e derrubar o inimigo... ^-fazer missões para facção Lordes é uma boa maneira para subir na classificação e para obter recursos e influenciar pontos. ^-tomar várias missões/quests no momento, peço a todos! Você pode muitas vezes "fazer as rondas" e tem vários outros feito ao entregar uma carta, por exemplo. Não perca tempo!
ip_rumours_and_legendary_places|Boatos e lugares lendários
ip_rumours_and_legendary_places_text|Falar com pessoas em assentamentos, você pode ler o comentário da perspectiva de sua facção. Isto geralmente contêm lendas interessantes e às vezes até informações desbloquear locais lendários especial sobre o mapa do mundo. ^ ^ alguns destes são apenas para a exploração e não servem qualquer outra finalidade, alguns deles contêm quests exclusivas e ovos de Páscoa. Quando você desbloquear um, você será notificado por uma mensagem.
ip_trolls|Trolls
