str_yes|Sim.
str_no|Não.
str_noone|ninguém
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} e {s51}
str_s5_s_party|{s5} Festa
str_s5_s_host|{s5} Anfitrião
str_given_by_s1_at_s2|Entregue Por {s1} Em {s2}
str_given_by_s1_in_wilderness|Entregue Por {s1} Em Campo Aberto
str_s7_raiders|{s7} Bandidos
str_bandits_eliminated_by_another|Os bandidos foram eliminados por outras tropas 
str_msg_battle_won|Vitoria! Aperte tab para sair
str_tutorial_map1|Você agora está no mapa terrestre, com o clique esquerdo do mouse você moverá suas tropas, entrara em uma cidade ou atacara tropas inimigas, o jogo irá pausar quando suas tropas não se movimentarem, esperarem ou descansarem. Para esperar por qualquer coisa aperte E e segure a barra de espaço.
str_accept|Aceito
str_charge|Atacar!!!
str_color|Cor
str_flip_horizontal|Virar Na Horizontal
str_flip_vertical|Virar Na Vertical
str_hold_fire|Não Atirem!!!
str_blunt_hold_fire|Parar!!!
str_tutorial_ammo_refilled|Recarregem!!!
str_custom_battle_1|Capitão Malvogil e sua companhia de Gondor interceptaram um grupo de reforço de Harad. Gritando seu grito de guerra, ele estimula seu cavalo para a frente e leva seus homens leais a uma batalha feroz.
str_custom_battle_2|Celeborn de Lorien está conduzindo uma patrulha de cavaleiros e arqueiros, quando o vigia a frente traz um aviso de que uma força dos ash-faced Homens Malignos se aproxima. São os temidos Numenoreanos! Aqueles que não foram vistos perto de Lothlórien por eras, mas agora eles devem ser conduzidos de volta para o Neverworld.
str_custom_battle_3|O Lorde Grimbold de Rohan está liderando a última defesa dos muros contra um exército de Isengard. Agora, como os sitiantes se preparam para um ataque final sobre os muros, ele irá manter os muros com Coragem e Aço Brilhante.
str_custom_battle_4|Quando os batedores informaram Lorde Beranhelm da aproximação de uma falange Rhun, ele decide rapidamente preparar as defesas de seu acampamento e tentar segurar contra números superiores.
str_custom_battle_5|Ugkuk trouxe seus poderosos orcs para o oeste com a promessa de saque.Se ele conseguir tomar esse forte dos anões hoje, seus mestres em Barad-Dur ficarão altamente satisfeitos.
str_custom_battle_6|Ugluk e seu esquadrão orc de saqueadores foram tão perspicazes quanto possível escapando das patrulhas élficas, mas sorte não dura pra sempre, e aparenta que esses pálidos nojentos irão receber o que merecem agora.
str_custom_battle_7|Corsários criaram seu acampamento nas margens do Gondor! Como eles ousam. Vamos atacá-los antes que cheguem reforços e expulsá-los para o mar, onde eles pertencem.
str_finished|(Terminado)
str_delivered_damage|Causou {reg60} de dano
str_archery_target_hit|Distancia: {reg61} Jardas. Pontuação {reg60}
str_use_baggage_for_inventory|Use sua Bagagem para acessar seu inventario durante a batalha (está na sua posição inicial)
str_cant_use_inventory_now|Não pode acessar o inventario agora
str_cant_use_inventory_arena|Não pode acessar o inventario na arena
str_cant_use_inventory_disguised|Não pode acessar o inventario enquanto está disfarçado
str_cant_use_inventory_tutorial|Não pode acessar o inventario no Campo de Treinamento
str_1_denar|1 Ponto de Recurso
str_reg1_denars|{reg1} Pontos de Recurso
str_january_reg1_reg2|T.A.{reg2} Narvinyë {reg1} (Janeiro)
str_february_reg1_reg2|T.A.{reg2}, Nénimë {reg1} (Fevereiro)
str_march_reg1_reg2|T.A.{reg2}, Súlìmë {reg1} (Março)
str_april_reg1_reg2|T.A.{reg2}, Víressë {reg1} (Abril)
str_may_reg1_reg2|T.A.{reg2}, Lótessë {reg1} (Maio)
str_june_reg1_reg2|T.A.{reg2}, Náríë {reg1} (Junho)
str_july_reg1_reg2|T.A.{reg2}, Cermië {reg1} (Julho)
str_august_reg1_reg2|T.A.{reg2}, Urimë {reg1} (Agosto)
str_september_reg1_reg2|T.A.{reg2}, Yavannië {reg1} (Setembro)
str_october_reg1_reg2|T.A.{reg2}, Narquelië {reg1} (Outubro)
str_november_reg1_reg2|T.A.{reg2}, Hísimë {reg1} (Novembro)
str_december_reg1_reg2|T.A.{reg2}, Ringarë {reg1} (Dezembro)
str_calendar_spec_day_1|T.A.{reg2}, Yestarë (Primeiro Dia)
str_calendar_spec_day_2|T.A.{reg2}, Tuilérë (Dia de Primavera)
str_calendar_spec_day_3|T.A.{reg2}, Loëndë (Dia-do-meio-do-ano)
str_calendar_spec_day_4|T.A.{reg2}, Yáviér (Dia da Coilehita)
str_calendar_spec_day_5|T.A.{reg2}, Mettarë (Último Dia)
str_town_nighttime|É tarde da noite
str_door_locked|A porta está fechada
str_castle_is_abondened|O castelo parece estar desocupado.
str_town_is_abondened|A cidade está sem guarnição para defendê-la.
str_place_is_occupied_by_player|O lugar é mantido por suas próprias tropas.
str_place_is_occupied_by_enemy|O lugar é mantido por tropas hostis.
str_place_is_occupied_by_friendly|O lugar é mantido por tropas amigas.
str_do_you_want_to_retreat|Você tem certeza que quer retirar-se?
str_give_up_fight|Desistir da luta?
