menu_start_game_1|^^^^^^^^^^Pelo que você está lutando?
mno_start_good|O AMANHECER de uma nova Era
mno_start_evil|O CREPÚSCULO do Homem
mno_go_bback|Volte
menu_start_phase_2|^^^^^ A Terra Média. Uma sombra está crescendo ao Leste, ^ e coisas obscuras têm saído de onde vinham se escondendo há muito tempo. ^ As pessoas livres se preparam para uma guerra do tipo que não se vê há uma era. ^ Homens, Elfos, Anões, e Orcs; todos farão a sua parte. ^^  Qual parte, no entanto, está para ser vista...
mno_go_forth|Vá em frente com o seu plano escolhido...
menu_start_game_3|^^^^^^^^Escolha o seu cenário:
mno_custom_battle_scenario_1|Skirmish, facções de Gondor vs Harad
mno_custom_battle_scenario_12|Escolha as facções para a batalha
mno_custom_battle_scenario_3|Skirmish, Elfos vs Numenorianos Negros
mno_custom_battle_scenario_4|Abismo de Helm, Rohan vs Isengard
mno_custom_battle_scenario_5|Skirmish, facções do Norte vs Rhun
mno_custom_battle_scenario_6|Cerco, Orcs vs Anões
mno_custom_battle_scenario_7|Emboscada, Orcs vs Floresta das Trevas
mno_custom_battle_scenario_11|Batalhas teste (Tune Balancing!)
mno_custom_battle_scenario_10|Batalha teste de cenário
mno_troll_battle_scenario|Batalha teste do Troll
mno_warg_battle_scenario|Batalha teste dos wargs
mno_build_your_own_scene|** Construa o seu próprio cenário para TLD **
menu_tutorial|^^TLD possui um monte de conteúdo desconhecido pelo nativo M&B. Podem-se encontrar descrições,  com detalhes e sem spoilers, no PDF incluso nesta versão. Para um tutorial dos mecanismos básicos do jogo, por favor, utilize o modo Nativo.
menu_tutorial|^^TLD possui um monte de conteúdo desconhecido pelo nativo M&B. Podem-se encontrar descrições,  com detalhes e sem spoilers, no PDF incluso nesta versão. Para um tutorial dos mecanismos básicos do jogo, por favor, utilize o modo Nativo.
mno_tutorial_1|Tutorial #1: Movimento básico e seleção de armas. {s1}
mno_tutorial_2|Tutorial #2: Lutando com um escudo. {s2}
mno_tutorial_3|Tutorial #3: Lutando sem um escudo. {s3}
mno_tutorial_3b_door|próximo nível
mno_tutorial_4|Tutorial #4: Cavalgando um cavalo ou warg. {s4}
mno_tutorial_5|Tutorial #5: Comandando um bando de soldados. {s5}
mno_go_back_dot|Volte.
mno_action_view_troop_trees|Ver lista de tropas.
mno_view_upkeep_costs|Ver custos de manutenção.
