skl_trade|Barganha
skl_trade_desc|Faz possível poder clamar mais equipamentos por menos Pontos de Recurso. (Habilidade de Grupo)
skl_leadership|Liderança
skl_leadership_desc|Cada ponto aumento o númenro máximo de tropas que você pode comandar por 5, aumenta a moral do grupo e reduz os custos de tropas por 5%%. (Habilidade do Líder)
skl_prisoner_management|Gestão de Prisioneiros
skl_prisoner_management_desc|Cada nível dessa habilidade aumenta o número máximo de prisioneiros por %d. (Habilidade do Líder)
skl_persuasion|Sobrevivência na Natureza
; skl_persuasion_desc|The ability to survive in the wilderness and bend it to your will. This skill affects the party's ability to hide from the enemy, and the party's speed while in wooded terrain. (Party skill)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|Primeiros Socorros
skl_first_aid_desc|Heróis recuperam 5%% de HP por ponto de habilidade perdidos durante a missão. (Habilidade de Grupo)
skl_surgery|Cirurgia
skl_surgery_desc|Cada ponto nessa Habilidade lhe dá 4%% de chance de que um membro do grupo que sofreu ferimentos mortais fiquem apenas feridos, ao invés de morrer. (Habilidade de Grupo)
skl_wound_treatment|Tratamento de feridas
skl_wound_treatment_desc|Velocidade de Regeneração do grupo é aumentada por 20%% para cada nível desta habilidade. (Habilidade de Grupo)
skl_inventory_management|Gestão de Inventário
skl_inventory_management_desc|Aumenta a capacidade de inventário por +6 a cada ponto nesta habilidade. (Habilidade do Líder)
skl_spotting|Observação
skl_spotting_desc|Capacidade de observação do grupo é aumentado por 10%% por ponto de habilidade. (Habilidade do Grupo)
skl_pathfinding|Cria-Trilhas
skl_pathfinding_desc|A velocidade do grupo no mapa é aumentado por 3%% por ponto de habilidade. (Habilidade do Grupo)
skl_tactics|Táticas
skl_tactics_desc|A cada dois níveis desta habilidade, aumenta a vantagem inícial de batalha por 1. (Habilidade de Grupo)
skl_tracking|Rastreamento
skl_tracking_desc|Rastros se tornam mais informativos.(Habilidade de Grupo)
skl_trainer|Treinador
skl_trainer_desc|Todo dia, cada herói com esta habilidade adiciona experiência a todos os outros membros do grupo que sejam de um nível menor que ele/ela. Experiência ganha por nível: {0,4,10,16,23,30,38,46,55,65,80}. (Habilidade Pessoal)
skl_looting|Saqueamento
skl_looting_desc|Esta habilidade aumenta a quantidade de saque obtido por 10%% por nível. (Habilidade de Grupo)
skl_horse_archery|Tiro à Cavalo
skl_horse_archery_desc|Reduz penalidades de dano e precisão para arcos e armas arremessáveis quando montado. (Habilidade Pessoal)
skl_riding|Equitação
skl_riding_desc|Permite você montar em cavalos (ou outras animais) com maiores níveis de dificuldade e aumenta sua velocidade e seu manejo. (Habilidade Pessoal)
skl_athletics|Atletismo
skl_athletics_desc|Aumenta sua velocidade. (Habilidade Pessoal)
skl_shield|Escudo
skl_shield_desc|Reduz danos ao escudo(por 8%% para cada ponto de habilidade) e aumenta a velocidade e a cobertura do escudo. (Habilidade Pessoal)
skl_weapon_master|Mestre de Armas
skl_weapon_master_desc|Facilita o aprendizado de armamentos e aumenta o limite de capacidade. Limites vão por: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Habilidade Pessoal)
skl_power_draw|Poder de Puxada
skl_power_draw_desc|Permite que o personagem usem arcos mais poderosos. Cada ponto de Habilidade(mais 4 pontos fora o requerimento para uso do arco em  poder de puxada) aumenta o dano do arco em 14%%. (Habilidade Pessoal)
skl_power_throw|Poder de arremesso
skl_power_throw_desc|Cada ponto aumenta o dano de arremessáveis em 10%%. (Habilidade Pessoal)
skl_power_strike|Poder de Pancada
skl_power_strike_desc|Cada ponto nesta habilidade aumenta o dano de armas brancas em 8%%. (Habilidade Pessoal).
skl_ironflesh|Pele de Ferro
skl_ironflesh_desc|Cada ponto nesta habilidade aumenta seu HP por +2. (Habilidade Pessoal)
