imod_plain|Simples %s
imod_cracked|Rachado %s
imod_rusty|Enferrujado %s
imod_bent|Com Dobras %s
imod_chipped|Com Entalhes %s
imod_battered|Com Danos %s
imod_poor|De má qualidade %s
imod_crude|De Grosso Acabamento %s
imod_old|De Muitos Anos %s
imod_cheap|Barato %s
imod_fine|Fino %s
imod_well_made|Bem Feito %s
imod_sharp|Afiado %s
imod_balanced|Balanceado %s
imod_tempered|Temperado %s
imod_deadly|Letal %s
imod_exquisite|Requintado %s
imod_masterwork|Trabalho Excelente %s
imod_heavy|Pesado %s
imod_strong|Forte %s
imod_powerful|Poderoso %s 
imod_tattered|Esfarrapado %s
imod_ragged|Em Pedaços %s
imod_rough|Diferente %s
imod_sturdy|Resistente %s
imod_thick|Contundente %s
imod_hardened|Fortificado %s
imod_reinforced|Reforçado %s
imod_superb|Soberbo %s
imod_lordly|Magnifico%s
imod_lame|Aleijado %s
imod_swaybacked|Corcovado %s
imod_stubborn|obstinado %s
imod_timid|Medroso %s
imod_meek|Dócil %s
imod_spirited|Espirituoso %s
imod_champion|Campeão %s
imod_fresh|Fresco %s
imod_day_old|De Ontem %s
imod_two_day_old|De Anteontem %s
imod_smelling|Com Mal Cheiro %s
imod_rotten|Em Decomposição %s
imod_large_bag|Bolsa Grande De %s
