fac_no_faction|Ni skupin
fac_commoners|Običajneži
fac_outlaws|Divjaki in malopridneži
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Marka
fac_mordor|Mordor
fac_isengard|Ajzengart
fac_lorien|Lothlórien
fac_imladris|Razendel
fac_woodelf|Kraljestvo lesnih vilinov
fac_dale|Dolinje
fac_harad|Harad
fac_rhun|Vzhodnjava
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Gora Gundabad
fac_dunland|Mrkinje
fac_beorn|Anduinska dolina
fac_player_supporters_faction|Igralčeva skupina
fac_player_faction|Igralčeva skupina
fac_brigands|Rokovnjači
fac_tribal_orcs|Plemenski orki
fac_innocents|Nedolžneži
fac_merchants|Trgovci
fac_manhunters|Lovci na glave
fac_deserters|Prebežniki
fac_mountain_bandits|Gorski malopridneži
fac_forest_bandits|Gozdni malopridneži
