imod_plain|Preprost %s
imod_cracked|Slab %s
imod_rusty|Grob %s
imod_bent|Zvit %s
imod_chipped|Obkrušen %s
imod_battered|Obtolčen %s
imod_poor|Slab %s
imod_crude|Perprost %s
imod_old|Starodaven %s
imod_cheap|Cenen %s
imod_fine|Dober %s
; imod_well_made|Well Made %s
imod_sharp|Oster %s
imod_balanced|Uravnotežen %s
; imod_tempered|Tempered %s
imod_deadly|Smrtnonosen %s
; imod_exquisite|Exquisite %s
imod_masterwork|Mojstrski %s
imod_heavy|Težak %s
imod_strong|Močan %s
; imod_powerful|Powerful %s
; imod_tattered|Tattered %s
; imod_ragged|Rough %s
; imod_rough|Rough %s
; imod_sturdy|Sturdy %s
; imod_thick|Robust %s
; imod_hardened|Hardened %s
; imod_reinforced|Reinforced %s
; imod_cloak|%s with cloak
imod_lordly|Mojstrski %s
; imod_lame|Lame %s
; imod_swaybacked|Swaybacked %s
; imod_stubborn|Stubborn %s
; imod_timid|Timid %s
; imod_meek|Blood-covered %s
; imod_spirited|Spirited %s
; imod_champion|Champion %s
; imod_fresh|Fresh %s
; imod_day_old|Day-old %s
; imod_two_day_old|Two Days-old %s
; imod_smelling|Smelling %s
; imod_rotten|Rotten %s
; imod_large_bag|Large Bag of %s
