fac_no_faction|Bez frakcije.
fac_commoners|Obični ljudi
fac_outlaws|Divljaci i banditi 
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Isengard
fac_lorien|Lothlorien
fac_imladris|Imladris
fac_woodelf|Mirkwoodski Patuljci
fac_dale|Dale
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Mt. Gundabad
fac_dunland|Dunlendings
fac_beorn|Beornings
fac_player_supporters_faction|Frakcija igrača
fac_player_faction|Frakcija igrača
fac_brigands|Razbojnici
fac_tribal_orcs|Plemenske Orke
fac_innocents|Nevini
fac_merchants|Trgovci
fac_manhunters|Lovci na ljude
fac_deserters|Dezerter 
fac_mountain_bandits|Planinski razbojnici
fac_forest_bandits|Šumski razbojnici
