trp_unarmed_troop|Nenaoružani vojnik
trp_unarmed_troop_pl|Nenaoružana vojska
trp_tutorial_maceman|Buzdaš
trp_tutorial_maceman_pl|Buzdaši
trp_tutorial_archer|Strijelac
trp_tutorial_archer_pl|Strijelci
trp_tutorial_swordsman|Mačevalac
trp_tutorial_swordsman_pl|Mačevaoci
trp_novice_fighter|Neiskusni borac
trp_novice_fighter_pl|Neiskusni borci
trp_regular_fighter|Kvalificirani Borac
trp_regular_fighter_pl|Kvalificirani Borci
trp_veteran_fighter|Iskusni Borac
trp_veteran_fighter_pl|Iskusni Borci
trp_champion_fighter| Prvak
trp_champion_fighter_pl|Prvaci
trp_arena_training_fighter_1|Neiskusni borac\n
trp_arena_training_fighter_1_pl|Neiskusni borci 
trp_arena_training_fighter_2|Neiskusni borac 
trp_arena_training_fighter_2_pl|Neiskusni borci 
trp_arena_training_fighter_3|Kvalificirani Borac
trp_arena_training_fighter_3_pl|Kvalificirani Borci
trp_arena_training_fighter_4|Kvalificirani Borac 
trp_arena_training_fighter_4_pl|Kvalificirani Borci
trp_arena_training_fighter_5|Kvalificirani Borac 
trp_arena_training_fighter_5_pl|Kvalificirani Borci 
trp_arena_training_fighter_6|Veteran
trp_arena_training_fighter_6_pl|Veterani
trp_arena_training_fighter_7|Veteran
trp_arena_training_fighter_7_pl|Veterani
trp_arena_training_fighter_8|Veteran
trp_arena_training_fighter_8_pl|Veterani
trp_arena_training_fighter_9|Prvak
trp_arena_training_fighter_9_pl|Prvaci
trp_arena_training_fighter_10|Prvak
trp_arena_training_fighter_10_pl|Prvaci
trp_cattle|Stoka
trp_cattle_pl|Stoka
trp_farmer|Zemljoradnik
trp_farmer_pl|Zemljoradnici
trp_townsman|Građanin
trp_townsman_pl|Građani
; trp_watchman|Townswoman
; trp_watchman_pl|Townswomen
trp_i1_woodmen_man|Woodman
trp_i1_woodmen_man_pl|Woodmen
trp_i2_woodmen_forester|Woodmen Šumar
trp_i2_woodmen_forester_pl|Woodmen Šumari
trp_i3_woodmen_skilled_forester|Woodmen Iskusni Šumar
trp_i3_woodmen_skilled_forester_pl|Woodmen Iskusni Šumari
trp_i4_woodmen_axemen|Drvos
trp_i4_woodmen_axemen_pl|Šumski Sjekirač
trp_i5_woodmen_night_guard|Noćni Stražar Mirkwooda
trp_i5_woodmen_night_guard_pl|Noćni Stražari Mirkwooda
trp_a2_woodmen_tracker|Šumski Tragač
trp_a2_woodmen_tracker_pl|Šumski Tragači
trp_a3_woodmen_scout|Šumski Izviđač
trp_a3_woodmen_scout_pl|Šumski Izviđači
trp_a4_woodmen_archer|Šumski Strijelac
trp_a4_woodmen_archer_pl|Šumski Strijelci
trp_a5_woodmen_night_stalker|Noćni Stalker Mirkwooda
