menu_start_game_1|^^^^^^^^^^Za što se boriš?
mno_start_good|ZORA novog doba
mno_start_evil|SUMRAK  čovjeka
mno_faction_intros|Nauči više o različitim fakcijama Međuzemlja
mno_go_bback|Vrati se natrag
menu_start_phase_2|^^^^^ Međuzemlje. Tama se diže na Istoku,  ^ i tamne sile koje su se dugo skrivale dolaze. ^ Slobodni Narodi se spremaju za rat kakav nije viđen u dugo godina.  ^  Ljudi, Viljenjaci, Patuljci i Orci, svi imaju ulogu za odigrat.  ^^ Ali koju ulogu, to če se tek otkrit...
mno_go_forth|Slijedi svoj izabrani put...
mno_change_tld_options|Promijeni postavke TLD-a.
menu_start_game_3|^^^^^^^^Izaberi svoj scenarij:
mno_custom_battle_scenario_1|Okršaj, Frakcije Gondora protiv Harada
mno_custom_battle_scenario_12|Odaberi frakcije za bitku
mno_custom_battle_scenario_3|Okršaj, Vilenjaci protiv Crnih Numenorejaca
mno_custom_battle_scenario_4|Obrana Helmove Klisure, Rohan protiv Isengarda
mno_custom_battle_scenario_5|Okršaj, Fakcije sjevera protiv Rhûna
mno_custom_battle_scenario_6|Opsada, Orci protiv Patuljaka
mno_custom_battle_scenario_7|Zasjeda, Orci protiv Mrkodola
; mno_custom_battle_scenario_8|The Last Stand of Durin's Folk
mno_custom_battle_scenario_88|Lovljenje Orkovske Izvidničke Partije
mno_custom_battle_scenario_11|Testiraj Bitke
; mno_custom_battle_scenario_10|Scenery test battle
mno_troll_battle_scenario|Testiraj bitke sa trolovima
mno_warg_battle_scenario|Testiraj bitke sa wargovima
mno_build_your_own_scene|** Napravi svoj scenarij za TLD **
mno_go_back|Vrati se natrag
menu_tutorial|^^ Dobrodošli u Uvod za borbu u Mount & Blade. Ovdje ćeš naučit osnove borbe ali i kako zapovijedat svojim vojnicima u bitci.  
mno_tutorial_1|Uvod #1: Normalne komande kretanja i biranja oružja. {s1}
mno_tutorial_2|Uvod #2: Kako koristit štit u borbi . {s2}
mno_tutorial_3|Uvod #3: Kako se boriti bez štita. {s3}
mno_tutorial_3b_door|sljedeći level
mno_tutorial_4|Uvod #4: Kako jahati konja ili warga. {s4}
mno_tutorial_5|Uvod #5: Kako zapovijedati vojnicima. {s5}
