skinkey_chin_size|Veličina Brade
skinkey_chin_shape|Oblik brade
skinkey_chin_forward|Brada naprijed
skinkey_jaw_width|Širina čeljusti
skinkey_jaw_position|Pozicija Čeljusti
skinkey_mouth_nose_distance|Udaljenost  Usta - Nos
skinkey_mouth_width|Širina  Usta
skinkey_cheeks|Obrazi
skinkey_nose_height|Visina nosa
skinkey_nose_width|Širina nosa
skinkey_nose_size|Veličina nosa
skinkey_nose_shape|Oblik nosa
skinkey_nose_bridge|Most nosa
skinkey_cheek_bones|kosti obraza
skinkey_eye_width|Širina Očiju
skinkey_eye_to_eye_dist|Udaljenost između očiju
skinkey_eye_shape|Oblik oka
skinkey_eye_depth|Dubina Oka
skinkey_eyelids|Kapci
skinkey_eyebrow_position|Položaj obrve
skinkey_eyebrow_height|Visina obrve
skinkey_eyebrow_depth|Dubina obrva
skinkey_eyebrow_shape|Oblik obrva
skinkey_temple_width|Širina sljepoočnica
skinkey_face_depth|dubina lica
skinkey_face_ratio|Omjer lica
skinkey_face_width|Širina lica
skinkey_post_edit|Post obrada
skinkey_snout_height|Visina njuške
skinkey_snout_width|Širina Njuške
skinkey_snout_size|Veličina njuške
skinkey_snout_shape|Oblik njuške
skinkey_weight|Težina
skinkey_mouth_shape|Oblik usta
skinkey_eye_size|Veličina oka
skinkey_eye_slant|Zakrivljenost oka
skinkey_frawn|Mrštenje
skinkey_mouth_vert_pos|Usta vertikalna pozicija
skinkey_mouth_to_nose_dist|Udaljenost između usta i nosa
skinkey_chin_width|Širina  brade
