p_town_minas_tirith|Minas Tirith
p_town_pelargir|Pelargir
p_town_linhir|Linhir
p_town_dol_amroth|Dol Amroth
p_town_edhellond|Edhellond
p_town_lossarnach|Lossarnach
p_town_tarnost|Tarnost
p_town_erech|Erech
p_town_pinnath_gelin|Pinnath Gelin
p_town_west_osgiliath|Zapadni Osgiliath
p_town_henneth_annun|Henneth Annun
p_town_cair_andros|Cair Andros
p_town_calembel|Calembel
p_town_edoras|Edoras
p_town_aldburg|Aldburg
p_town_hornburg|Helmova Klisura
p_town_east_emnet|Istočni Emnet
p_town_westfold|Westfold 
p_town_west_emnet|Zapadni Emnet 
p_town_eastfold|Eastfold
p_town_morannon|Morannon
p_town_minas_morgul|Minas Morgul 
; p_town_cirith_ungol|Emyn Muil Watchtower
p_town_east_osgiliath|Istočni Osgiliath
; p_town_orc_sentry_camp|Emyn Arnen Sentry
p_town_isengard|Isengard
p_town_urukhai_outpost|Predstraža Uruk Haija
p_town_urukhai_h_camp|Lovački kamp Uruk Haija
p_town_urukhai_r_camp|Riječni kamp Uruk Haija
p_town_caras_galadhon|Caras Gladahon
p_town_cerin_dolen|Dolenov humak
p_town_cerin_amroth|Amorthov humak
p_town_thranduils_halls|Thranduillove Dveri
; p_town_woodelf_camp|Woodelf South Camp
p_town_woodelf_west_camp|Zapadni logor Šumskih vilenjaka 
p_town_woodsmen_village|Šumarsko selo
p_town_beorning_village|Selo Beorninga
p_town_beorn_house|Beornova Kuća
p_town_moria|Vrata Morie
p_town_troll_cave|Trolska špilja
p_town_dale|Dale
p_town_esgaroth|Esgaroth
p_town_dunland_camp|Logor Dunlanda
p_town_harad_camp|Logor Haradrima
p_town_khand_camp|Logor Khanda
p_town_umbar_camp|Logor pirata
p_town_imladris_camp|Logor Imladrisa
p_town_dol_guldur|Dol Guldur
; p_town_dol_guldur_north_outpost|Dol Guldur Road Outpost
p_town_rhun_main_camp|Glavni logor Rhuna
p_town_rhun_south_camp|istočna predstraža Rhuna
p_town_rhun_north_camp|Sjeverna predstraža Rhuna
p_town_gundabad|Gundabad
; p_town_gundabad_ne_outpost|Ruined Dwarf Hold
; p_town_gundabad_nw_outpost|Goblin Hideout
p_town_goblin_north_outpost|Grad Goblina
p_town_goblin_south_outpost|Južna Goblinska predstraža
p_town_gundabad_m_outpost|Gundabadova predstraža u Mirkwoodu
p_town_erebor|Erebor
; p_town_ironhill_camp|Grey Mountains Gateway
p_advcamp_gondor|Napredni logor Gondora
p_advcamp_rohan|Napredni logor Rohana
p_advcamp_isengard|Napredni logor Isengarda
p_advcamp_mordor|Napredni logor Mordor
p_advcamp_harad|Napredni logor Harada 
p_advcamp_rhun|Napredni logor Rhuna
p_advcamp_khand|Napredni logor Khanda
p_advcamp_umbar|Napredni logor Umbara
p_advcamp_lorien|Napredni logor vilenjaka iz Loriena 
p_advcamp_imladris|Napredni logor vilenjaka iz Imladrisa 
p_advcamp_woodelf|Napredni logor vilenjaka iz Mirkwooda
p_advcamp_moria|Napredni logor Orkova iz Morije
p_advcamp_guldur|Napredni logor Dol Guldura
p_advcamp_gundabad|Napredni logor Gundabaad
p_advcamp_dale|Napredni logor Dalea
p_advcamp_dwarf|Napredni logor Erebora
p_advcamp_dunland|Napredni logor Dunlanda
p_advcamp_beorn|Napredni logor Beorninga
p_argonath|Argonath
p_argonath2|Argonath
p_hand_isen|Znak s šakom Isengarda
p_mount_doom|Planina Usuda
p_town_barad_dur|Barad-dûr
p_ford_cair_andros1|Anduin
p_ford_cair_andros2|Anduin
p_ford_caras_galadhon|Anduin
p_ford_brown_lands|Anduin
p_ford_rauros|Anduin
p_ford_pelargir|Anduin
p_ford_edhellond|Anduin
p_ford_cerin_dolen|Srebrotok
p_old_ford|Old Ford
p_ford_erech|Ringlo
p_ford_isen1|Isen
p_ford_isen2|Isen
p_ford_rohan|Entwash
p_ford_rohan2|Entwash
p_ford_fangorn|Entwash
p_ford_fangorn2|Limlight
p_ford_moria|Silverlode
; p_fangorn_center|Fangorn Center
p_ring_hunter_lair|Jazbina lovaca na Prsten
p_raft|Ljudi na splavi
; p_amon_din|Amon Din
; p_eilenach|Eilenach
; p_nardol|Nardol
; p_erelas|Erelas
; p_min_rimmon|Min Rimmon
; p_calenhad|Calenhad
; p_amon_anwar|Amon Anwar
p_ancient_ruins|Drevne rušine
