hint_1|白手不該過分相信肉眼, 反之亦然。
hint_2|戰役中敵人的身分、援助的對象、以及戰鬥的地點都會影響同盟國是否會注意到你的戰役，甚至感謝你的貢獻。
hint_3|童子軍（Scouts ）是王國信息的一個來源，把俘虜拖進他們的地牢中進行酷刑和審問。釋放俘虜們，派遣童子軍可以迷惑敵人。
hint_4|請記得，在不同王國裡你會有不同數量的資源，這些資源能讓你在該王國內獲得裝備及軍隊補給。
hint_5|王國的軍隊的潰敗是不可挽回的。摩多可以不經歷這種命運，但是戰爭會結束如果軍隊力量被牽制并且它的同盟都被擊敗
hint_6|這需要清醒的頭腦(INT) 來避免對戒靈（Nazgul）的驚慌。并且需要對馬匹有高超控制技巧來防止座駕的驚慌。
hint_7|你可以在大地圖中通過按空格鍵休息。不過，受傷的士兵會在城市裡休息時恢復的更快
hint_8|如果你要在物品欄快速要求或給予物品, 可以按住Ctrl鍵按左鍵點擊. 
hint_9|你可以在任何地點通過按Tab鍵馬上離開該地點，並且可以在戰鬥中通過按Backspace鍵打開指令面板
hint_10|當心！動物在靠近巨魔與歐羅海時會陷入恐慌。
hint_11|人力對於一個派系是一種很重要的資源：帶走士兵並讓其歸入你的旗下會消費該派系的資源點
hint_12|你可以在戰鬥中給你的部隊指令。你可以通過按shift鍵來縮進以瞄準遠距離的敵人
