qstr_Gate_is_breached!|大门被攻破！
qstr_Gate_opens..._You_ha|大门打开了...你已经到达了中土世界最令人敬畏的地方
qstr_Secret_place_discove|秘密的地方已经被发现！
qstr_Next_Page|下一页
qstr_Action|行动
qstr_Mount|乘坐
qstr_Attack_Type|攻击类型
qstr_Hold_This_Position|坚守此地
qstr_Follow_Me|跟我来
qstr_Charge|收費
qstr_Advance|前进
qstr_Fall_Back|撤退
qstr_Stand_Closer|靠近
qstr_Spread_Out|散开
qstr_Stand_Ground|站在原地
qstr_Dismount|下马
qstr_Use_Any_Weapon|使用任意武器
qstr_Use_Blunt_Weapons|使用钝器
qstr_Hold_Your_Fire|停止开火
qstr_Fire_At_Will|自由开火
qstr_Us|我方
qstr_Allies|盟友
qstr_Enemies|敌人
qstr_Ready|准备好的
qstr_Wounded|受傷的
qstr_Dead|死亡的
qstr_Routed|打垮
qstr_Number_of_men_knocke|被擊昏的人數
qstr_Number_of_men_left:_|所剩的人數
qstr_Opponents_Beaten:_{r|擊敗的敵人
qstr_Opponents_Remaining:|剩餘的敵人
qstr_Gauntlet_wave:_1|射击：1
qstr_Gauntlet_wave:_{reg1|射击: {reg1}
qstr_Remain_in_retirement|仍然退出
qstr_Go_back_to_the_adven|繼續冒險
qstr_You_have_retired_at_|你從{reg5}天的冒險中退出了，你的等級爲 {reg4}。
qstr_Effect_on_Score|有效的分數
qstr_Settlements_owned_by|你擁有的殖民點: {reg0}
qstr_{reg0?+:}{reg0}|{reg0?+:}{reg0}
qstr_Friendly_Settlements|友好的殖民點: {reg0}
qstr_Hostile_Settlements:|敵對的殖民點: {reg0}
qstr_{reg0}|{reg0}
qstr_Friendly_Lords:_{reg|友方领主: {reg0}
qstr_Enemy_Lords:_{reg0}|敌方领主: {reg0}
qstr_Victories:_{reg0}|赢了，耶: {reg0}
qstr_Defeats:_{reg0}|哦，输了: {reg0}
qstr_Quests_Completed:_{r|任务完成: {reg0}
qstr_Companions_Found:_{r|发现同伴: {reg0}
qstr_Companions_Lost/Depa|同伴走失/已死亡: {reg0}
qstr_Wealth:_{reg0}_denar|钱包: {reg0}第纳尔
qstr_Inventory:_{reg0}_de|储蓄: {reg0}第纳尔
qstr_Experience:_{reg0}|经验值: {reg0}
qstr_Days_Passed:_{reg0}|哦，输了: {reg0}
qstr_Difficulty:_{reg0}%|難度: {reg0}%
qstr_{reg3?+:}{reg0}|{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0}|总分数: {reg0}
qstr_A_peaceful_village_n|距维斯特福德不远的一处幽静小镇...
qstr_The_War_is_upon_Roha|戰爭是對洛汗
qstr_Minas_Tirith___The_W|米那斯提力斯-The White City
qstr_The_White_Tree_stand|白树在诸王倒下后就枯萎了
qstr_The_Shadow_grows_eve|魅影魔星（The Shadow）變得前所未有的强大在東方
qstr_Minas_Morgul___City_|米那斯魔窟-City of the Nazgul
qstr_Sauron_s_armies_marc|Sauron的軍隊加入戰爭
qstr_Adventurers_at_audie|冒险者觐见刚铎摄政王迪耐瑟……
qstr___What_business_do_y|'你在这里有什么事，求助者?'
qstr___Your_Stewardship_w|'尊敬的摄政王阁下，我们来自遥远的地方...别激动'
qstr___Enough_of_this_mad|'这疯狂真是够了! 守卫!!'
qstr___I_ve_had_enough_of|'我受够这些恶作剧了... 下一批必须要跪下!'
qstr_Chest|胸甲
qstr_Cape|护肩
qstr_Arms|护臂
qstr_Thighs|腿甲
qstr_Legs|腿
qstr_Rotate|打转
qstr_Close|关闭
; qstr_Faction_Side:^^Campa|Faction Side:^^Campaign Difficulty*:^^Home Theater:^^Marshall:^^Enemies:^^
; qstr_Campaign_Difficulty_|Campaign Difficulty is based on starting faction strength, theater enemies,^ and faction troop tree & troop equipment.

; qstr_Rallies:|Rallies:
; qstr_View_Keybinds__Press|View Keybinds (Press Insert)

; qstr_What_do_you_fight_fo|What do you fight for?
; qstr_Go_Back...|Go Back...
; qstr_Learn_about_the_diff|Learn about the different factions of Middle-Earth
; qstr_The_DAWN_of_a_New_Er|The DAWN of a New Era
; qstr_The_TWILIGHT_of_Man|The TWILIGHT of Man
; qstr_Select_your_Race?|Select your Race?
; qstr_Man|Man
; qstr_Elf|Elf
; qstr_Dwarf|Dwarf
; qstr_Whom_Do_You_Serve?|Whom Do You Serve?
; qstr_SAURON_of_Mordor_The|SAURON of Mordor, The Lord of the Rings
; qstr_SARUMAN_of_Isengard_|SARUMAN of Isengard, The White Hand
; qstr_an_ORC^_serving_the_|an ORC,^ serving the Lidless Eye
; qstr_an_URUK^_the_new_bre|an URUK,^ the new breed of Orcs
; qstr_a_MAN^_subjugated_by|a MAN,^ subjugated by Sauron
; qstr_an_ORC^_serving_the_W|an ORC,^ serving the White Hand
; qstr_an_URUK_HAI^_bred_in|an URUK-HAI,^ bred in Isengard
; qstr_a_MAN_of_Dunland^_th|a MAN of Dunland,^ the Western Plains
; qstr_Click_the_center_but|Click the center button to toggle faction^Click the avatars to view details of them
qstr_Level:_{reg3}^Health|等级：{reg3}^生命： {reg4}
qstr_Attributes|属性
; qstr_STR^AGI^INT^CHA|STR^AGI^INT^CHA
qstr_Skills|技能
; qstr_Ironflesh^Power_Stri|Ironflesh^Power Strike^Power Throw^Power Draw^Shield^Athletics^Riding^Horse Archery
qstr_Proficiencies|熟练度
qstr_1H_Weapons^2H_Weapon|1H武器^ 2H武器^弩弓^射箭^弩弓^投掷
; qstr_Equipment|Equipment
; qstr_The_Last_Days_Mod_Op|The Last Days Mod Options
; qstr_War_Starts_at_Level:|War Starts at Level: 








; qstr_Restrict_Player_Equi|Restrict Player Equipment:  
; qstr_Battle_Formations_an|Battle Formations and AI:  
; qstr_Native|Native
; qstr_TLD_FormAI__Original|TLD FormAI (Original)
; qstr_TLD_New_FormAI__Beta|TLD New FormAI (Beta)
; qstr_Advanced_Siege_AI:__|Advanced Siege AI:  
; qstr_On|On
; qstr_Town_NPCs_Always_Acc|Town NPCs Always Accessible from Menus:  
; qstr_Cutscenes:__|Cutscenes:  
; qstr_Injuries_for_compani|Injuries for companions:  
; qstr_Permanent_death_for_|Permanent death for lords and companions:  
; qstr_Permanent_death_for_p|Permanent death for player (that is YOU!):  
; qstr_Battle_morale_system|Battle morale system:  
; qstr_Animal_ambushes:__|Animal ambushes:  
; qstr_Fallen_rider_damage_|Fallen rider damage messages:  
; qstr_No_Messages|No Messages
; qstr_Player_damage_only|Player damage only
; qstr_All_Messages|All Messages
; qstr_Troop_Identifier_in_|Troop Identifier in Battles (Press Y during battle to show/hide):
; qstr_Disable|Disable
; qstr_Enable_without_Facti|Enable without Faction Names
; qstr_Enable_with_Faction_|Enable with Faction Names
; qstr_Simple:_Red___Enemy_|Simple: Red - Enemy / Green - Allies
; qstr_Preferred_Camera_Mod|Preferred Camera Mode:  
qstr_Default_Camera|默认相机
qstr_Free_Mode_Custom_Cam|自由模式相机
; qstr_Fixed_Over_The_Shoul|Fixed Over-The-Shoulder Camera
; qstr_Prevent_AI_from_taki|Prevent AI from taking defensive:  
; qstr_Brighter_Nights:__|Brighter Nights:  
; qstr_Done|Done
; qstr_Gameplay_Tweaks|Gameplay Tweaks
; qstr_Beta_Formations_Twea|Beta Formations Tweaks
; qstr_War_Will_Start_at_Le|War Will Start at Level {reg0}
; qstr_Troop_Tree|Troop Tree
; qstr__Click_on_a_unit_for|(Click on a unit for details)


; qstr_Weapons|Weapons
; qstr_Armors|Armors
; qstr_Others|Others

; qstr_F4___Complex_formati|F4 - Complex formations
; qstr_F7___Memorize_div._p|F7 - Memorize div. placement
; qstr_F8___Default_divisio|F8 - Default division placement
; qstr_F4___Ranks|F4 - Ranks
; qstr_F5___Shield_Wall|F5 - Shield Wall
; qstr_F6___Wedge|F6 - Wedge
; qstr_F7___Square|F7 - Square
; qstr_F8___No_Formation|F8 - No Formation
; qstr_Extended_Formations_|Extended Formations and AI Options
; qstr_Put_player_in_divisi|Put player in division: 
qstr_None|無
; qstr_Army_rotates_to_face|Army rotates to face enemy center: 
; qstr_Prevent_AI_from_takin|Prevent AI from taking defensive: 
; qstr_AI_Controls_Troops_W|AI Controls Troops When Player is KO'd: 
qstr_You_gained_{reg0}_Re|你获得了来自 {s0}的 {reg0}点资源点
qstr_You_lost_{reg0}_Reso|你失去了来自 {s0}的 {reg0}点资源点
qstr_{s24}:|{s24}:
qstr_Great_Hope_of_{s5}|对{s5}非常憧憬
qstr_Hope_of_{s5}|对{s5}憧憬
qstr_Indispensable_Ally_o|{s5}不可缺少的盟友
qstr_Faithful_Ally_of_{s5|{s5}忠实盟友
qstr_Trusted_Friend_of_{s|信任{s5}
qstr_Close_Friend_of_{s5}|与 {s5}很亲密
