skinkey_chin_size|下巴大小
skinkey_chin_shape|下巴形狀
skinkey_chin_forward|下巴前凸
skinkey_jaw_width|下頜寬度
skinkey_jaw_position|下頜位置
skinkey_mouth_nose_distance|人中長度
skinkey_mouth_width|嘴巴寬度
skinkey_cheeks|臉頰
skinkey_nose_height|鼻子長度
skinkey_nose_width|鼻子寬度
skinkey_nose_size|鼻子高度
skinkey_nose_shape|鼻子形狀
skinkey_nose_bridge|鼻梁高低
skinkey_cheek_bones|顴骨
skinkey_eye_width|眼睛寬度
skinkey_eye_to_eye_dist|兩眼間距
skinkey_eye_shape|眼睛形狀
skinkey_eye_depth|眼睛深度
skinkey_eyelids|眼皮
skinkey_eyebrow_position|眉毛位置
skinkey_eyebrow_height|眉毛高度
skinkey_eyebrow_depth|眉毛深度
skinkey_eyebrow_shape|眉毛形狀
skinkey_temple_width|太陽穴寬度
skinkey_face_depth|面部深度
skinkey_face_ratio|面部比例
skinkey_face_width|面部寬度
skinkey_post_edit|編輯完成
skinkey_snout_height|鼻子高度
skinkey_snout_width|鼻子寬度
skinkey_snout_size|鼻子尺寸
skinkey_snout_shape|鼻子形状
skinkey_weight|重量
skinkey_mouth_shape|嘴巴形狀
skinkey_eye_size|眼睛尺寸
skinkey_eye_slant|眼睛角度
skinkey_frawn|皺眉
skinkey_mouth_vert_pos|嘴巴垂直彎曲
skinkey_mouth_to_nose_dist|嘴巴和鼻子距離
skinkey_chin_width|下巴寬度
