imod_plain|普通的 %s
imod_cracked|裂開的 %s
imod_rusty|生銹的 %s
imod_bent| 彎曲的 %s
imod_chipped| 有缺口的 %s
imod_battered|有凹陷的 %s
imod_poor|劣質的 %s
imod_crude|粗糙的 %s
imod_old|舊 %s
imod_cheap|便宜的 %s
imod_fine|優質的 %s
imod_well_made|精良的 %s
imod_sharp|鋒利的 %s
imod_balanced|平衡的 %s
imod_tempered|回火的 %s
imod_deadly|致命的 %s
imod_exquisite|精致的 %s
imod_masterwork|極品 %s
imod_heavy|重 %s
imod_strong|堅硬的 %s
imod_powerful|強力的 %s
imod_tattered|破爛的 %s
imod_ragged|破舊的 %s
imod_rough|粗糙的 %s
imod_sturdy|結實的 %s
imod_thick|厚實的 %s
imod_hardened|加硬 %s
imod_reinforced|加強 %s
imod_superb|華麗的 %s
imod_lordly|豪華的 %s
imod_lame|瘸腿 %s
imod_swaybacked|老 %s
imod_stubborn|倔犟的 %s
imod_timid|膽小的 %s
imod_meek|溫順的 %s
imod_spirited|活潑的 %s
imod_champion|一流的 %s
imod_fresh|新鮮的 %s
imod_day_old|隔夜的 %s
imod_two_day_old|隔兩夜的 %s
imod_smelling|發臭的 %s
imod_rotten|腐爛的 %s
imod_large_bag|一大袋 %s
