
str_yes|Evet.
str_no|Hayır.
str_noone|hiç kimse
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} ve {s51}
str_s5_s_party|{s5}'in Grubu
str_s5_s_host|{s5}'in Ordusu
str_given_by_s1_at_s2|{s2} bölgesinde {s1} tarafından verildi
str_given_by_s1_in_wilderness|Kırda {s1} tarafından verildi
str_s7_raiders|{s7} Yagmacıları
str_bandits_eliminated_by_another|Belalı eşkıyalar başka bir grup tarafından yok edildi.
str_msg_battle_won|Savaş kazanıldı! Ayrılmak için Tab'a basın...
str_tutorial_map1|Şu anda harita modundasınız. Seyahat etmek, kasabalara girmek ve başka grupları takip etmek için harita üzerinde bir yere farenin sol tuşuyla tıklayın. Normalde, grubunuz hareket etmedikçe zaman ilerlemez. Bir noktada beklemek istiyorsanız, boşluk tuşuna basılı tutun.
str_accept|Kabul et
str_charge|Hücum
str_color|Renk
str_flip_horizontal|Yatay döndür
str_flip_vertical|Dikey döndür
str_hold_fire|Ateşi Kes
str_blunt_hold_fire|Bayıltıcı silahlar / Ateşi Kes
str_tutorial_ammo_refilled|Cephane yenilendi
str_tutorial_failed|Bu sefer yenildin, ama endişelenme. Talimatları dikkatli bir şekilde takip ederseniz bir daha ki sefere daha iyi bir performans sergileyeceksiniz. Bu egiticiyi yeniden deneyebileceginiz menüye dönmek için TAB tuşuna basın.
str_tutorial_1_msg_1|Bu ögreticide, hareket ve savaşın temellerini ögreneceksiniz. Mount & Blade'de, etrafa bakmak için fareyi ve klavyenizin WASD tuşlarını kullanın. Egitimdeki ilk göreviniz, odadaki bayragı bulmak ve üzerinde hareket etmektir. Bu egiticiden çıkmak veya oyundaki başka bir alandan çıkmak için istediginiz zaman TAB tuşuna basabilirsiniz. Şimdi bayraga git.
str_tutorial_1_msg_2|Aferin. Ardından silahlarla saldırıyı ele alacagız. Bu ögreticinin amaçları için, yay ve oklar, bir kılıç ve bir kalkan ile donatıldın. Farenizin kaydırma tekerlegini kullanarak silah yuvalarınızdan farklı silahlar çizebilirsiniz. Varsayılan konfigürasyonda, yukarı kaydırmak bir sonraki silahınızı çeker ve aşagıya dogru kayar ise kalkanınızı çeker. Zaten bir kalkan tutuyorsanız, aşagı kaydırmak kalkanınızı kaldıracaktır. Mevcut ekipmanınızı şimdi kaydırma tekerlegi ile degiştirmeyi deneyin. Hazır oldugunuzda, sonraki görevinize geçmek için bayraga gidin.
str_tutorial_1_msg_3|Mükemmel. Bu ögreticinin bir sonraki kısmı yakın silahlarla saldırmayı kapsar. Şu andaki silahınızla sol fare tuşunu kullanarak saldırıyorsun. Saldırıyı başlatmak için dügmeye basın ve basılı tutun, ardından vurmak için dügmeyi serbest bırakın. Serbest bırakmadan önce bir süre sol fare tuşunu basılı tutarsanız, saldırınız daha güçlü olacaktır. Şimdi kılıcını çek ve odadaki dört mankeni yok et.
str_tutorial_1_msg_4|İyi iş! Dört mankenin hepsini yok ettin. Şimdi bir sonraki odaya geçebilirsiniz.
str_tutorial_1_msg_5|Gördügün gibi, odanın sana uzak olan tarafında bir okçuluk hedefi var. Bir sonraki görevin, yayı bu hedefe üç ok atmak için kullanmaktır. Ok atmak için sol fare tuşunu basılı tutun. Daha sonra sol fare tuşunu bırakarak oku atabilirsin. Ekranınızın ortasında hedefleme retikülüne dikkat edin, bu çekiminizin dogrulugunu gösterir. Optimal dogrulugu saglamak için, retikül en küçük oldugunda okunuzu atın. Şimdi hedefi vurmaya çalış.
str_tutorial_1_msg_6|Aferin! Hareket etme ve saldırmanın temellerini ögrendin. Biraz pratikle, yakında usta olacaksın. İkinci derste daha gelişmiş dövüş becerilerini ögrenebilir ve silahlı rakiplerle yüzleşebilirsin. Ögretici menüsüne dönmek için istediginiz zaman TAB tuşuna basabilirsin.
