hint_1|Beyaz El Çıplak Göz'e fazla güvenmemeli, bu Kızıl Göz içinde geçerli tabi.
hint_2|Kime karşı mücadele ettigin, kime yardım ettigin ve savaşın yer aldıgı bölge; seni hangi müttefik krallıgın fark edecegini ve belki de çabanı takdir edecegini belirler.
hint_3|İzciler bir Krallık için haber kaynagıdır, tıpkı işkence ve sorgulama için zindanlarına getirilen esirler gibi. Esirleri salıvermek ve izcileri yok etmek düşmanı kör edebilir.
hint_4|Her krallıgın kendine özel, farklı kaynak puanları oldugunu unutmayın,
hint_5|Bir krallıgın askeri bakımdan çöküşü tersine çevrilemez. Mordor öylesine bir kaderi yaşamaz fakat gene de eger askeri gücü ve müttefikleri yenilirse savaş bitmiş olacaktır.
hint_6|Nazgül'den korkmamak için sakin bir zihin (INT) gereklidir.Bir atın bu panikten sakınması için mükemmel kontrol gereklidir.
hint_7|Haritada Space tuşuna basıp bekleyerek yaralı elemanlarınızı iyileştirebilirsiniz ancak şehirde dinlenirken daha hızlı iyileşirler.
hint_8|Eşyaları hızlıca alıp satmak için Ctrl tuşuna basılı tutarken üzerlerine tıklayabilirsiniz.
hint_9|Dilediginiz zaman TAB tuşuna basarak herhangi bir yerden çıkabilirsiniz. Savaş sırasında Silme Backspace tuşuna basarak emir verme panelini açabilirsiniz.
hint_10|Hayvanlar trollerin ve olog-hailerin yakınında panik yapabilir.Dikkat edin!
hint_11|İnsan gücü, krallık için önemli bir kaynagı temsil eder:birlikleri komuta altında tutmak ve yeni birlikler almak, ilgili bölügün kaynaklarını tüketir.
hint_12|Savaş sırasında grubunuza emirler verebilirsiniz.Uzaktaki düşmanları daha iyi hedef alabilmek için Shift tuşuyla görüntüyü yakınlaştırabilirsiniz.
