pt_rescued_prisoners|Salınmış Mahkumlar
pt_enemy|Düşman
pt_hero_party|Kahramanın Grubu
pt_cattle_herd|Sığır Sürüsü
pt_ruins|Kalıntılar
pt_legendary_place|Efsanevi Bölge
pt_mound|Kahraman Höyük
pt_pyre|Kahraman Külleri
pt_wild_troll|Vahşi Trol
pt_raging_trolls|Azgın Trol
pt_looters|Kabile Orkları
pt_forest_bandits|Ork Kaçaklar
pt_mountain_bandits|Vahşi Goblinler
pt_steppe_bandits|Dunland Serserileri
pt_sea_raiders|Hain Korsanlar
pt_deserters|Kaçaklar
pt_merchant_caravan|Tüccar Karavanı
pt_troublesome_bandits|Belalı Goblinler
pt_fangorn_orcs|Ağaç Kesen Orklar
pt_village_farmers|Çiftlik Köylüleri
pt_spy_partners|Şüpheli Seyyahlar
pt_spy_partners_evil|Şüpheli Seyyahlar
pt_runaway_serfs|Kaçak Köleler
pt_spy|Yalnız Sürücü
pt_spy_evil|Yalnız Sürücü
pt_sacrificed_messenger|Kurban Edilmiş Elçi
pt_gandalf|Yalnız Sürücü
pt_nazgul|Yalnız Sürücü
pt_gondor_scouts|Gondor İzcileri
pt_blackroot_auxila|Blackroot Destek Birliği
pt_lamedon_auxila|Lamedon Destek Birliği
pt_lossarnach_auxila|Lossarnach Destek Birliği
pt_pinnath_gelin_auxila|Pinnath Gelin Destek Birliği
pt_ranger_scouts|Korucu İzciler
pt_rohan_scouts|Rohirim İzcileri
pt_lorien_scouts|Lothlorien İzcileri
pt_woodelf_scouts|Kuyutorman Elf İzcileri
pt_imladris_scouts|Ayrıkvadi Elf İzcileri
pt_dale_scouts|Dale İzcileri
pt_esgaroth_scouts|Esgeroth İzcileri
pt_dwarf_scouts|Cüce Gözcüler
pt_beorn_scouts|Beorning İzcileri
pt_woodmen_scouts|Gözcü Korucular
pt_mordor_scouts|Mordor İzcileri
pt_morgul_scouts|Morgul İzcileri
pt_isengard_scouts|İsengard İzcileri
pt_isengard_scouts_warg|İsengard Warg Binicileri
pt_harad_scouts|Haradrim İzcileri
pt_dunland_scouts|Dunlending İzcileri
pt_umbar_scouts|Korsan İzciler
pt_khand_scouts|Doğulu İzciler
pt_moria_scouts|Moria İzciler
pt_guldur_scouts|Dol Guldur İzcileri
pt_gundabad_scouts|Gundabad İzcileri
pt_rhun_scouts|Rhun İzciler
pt_gondor_raiders|Gondor Toplayıcıları
pt_rohan_raiders|Rohirrim Toplayıcıları
pt_imladris_raiders|Ayrıkvadi Toplayıcıları
pt_lorien_raiders|Lothlorien Toplayıcıları
pt_woodelf_raiders|Kuyutorman Toplayıcıları
pt_dale_raiders|Dale Toplayıcıları
pt_dwarf_raiders|Cüce Toplayıcıları
pt_ranger_raiders|Korucu Akıncılar
pt_morgul_raiders|Morgul Akıncıları
pt_mordor_raiders|Mordor Akıncıları
pt_isengard_raiders|İsengard Akıncıları
pt_dunland_raiders|Dunlending Akıncıları
pt_harad_raiders|Haradrim Akıncıları
pt_khand_raiders|Khand Akıncıları
pt_umbar_raiders|Umbar Akıncıları
pt_moria_raiders|Moria Akıncıları
pt_guldur_raiders|Dol Guldur Akıncıları
pt_gundabad_raiders|Gundabad Akıncıları
pt_rhun_raiders|Rhun Akıncıları
pt_gondor_patrol|Gondor Devriyesi
pt_rohan_patrol|Rohirrim Devriyesi
pt_imladris_patrol|Dunedain Devriyesi
pt_lorien_patrol|Lothlorien Devriyesi
pt_woodelf_patrol|Kuyutorman Devriyesi
pt_dale_patrol|Dale Devriyesi
pt_esgaroth_patrol|Esgeroth Devriyesi
pt_dwarf_patrol|Cüce Devriyesi
pt_ranger_patrol|Korucu Devriyesi
pt_amroth_patrol|Dol Amroth Devriyesi
pt_pelargir_patrol|Pelargir Devriyesi
pt_lossarnach_patrol|Lossarnach Devriyesi
pt_brv_patrol|Blackroot Devriyesi
pt_pinnath_patrol|Pinnath Devriyesi
pt_lamedon_patrol|Lamedon Devriyesi
pt_mordor_war_party|Mordor Savaş Partisi
pt_isengard_war_party|İsengard Savaş Partisi
pt_harad_war_party|Harad Savaş Partisi
pt_dunland_war_party|Dunlending Savaş Partisi
pt_khand_war_party|Variag Savaş Partisi
pt_moria_war_party|Moria Savaş Partisi
pt_dale_war_party|Dale Savaş Partisi
pt_rhun_war_party|Rhun Savaş Partisi
pt_gondor_company|Minas Tirith Savaş Partisi
pt_rohan_company|Rohan Birliği
pt_imladris_company|Ayrıkvadi Birliği
pt_lorien_company|Lothlorien Birliği
pt_woodelf_company|Kuyutorman Birliği
pt_dale_company|Dale Birliği
pt_dwarf_company|Cüce Birliği
pt_gondor_elite_company|Seçkin Gondor Birliği
pt_rohan_elite_company|Seçkin Rohan Birliği
pt_imladris_elite_company|Seçkin Ayrıkvadi Birliği
pt_lorien_elite_company|Seçkin Lothlorien Birliği
pt_woodelf_elite_company|Seçkin Kuyutorman Birliği
pt_dale_elite_company|Seçkin Dale Birliği
pt_dwarf_elite_company|Seçkin Cüce Birliği
pt_gondor_caravan|Gondor Karavanı
pt_rohan_caravan|Rohan Karavanı
pt_imladris_caravan|Ayrıkvadi Karavanı
pt_lorien_caravan|Lothlorien Karavanı
pt_woodelf_caravan|Kuyutorman Karavanı
