fac_no_faction|Няма Фракция
fac_commoners|Обикновени хора
fac_outlaws|Диваци и бандити
fac_gondor|Гондор
fac_dwarf|Еребор
fac_rohan|Рохан
fac_mordor|Мордор
fac_isengard|Айзенгард
fac_lorien|Лотлориен
fac_imladris|Имладрис
fac_woodelf|Елфите от Миркууд
fac_dale|Дейл
fac_harad|Харад
fac_rhun|Рийн
fac_khand|Ханд
fac_umbar|Ъмбар
fac_moria|Мориа
fac_guldur|Дол Гулдур
fac_gundabad|Планина Гундабад
fac_dunland|Дънлендингс
fac_beorn|Бьорнингс
fac_player_supporters_faction|Фракция на играча
fac_player_faction|Фракция на играча
fac_brigands|Разбойници 
fac_tribal_orcs|Племенни Орки
fac_innocents|Невинни
fac_merchants|Търговци
fac_manhunters|Ловци на глави
fac_deserters|Дезертьори 
fac_mountain_bandits|Планински бандити 
fac_forest_bandits|Горски бандити
