qst_deliver_message|Достави съобщението до {s13}
qst_deliver_message_text|{s9} пита да занесеш съобщение до {s13}. {s13} беше в {s4}Когато ти даде тази задача.
qst_deliver_message_to_enemy_lord|Съобщение до {s13}
qst_deliver_message_to_enemy_lord_text|{s9} Занеси това съобщение до {s13} и {s15}. {s13} беше в {s4} Когато взе тази задача.
; qst_raise_troops|Raise {reg1} {s14}
; qst_raise_troops_text|{s9} asked you to raise {reg1} {s14} and bring them to {him/her}.
qst_escort_messenger|Пратете писмото до {s14}
qst_escort_messenger_text|Никой.
qst_hunt_down_fugitive|Убии {s4}
; qst_hunt_down_fugitive_text|{s9} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
; qst_bring_back_runaway_serfs|Bring Back Runaway Slaves
; qst_bring_back_runaway_serfs_text|{s9} asked you to bring back the three groups of runaway slaves back to {s2}. He said all three groups must be running away in the direction of {s3}.
qst_follow_spy|Следвай шпионина до срещата.
; qst_follow_spy_text|{s11} asked you to follow the spy that will leave {s12}. You must be careful not to be seen by the spy during his travel, or else he may get suspicious and turn back. Once the spy meets with his accomplice, you are to ambush and capture them and bring them both back to {s11}.
qst_capture_enemy_hero|Плени вражеския командир.
qst_capture_enemy_hero_text|{s11}Те пита да плениш вражески командир.
qst_lend_companion|Дай си компаньона  {s3} на {s9}
qst_lend_companion_text|{s9} Те пита да му дадеш твоите воиски {s3} за седмица.
qst_capture_prisoners|Доведете {reg1} Вражеските затворници.
qst_capture_prisoners_text|{s9}Исках да ми доведеш неговите {reg1} вражески затворници.
; qst_investigate_fangorn|Investigate Fangorn
qst_investigate_fangorn_text|{s9} Те пита да видиш какво става в гората Fangorn, и да ми кажеш.
qst_capture_troll|Плени Troll.
; qst_capture_troll_text|{s9} asked you to bring back a savage troll for use in his army.
; qst_kill_troll|Dispatch raging Troll
; qst_kill_troll_text|{s9} asked you to free {s13} from the menace of a Troll raging in its outskirts.
; qst_mirkwood_sorcerer|Slay a sorcerer in Mirkwood
