fac_no_faction|Bez frakce
fac_commoners|Prostý lid
fac_outlaws|Divoši a bandité
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Železný Pas
fac_lorien|Lothlorien
fac_imladris|Imladris
fac_woodelf|Lesní říše
fac_dale|Dol
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Morie
fac_guldur|Dol Guldur
fac_gundabad|Gundabad
fac_dunland|Vrchovina
fac_beorn|Meddědovci
fac_player_supporters_faction|Frakce Hráče
fac_player_faction|Frakce Hráče
fac_brigands|Zbojníci
fac_tribal_orcs|Kmenoví skřeti
fac_innocents|Nevinní
fac_merchants|Kupci
fac_manhunters|Lovci lidí
fac_deserters|Dezertéři
fac_mountain_bandits|Horští bandité
fac_forest_bandits|Lesní bandité
