pt_rescued_prisoners|Osvobození zajatci
pt_enemy|Nepřítel
pt_hero_party|Hrdinova družina
pt_cattle_herd|Stádo dobytka
pt_ruins|Ruiny
pt_legendary_place|Proslulé místo
pt_mound|Mohyla hrdiny
pt_pyre|Pořební vatra
pt_wild_troll|Divoký trol
pt_raging_trolls|Běsnící trolové
pt_looters|Kmenový skřeti
pt_forest_bandits|Opoždění skřeti
pt_mountain_bandits|Divocí goblini
pt_steppe_bandits|Vyhnanci z Vrchoviny
pt_sea_raiders|Odpadlí Korzáři
pt_deserters|Zběhové
pt_merchant_caravan|Kupecká karavana
pt_troublesome_bandits|Otravní goblini
pt_fangorn_orcs|Skřeti dřevorubci
pt_village_farmers|Vesničané
pt_spy_partners|Podezřelí poutníci
pt_spy_partners_evil|Podezřelí poutníci
pt_runaway_serfs|Uprchlí otroci
pt_spy|Osamělý jezdec
pt_spy_evil|Osamělý jezdec
pt_ents|Enti
pt_gandalf|Osamělý jezdec
pt_nazgul|Osamělý jezdec
pt_gondor_scouts|Gondorští průzkumníci
pt_blackroot_auxila|Morthondský pomocný sbor
pt_lamedon_auxila|Lamedonský pomocný sbor
pt_lossarnach_auxila|Lossarnachský pomocný sbor
pt_pinnath_gelin_auxila|Pinnath Gelinský pomocný sbor
pt_ranger_scouts|Hraničářští průzkumníci
pt_rohan_scouts|Rohanští průzkumníci
pt_lorien_scouts|Lothlorienští průzkumníci
pt_woodelf_scouts|Průzkumníci z Temného hvozdu
pt_imladris_scouts|Dunedainští průzkumníci
pt_dale_scouts|Průzkumníci z Dolu
pt_esgaroth_scouts|Esgarothští průzkumníci
pt_dwarf_scouts|Trpasličí hlídka
pt_beorn_scouts|Meddědovští průzkumníci
pt_woodmen_scouts|Lesní průzkumníci
pt_mordor_scouts|Mordorští průzkumníci
pt_morgul_scouts|Morgulští průzkumníci
pt_isengard_scouts|Průzkumníci z Železného pasu
pt_isengard_scouts_warg|Sarumanovi jezdci na vrcích
pt_harad_scouts|Haradští průzkumníci
pt_dunland_scouts|Průzkumníci z Vrchoviny
pt_umbar_scouts|Korzarští průzkumníci
pt_khand_scouts|Vychodnanští průzkumníci
