itm_horse_meat|Koňské maso
itm_practice_sword|Cvičný meč
itm_arena_lance|Dřevec
itm_practice_staff|Dřevěná hůl
itm_practice_bow|Cvičný luk
itm_wooden_javelin|Dřevěný oštěp
itm_human_meat|Lidské maso
itm_maggoty_bread|Červavý chléb
itm_cram|Kram 
itm_lembas|Lembas
itm_smoked_fish|Uzená ryba
itm_dried_meat|Sušené maso
itm_cattle_meat|Hovězí
itm_grain|Pšenice
itm_tools|Nástroje
itm_siege_supply|Zásoby
itm_quest_wine|Víno
itm_quest_ale|Pivo
itm_metal_scraps_bad|Nekvalitní šrot
itm_metal_scraps_medium|Použitelný šrot
itm_metal_scraps_good|Kvalitní šrot
itm_oliphant|Olifant
itm_sumpter_horse|Mezek
itm_saddle_horse|Osedlaný kůň
itm_steppe_horse|Stepní kůň
itm_courser|Oř
itm_hunter|Lovecký kůň
itm_pony|Poník
itm_arnor_warhorse|Arnorský válečný kůň
itm_dunedain_warhorse|Dunadanský válečný kůň
itm_rohirrim_courser|Rohanský oř
itm_rohirrim_hunter|Rohanský lovecký kůň
itm_rohirrim_courser2|Rohanský obrněný oř
itm_rohan_warhorse|Rohanský válečný kůň
itm_thengel_warhorse|Eorlův válečný kůň
itm_rhun_horse_a|Rhunský kůň
itm_rhun_horse_b|Rhunský kůň
itm_rhun_horse_d|Rhunský kůň
itm_rhun_horse_e|Rhunský těžký kůň
itm_rhun_horse_f|Rhunský těžký kůň
itm_rhun_horse_g|Rhunský těžký kůň
itm_rhun_horse_h|Rhunský těžký kůň
itm_dale_horse|Rhovanionský kůň
itm_dale_warhorse|Rhovanský válečný kůň
itm_riv_warhorse|Rivendelský válečný kůň
itm_riv_warhorse2|Imladriský oř
itm_mordor_warhorse|Mordorský válečný kůň
itm_mordor_warhorse2|Mordorský zlověstný válečný kůň
itm_gondor_courser|Gondorský oř
itm_gondor_hunter|Gondorský lovecký kůň
itm_dol_amroth_warhorse|Dol Amrothský válečný kůň
itm_dol_amroth_warhorse2|Dol Amrothský těžký válečný kůň
itm_gondor_warhorse|Gondorský válečný kůň
