skl_trade|Obchod
skl_trade_desc|Učiní kováře a zásobovací mistry více kooperativními a budou nabízet lepší vybavení. (Skupinová schopnost)
skl_leadership|Vůdcovství
; skl_leadership_desc|Every point increases maximum number of troops you can command by 5 (3 for companions), increases your party morale and coherence in battle. Makes more and stronger volunteers willing to follow you. (Personal skill)
skl_prisoner_management|Vězeňský management
; skl_prisoner_management_desc|Every level of this skill increases maximum number of prisoners by %d. Improves chances of capturing and keeping prisoners .(Leader skill)
skl_persuasion|Zálesáctví
skl_persuasion_desc|Schopnost přežít v divoké přírodě a přizpůsobit si ji k obrazu svému. Tato dovednost zvyšuje schopnost družiny schovat se před nepřítelem, a rychlost tvé družiny v lese. (Dovednost skupiny)
skl_engineer|-----
skl_engineer_desc|-----
skl_first_aid|První pomoc
skl_first_aid_desc|Hrdinům se obnoví 5%% HP ztracených v bitvě za úroveň dovednosti. (Dovednost skupiny)
skl_surgery|Chirurgie
skl_surgery_desc|Kazdy bod teto dovednosti dá 4%% šanci ze smrtelně zraněný člen skupiny bude pravděnepodobněji zraněn než zabit. (Dovednost skupiny)
skl_wound_treatment|Léčba zranění
skl_wound_treatment_desc|Léčeni skupiny je o 20%% rychlejší za každou úroveň dovednosti. (Dovednost skupiny)
skl_inventory_management|Organizace inventáře
skl_inventory_management_desc|Zvyšuje kapacitu inventáře o +6 za každou úroveň dovedonsti. Snižuje konzumaci jídla. (Vůdcova dovednost)
skl_spotting|Pozorování
skl_spotting_desc|Skupina vidí o 10%% dál každou úroveň dovednosti. (Dovednost skupiny)
skl_pathfinding|Hledání cest
skl_pathfinding_desc|Rychlost na mapě je o 3%% vetší každou novou úroveň dovednosti. (Dovednost skupiny)
skl_tactics|Taktika
; skl_tactics_desc|Improves battle advantage. Increases battle join distance for enemy parties and decreases battle join distance for friendly parties by 3% per level. (Leader skill)
skl_tracking|Stopování
skl_tracking_desc|Stopy poskytnou více informací. (Dovednost skupiny)
skl_trainer|Trenér
skl_trainer_desc|Každý den, každý hrdina s touto dovedností přidá nějaké zkušenosti ostatním členům skupiny jejichž úroveň je nižší než jeho/její. Zkušenosti se dostávají po:{0,4,10,16,23,30,38,46,55,65,80}. (Osobní dovednost)
skl_looting|Rabování
skl_looting_desc|Zvyšuje počet a kvalitu kořist získané po bitvě. (Schopnost skupiny)
skl_horse_archery|Střelba z koně
skl_horse_archery_desc|Snižuje sankce poškození a přesnosti při střelbě nebo házení na koni. (Osobní dovednost)
skl_riding|Jezdectví
skl_riding_desc|Dovolí ti jezdit na koních (nebo jiných zvířatech) které mají vyšší obtížnost jízdy, a zvýší tvoji rychlost jízdy a manévrovací schopnosti. (Osobní dovednost)
skl_athletics|Kondice
skl_athletics_desc|Zvyšuje tvoji rychlost běhu. (Osobní dovednost)
skl_shield|Štít
skl_shield_desc|Snižuje poškození štítů (o 8%% co nová úroveň) a zlepšuje rychlost štítu a jeho pokryti, snižuje postih při používání s lukem. (Osobní dovednost)
skl_weapon_master|Mistr zbraní
skl_weapon_master_desc|Umožňuje jednodušší učení dovedností se zbraní, a zvyšuje dovednostní limit. Limity jsou rozděleny na: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Osobní dovednost)
skl_power_draw|Síla napnutí
skl_power_draw_desc|Umožní postavě použít silnější luky. Každý bod dovednosti (až na 4 plus síla napnutí luku) zvyšuje poškození luku o 14%%. (Osobní dovednost)
skl_power_throw|Síla vrhu
skl_power_throw_desc|Každý bod zvyšuje poškození způsobené hodem o 10%%. (Osobní dovednost)
skl_power_strike|Síla úderu
skl_power_strike_desc|Každý bod zvyšuje poškození zbraní na blízko o 8%%. (Osobní dovednost)
skl_ironflesh|Odolnost
skl_ironflesh_desc|Každý bod v této schopnosti zvýší HP o +2 a umožní ti se oklepat z nějakého poškození bez toho aniž bys byl raněn. (Osobní dovednost)
