fac_no_faction|Einki veldi
fac_commoners|Bøndur
fac_outlaws|Villmenn og búrkroppar
fac_gondor|Gondor
fac_dwarf|Erebor
fac_rohan|Rohan
fac_mordor|Mordor
fac_isengard|Ísgarður
fac_lorien|Lothlorien
fac_imladris|Imlandris
; fac_woodelf|The Woodland Realm
fac_dale|Dalur
fac_harad|Harad
fac_rhun|Rhun
fac_khand|Khand
fac_umbar|Umbar
fac_moria|Moria
fac_guldur|Dol Guldur
fac_gundabad|Gundabandsfjall
; fac_dunland|Dunland
; fac_beorn|The Vale of Anduin
fac_player_supporters_faction|Spælaraveldi
fac_player_faction|Spælaraveldi
fac_brigands|Ránsmenn
fac_tribal_orcs|Stammuorkar
fac_innocents|Ósek
fac_merchants|Handilsfólk
fac_manhunters|Mannaveiðumenn
fac_deserters|Fráfallin
fac_mountain_bandits|Fjallaránsmenn
fac_forest_bandits|Skógarránsmenn
