hint_1|Hvíta Hondin eigur ikki at líta ov nógv á Nakna Eygað, ei heldur øvugt.
hint_2|Tann tú stríðist ímóti, tann tú hjálpir og alt eftir hvar stríðið fer fram, avgerð hvørjir av tínum sameindu leggja merki og møguliga virðismeta strev títt.
hint_3|Njósnarar eru ein kelda av upplýsingum hjá einum kongaríki, somuleiðis er við fangum, sum verða avhoyrdir og píndir í fangatippum. At sleppa fangum og at senda njósnarar kann gera fíggindan blindan.
hint_4|Minst til, at tú hevur ymisk tilfeingisstig hjá ymiskum ríkjum. Tilfeingisstigini ger tað møguligt hjá tær at keypa útgerð og hermenn í tí kongaríkinum. 
hint_5|Um hermegin hjá einum kongaríki fellur, vendst ikki aftur. Mordor kann ikki líða ein tílíka lagnu, men kríggið endar, um hermegin tess verður hildin niðri og tess sameindu eru niðurbard.
hint_6|Tað krevur at róligt sinnið (VíS) fyri ikki at gerðast ræslusligin av Nazgul. Tað krevur, at mann hevur fult tamarhald á rossi sínum, fyri tað ikki skal gerðast ræðslusligið.
hint_7|Tað ber til at hvíla seg á heimskortinum við at haldan á millumrúmi. Tó lekjast særdir felagar við at hvíla seg í býum.
hint_8|Fyri at skjótt taka og sleppa sær av við ting, ber til at halda á 'ctrl', tá mann vinstraklikkir.
hint_9|Tað ber til at fara frá einhvørjum øki, við at trýsta á TAB. Trýst á 'Backspace' meðan tú ert í einum bardaga, fyri at sleppa stýrispanelið.
hint_10|Djór kunnu gerðast ræðslusligin nærhendis trøllum og olog-hais. Ver varin!
hint_11|Mannastyrki er eitt av størstu tilfeingjunum í einum ríki: Við at taka og halda hermonnum undir tínum ræði, verður tilfeingi nýtt hjá tí ríkinum.
hint_12|Tað ber til at geva herliði tínum boð, meðan tit eru í einum bardaga. Tað ber eisini til at forstørra meðan tú meddar eftir fjarum fíggindum, við at halda á 'shift'.
