dlga_start:mutiny_pretalk_1|Hey, {playername}. Vit siga tær.. ^Menn her grenja! Vilja meira stuttligt, minnið ganga.
dlga_mutiny_pretalk_1:mutiny_pretalk_2|Fell uppá pláss, lúsakjálki! Vit eru í kríggi og eg eri tín herovasti!
dlga_mutiny_pretalk_2:close_window|Sum tú vilt, herovasti, sum tú vilt...
dlga_start:mutiny_talk_1|Hey herovasti! Eg skal siga tær eitt... Vit ikki nøgdir, slett ikki nøgdir. ^Ikki nokk mannkjøt, ikki nokk stuttligt. ^Vit snakka við teg, tú ikki nóg góður, herovasti!
dlga_mutiny_talk_1:mutiny_talk_2|Hvat!? Uppreistur í krígstíð? ^Hetta er deyðarevsing, tín lús!
dlga_mutiny_talk_2:close_window|Eg siga tær... ^Vit halda eg betri herovasti tá eg DREPA TEG!
dlga_start:troll_introduce_1|Trupulleikar?
dlga_start:troll_talk_1|Óður?
dlga_troll_introduce_1:troll_goodbye|Uha! Eitt tosandi trøll?!
dlga_troll_introduce_1:close_window|Eg eigi eitt ross.
dlga_troll_talk_1:troll_talk_2|trøllabind meg, títt trøll!
dlga_troll_talk_1:close_window|Eg eigi eitt ross.
dlga_troll_talk_2:troll_talk_3|Avbjóðingin móttikin!^^{s4}
dlga_troll_beaten:troll_talk_1|Eg níði fyri vísdómi tygara, meistranna trølla fiskari
dlga_troll_goodbye:close_window|TROLLOLOLOLOLOLOLOLOLOL!
dlga_start:hobbit_merry_talk_met|Halló aftur, {playername}!
dlga_start:hobbit_pippin_talk_met|Halló aftur, {playername}!
dlga_start:hobbit_general_talk_1|Halló, {sir/madam}! Navn mítt er Meriadoc Brandybuck, men tygum kunnu kalla meg Merry!
dlga_start:hobbit_general_talk_1.1|Halló, {sir/madam}! Navn mítt er Peregrin Took, men tygum kunnu kalla meg Pippin!
dlga_hobbit_general_talk_1:close_window|Eg havi ikki tíð beint nú.
dlga_hobbit_general_talk_1:hobbit_general_talk_first_met|Hoyr meg! eg haldi meg ikki hava sæð nakran av tínum slagi áður.
dlga_hobbit_general_talk_1:hobbit_general_talk_second_met|Hoyr meg! Eg haldi meg hava møtt einum líkum tær í Edoras.
dlga_hobbit_general_talk_1:hobbit_general_talk_second_met.1|Hoyr meg! Eg haldi meg hava møtt einum líkum tær í Minas Tirith
dlga_hobbit_general_talk_first_met:hobbit_general_talk_3|Eg veit. Eg komi langvegis frá! Eg eri ein hobbi, {sir/madam}, úr Sýsluni.
dlga_hobbit_general_talk_second_met:hobbit_general_talk_ask|Áh, tað má hava verið systkinabarn mítt! Peregrin Took, ella Pippin, sum tey rópa hann. Vit eru hobbar, {sir/madam}, og vit eru úr Sýsluni, báðir tveir! Góði gamli Pippin. Gud viti hvussu tað mann gangast honum í Minas Tirith.
dlga_hobbit_general_talk_second_met:hobbit_general_talk_ask.1|Áh, tað má hava verið systkinabarn mítt! Meriadoc Brandybuck, ella Merry sum tey rópa hann. Vit eru hobbar, {sir/madam}, og vit eru úr Sýsluni, báðir tveir! Góði gamli Merry. Gud viti hvussu tað mann gangast honum í Edoras.
; dlga_hobbit_general_talk_ask:hobbit_general_talk_ask_1|May I ask a favour of you, {my lord/my lady}.
; dlga_hobbit_general_talk_ask_1:hobbit_general_talk_ask_2|Of course, {s1}. What is it?
; dlga_hobbit_general_talk_ask_2:hobbit_general_talk_ask_3|Could you deliver a message to my cousin, {s1}? He is at {s2}, in {s3}, in the service of {s4}.
; dlga_hobbit_general_talk_ask_3:hobbit_general_talk_ask_accept|I will be passing by {s1} and will be glad to pass on this message to your cousin.
; dlga_hobbit_general_talk_ask_3:hobbit_general_talk_ask_reject|I'm sorry, {s1}, but I do not have the time.
; dlga_hobbit_general_talk_ask_accept:close_window|Thanks! {s1}
; dlga_hobbit_general_talk_ask_reject:hobbit_general_talk_3|I understand. I'll send it to the next caravan to {s1} then.
dlga_hobbit_general_talk_3:close_window|Farvæl!
dlga_start:hobbit_merry_talk_met.1|Væl afturkomin, {playername}!
dlga_start:hobbit_pippin_talk_met.1|Væl afturkomin, {playername}!
; dlga_hobbit_merry_talk_met:hobbit_deliver_message|Hello, messer Merry. I have a message here from your cousin, Pippin, in Minas Tirith.
; dlga_hobbit_pippin_talk_met:hobbit_deliver_message|Hello, messer Pippin. I have a message here from your cousin, Merry, in Edoras.
; dlga_hobbit_deliver_message:close_window|Thank you, {playername}. It was good of you to bring this to me.
dlga_hobbit_merry_talk_met:close_window|Halló, harra Merry!
dlga_hobbit_pippin_talk_met:close_window|Halló, harra Pippin!
dlga_start:treebeard_introduce_1|(Tú leggur merki til, at tú hyggur at einum serstakliga undrunarsomum skepilsi. Hann er sera høgur, er stívur í limunum við børklíknandi húð og hevur leyvlíknandi hár. Mosi veksur á pørtum av kroppi hansara. Men í løtuni leggur tú ikki merki til stórt annað, enn eygu hansara. Djúpu eyguni granska teg, seint og hátíðarliga, tó hvøss og gjøgnumskerandi. Tú metir tey vera brún, við farrum av grønum ljósi sum var tað ein risa vatnbrunnur aftanfyri tey, fullur av aldargomlum minnum og drúgvari, støðugari hugsan. Men ytst lýsa eyguni við nútíðini... sum Sólin skínur á ytstu bløðini á ovurstórum træi, ella sum ringarnir í einum djúpum vatni.)
dlga_treebeard_introduce_1:treebeard_introduce_2|(Tú ert við at lata munnin upp fyri at siga eitthvørt, men ein undarlig stirðnandi kensla legst á teg, sum var luftin ov tunn at anda... kikkandi eftir ondini, ristir tú tað av tær, og ovurvaksna trælíknandi skepilsi gevst við at gløa eins brennandi í eina løtu. Skepilsið heldur fram at gløa at tær, og tú leggur merki til, at hini træskepilsini eisini gløa at tær, sum vanta tey at tú fert at siga okkurt...)
