menu_start_game_1|^^^^^^^^^^Hvørjum stríðist tú fyri?
; mno_start_good|the DAWN of a new Era
; mno_start_evil|the TWILIGHT of Man
mno_go_bback|Far aftur
menu_start_phase_2|^^^^^ Miðgarður. Skuggin úr eystri veksur, ^og myrkar verur stíga fram, sum í langa tíð hava verið fjaldar. ^ Frælsu fólkaættirnar fyrireika seg til kríggj, sum hvørs líki ikki áður hevur verið at sæð í eina ævu. ^ Menn, álvar, dvørgar og orkar; allir eiga sín lut. ^^ Hvør teirra lutur verður, er ikki til at siga...
; mno_go_forth|          Go forth upon your chosen path...
menu_start_game_3|^^^^^^^^Vel tín leikpall:
mno_custom_battle_scenario_1|Samanbrestur, Gondor ímóti Harad
mno_custom_battle_scenario_12|Vel veldi til kríggið
mno_custom_battle_scenario_3|Samanbrestur, Álvar ímóti Svørtu Numenoreannum
mno_custom_battle_scenario_4|Verjanin av Hjálmardýpi, Rohan ímóti Ísgarði
mno_custom_battle_scenario_5|Samanbrestur, Norðurveldini ímóti Rhûn
mno_custom_battle_scenario_6|Kringsetan, Orkar ímóti Dvørgum
mno_custom_battle_scenario_7|Sniðálop, Orkar ímóti Døkkaskógi
; mno_custom_battle_scenario_8|The Last Stand of Durin's Folk
; mno_custom_battle_scenario_88|Chasing an Orc Scout Party
mno_custom_battle_scenario_11|Royndarbardagi (fínstillingar)
mno_custom_battle_scenario_10|leikmyndsroyndarbardagi
mno_troll_battle_scenario|Royndarbardagi, trøll
mno_warg_battle_scenario|Royndarbardagi, vargar
mno_build_your_own_scene|** Bygg egna leikmynd til TLD **
; menu_tutorial|^^ Welcome to the Combat Tutorial for Mount & Blade. Here you will learn the basics of combat, as well as a brief overview of troop command during field battles.
; mno_tutorial_1|Tutorial #1: Basic movement and weapon selection. {s1}
; mno_tutorial_2|Tutorial #2: Fighting with a shield. {s2}
; mno_tutorial_3|Tutorial #3: Fighting without a shield. {s3}
; mno_tutorial_3b_door|next level
; mno_tutorial_4|Tutorial #4: Riding a horse or a warg. {s4}
; mno_tutorial_5|Tutorial #5: Commanding a band of soldiers. {s5}
mno_go_back_dot|Far aftur.
; mno_action_view_troop_trees|View troop trees.
mno_view_upkeep_costs|Sí viðlíkahaldskostnað.
mno_view_character_report|Sí persónslýsing.
mno_view_party_size_report|Sí stødd á herdeildini.
mno_view_morale_report|Sí stríðshugan hjá herdeildini.
mno_view_character_report_02|Kanna støðuna hjá NPC.
mno_view_faction_strengths_report|Sí styrkina hjá veldunum.
mno_view_traits_report|Sí eginleikar.
mno_resume_travelling|Halt á fram at ferðast.
mno_custom_battle_go|Byrja.
mno_leave_custom_battle_2|Strika.
menu_custom_battle_end|^^^^^^hetta stríðið er av. {s1} síða tín drap {reg5} fígginda og misti {reg6} hermenn í stríðnum.^Tú draps {reg7} móstøðufólk í bardaga.
mno_replay|Leika hetta stríð umaftur.
mno_continue_dot|Halt á fram.
; menu_custom_battle_durin_end|^^^^^^It was an admirable last stand, but ultimately doomed.^^ You and your kinsmen killed {reg5} enemies.^You personally slew {reg7} opponents in the fighting.
mno_replay_cbd|Leika hetta stríð umaftur.
mno_continue_dot_cbd|Halt á fram.
mno_dot_go_back|. Far aftur
menu_start_good|^^^^^^^^^^vel ættbólk:
mno_start_ma|MAÐUR
mno_start_el|ÁLVAR
mno_start_dw|DVØRGAR
mno_go_back|Far aftur
menu_start_evil|^^^^^^^^^^Hvørjum tænir tú?
mno_start_eye|SAURON úr Mordor, Ringanna Harri
mno_start_hand|SARUMAN úr Ísgarði, Hvíta Hondin.
menu_start_eye|^^^^^^^^^Harri tí er Árvakna Eygað^Vel ættbólk
mno_start_or|ORKUR, tænir Árvakna Eyganum.
mno_start_ur|URUK, nýggja ættin av orkum
mno_start_em|MAÐUR, kúgaður av Sauron
menu_start_hand|^^^^^^^^^Harri tín er Hvíta Hondin^Vel tín ættbólk
mno_start_whor|ORKUR, tænir Hvítu Hondini
; mno_start_isur|one of the URUK-HAI, bred in Isengard
mno_start_duma|MAÐUR í Døkkulondum, Vestaru Fløturnar
menu_start_good_man|^^^^^^^^^^Vel tín ættbólk:
mno_start_go|GONDOR, Kongaríkið við Hvíta Torninum
mno_start_ro|ROHAN, Rossaharrarnir
mno_start_du|DUNEDAIN, forna kongsættin hjá monnum
mno_start_be|BEORININGS, bjarnafólki
mno_start_da|Norðankongaríkið úr Dalinum
menu_start_good_elf|^^^^^^^^^^hvørjum skógi býrt tú í, Eldri?
mno_start_ri|Áardali, hjá harra Elrond
mno_start_lo|LOTHLORIEN, hjá frú Galadriel
mno_start_mi|Døkkaskógi, land Silvanálvanna
menu_start_good_dwarf|^^^^^^^^^^Vel ætt tína:
mno_start_er|íbúgvi úr EREBOR
mno_start_ih|Námsmaður úr JARNHEYGGJUNUM
menu_start_gondor|^^^^^^^^^^Hvaðani úr Gondor ert tú?
mno_start_mt|MINAS TIRITH, høvuðstaðnum
mno_start_ls|LOSSARNACH, lensøki hjá øksamonnunum
mno_start_la|LAMEDON, lensøkið hjá fjallamannaættini.
mno_start_pg|PINNATH GELIN, lensøki úr Grønu Heyggjunum
mno_start_do|DOL AMRITH, lensøki hjá Svanariddarunum
mno_start_pe|PELARGIR, Strandarlensøkið
