p_town_minas_tirith|Minas Tiritas
p_town_pelargir|Pelargiras
p_town_linhir|Liniras
p_town_dol_amroth|Dol Amrotas
p_town_edhellond|Edelondas
p_town_lossarnach|Losarnachas
p_town_tarnost|Tarnostas
p_town_erech|Erechas
p_town_pinnath_gelin|Pinat Gelinas
p_town_west_osgiliath|Vakarų Osgiliatas
p_town_henneth_annun|Heneto Anunas
p_town_cair_andros|Cair Androsas
p_town_calembel|Kalembelis
p_town_edoras|Edoras
p_town_aldburg|Aldburgas
p_town_hornburg|Hornburgas
p_town_east_emnet|Rytų Emnetas
p_town_westfold|Vestfoldas
p_town_west_emnet|Vakarų Emnetas
p_town_eastfold|Istfoldas
p_town_morannon|Moranonas
p_town_minas_morgul|Juodasis Bokštas
; p_town_cirith_ungol|Emyn Muil Watchtower
p_town_east_osgiliath|Rytų Osgiliatas
; p_town_orc_sentry_camp|Emyn Arnen Sentry
p_town_isengard|Izengardas
p_town_urukhai_outpost|Urukų stebėjimo postas
p_town_urukhai_h_camp|Urukų medžioklės stovykla
p_town_urukhai_r_camp|Urukų paupio stovykla
p_town_caras_galadhon|Karas Galadonas
p_town_cerin_dolen|Cerin Dolenas
p_town_cerin_amroth|Cerin Amrotas
p_town_thranduils_halls|Tranduilo Menė
; p_town_woodelf_camp|Woodelf South Camp
p_town_woodelf_west_camp|Miško elfų vakarinė stovykla
p_town_woodsmen_village|Miškinių kaimas
p_town_beorning_village|Beorningų kaimas
p_town_beorn_house|Beorno namas
p_town_moria|Morios Vartai
p_town_troll_cave|Trolių urvas
p_town_dale|Deilas
p_town_esgaroth|Esgarotas
p_town_dunland_camp|Kalviečių stovykla
p_town_harad_camp|Haradrimo stovykla
p_town_khand_camp|Handų stovykla
p_town_umbar_camp|Korsarų stovykla
p_town_imladris_camp|Rivendeilo stovykla
p_town_dol_guldur|Dol Gulduras
; p_town_dol_guldur_north_outpost|Dol Guldur Road Outpost
p_town_rhun_main_camp|Pagrindinė Runo stovykla
p_town_rhun_south_camp|Pietinis Runo stebėjimo postas
p_town_rhun_north_camp|Šiaurinis Runo stebėjimo postas
p_town_gundabad|Gundabadas
; p_town_gundabad_ne_outpost|Grey Mountains Hold
; p_town_gundabad_nw_outpost|Grey Mountains Ravine
p_town_goblin_north_outpost|Goblinų miestelis
p_town_goblin_south_outpost|Goblinų pietinė stovykla
p_town_gundabad_m_outpost|Gundabado Mirkvudo stebejimo postas
p_town_erebor|Ereboras
p_town_ironhill_camp|Geležinių kalvų karjeras
p_advcamp_gondor|Gondoro karo stovykla
p_advcamp_rohan|Rohano karo stovykla
p_advcamp_isengard|Aizengardo karo stovykla
p_advcamp_mordor|Mordoro karo stovykla
p_advcamp_harad|Harado karo stovykla
p_advcamp_rhun|Runo karo stovykla
p_advcamp_khand|Kando karo stovykla
p_advcamp_umbar|Umbaro karo stovykla
p_advcamp_lorien|Lorieno karo stovykla
p_advcamp_imladris|Imladrio karo stovykla
p_advcamp_woodelf|Mirkvudo karo stovykla
p_advcamp_moria|Morios karo stovykla
p_advcamp_guldur|Dol Gulduro karo stovykla
p_advcamp_gundabad|Gundabado karo stovykla
p_advcamp_dale|Deilo karo stovykla
p_advcamp_dwarf|Ereboro karo stovykla
p_advcamp_dunland|Dunlando karo stovykla
p_advcamp_beorn|Beorningų karo stovykla
p_argonath|Argonatas
p_argonath2|Argonatas
p_hand_isen|Argonatas
p_mount_doom|Pražūties ugnikalnis
p_town_barad_dur|Barad Duras
p_ford_cair_andros1|Anduinas
p_ford_cair_andros2|Anduinas
p_ford_caras_galadhon|Anduinas
p_ford_brown_lands|Anduinas
p_ford_rauros|Anduinas
p_ford_pelargir|Anduinas
p_ford_edhellond|Anduinas
p_ford_cerin_dolen|Sidabrinė Gysla
p_old_ford|Senoji Brasta
p_ford_erech|Ringlo upė
p_ford_isen1|Izeno upė
p_ford_isen2|Izeno upė
p_ford_rohan|Entvašo upė
p_ford_rohan2|Entvašo upė
p_ford_fangorn|Entvašo upė
p_ford_fangorn2|Limšviesa
p_ford_moria|Sidabrinė Gysla
p_legend_amonhen|Akies Kalva
; p_legend_deadmarshes|Dead Marshes
p_legend_mirkwood|Mirkvudo giria
p_legend_fangorn|Rangorno Entų Sueiga
; p_fangorn_center|Fangorn Center
p_ring_hunter_lair|Žiedo medžiotojų irštva
p_raft|Plaustų vyrai
; p_amon_din|Amon Din
; p_eilenach|Eilenach
; p_nardol|Nardol
; p_erelas|Erelas
; p_min_rimmon|Min Rimmon
; p_calenhad|Calenhad
; p_amon_anwar|Amon Anwar
p_ancient_ruins|Senovės griūvėsiai
