fac_no_faction|Jokios frakcijos
fac_commoners|Gyventojai
fac_outlaws|Laukiniai ir banditai
fac_gondor|Gondoras
fac_dwarf|Ereboras
fac_rohan|Rohanas
fac_mordor|Mordoras
fac_isengard|Aizengardas
fac_lorien|Lotlorienas
fac_imladris|Imladris
fac_woodelf|Mirkvudo elfai
fac_dale|Dalas
fac_harad|Haradas
fac_rhun|Runas
fac_khand|Kandas
fac_umbar|Umbaras
fac_moria|Moria
fac_guldur|Dol Gulduras
fac_gundabad|Gundabado kalnas
fac_dunland|Dunlendingas
fac_beorn|Beoringas
fac_player_supporters_faction|Žaidėjo frakcija
fac_player_faction|Žaidėjo frakcija
fac_brigands|Plėšikai
fac_tribal_orcs|Orkų gentis
fac_innocents|Nekaltieji
fac_merchants|Pirkliai
fac_manhunters|Žmonių medžiotojai
fac_deserters|Dezertyrai
fac_mountain_bandits|Kalnų banditai
fac_forest_bandits|Miškų banditai
