imod_plain|Jednostavno %
imod_cracked|Slomljeno%
imod_rusty|Hrđavo %
imod_bent|Savijeno %
imod_chipped|Okhrnuto %
imod_battered|Pohabano %
imod_poor|Loše %
imod_crude|Grubo%
imod_old|Staro%
imod_cheap|Jeftino%
imod_fine|Odlično %
imod_well_made|Dobro napravljeno %
imod_sharp|Oštro%
imod_balanced|Uravnoteženo %
imod_tempered|Kaljeno %
imod_deadly|Ubojito %
imod_exquisite|Izvrsno %
imod_masterwork|Remekdjelo %
imod_heavy|Teško %
imod_strong|Jako %
imod_powerful|Moćno %
imod_tattered|Okaljano %
imod_ragged|Hrapavo %
imod_rough|Grubo %
imod_sturdy|Čvrsto %s
imod_thick|Debelo %s
imod_hardened|Prekaljeno %s
imod_reinforced|Ojačano %s
imod_superb|Veličanstveno %s
imod_lordly|Gospodski %s
imod_lame|Jadno %s
imod_swaybacked|Pogrbljenost %s
imod_stubborn|Tvrdoglav %s
imod_timid|Plah %s
imod_meek|Krotak %s
imod_spirited|Srčan %s
imod_champion|Prvak %s
imod_fresh|Svjež %s
imod_day_old|Dana-star %s
imod_two_day_old|Star Dva dana %s
imod_smelling|Smrdljiv %s
imod_rotten|Truo %s
imod_large_bag|Velika vreća %s
