qstr_Received_{reg0}_dama|受到{reg0}点伤害。
qstr_Gate_is_breached!|大门已被攻破！
qstr_Gate_opens..._You_ha|大门缓缓打开…你已经站在了中土最神圣的土地上！
qstr_Secret_place_discove|发现密地
qstr_Next_Page|下一页
qstr_Action|互动
qstr_Mount|骑乘
qstr_Attack_Type|攻击方式
qstr_Hold_This_Position|坚守此地
qstr_Follow_Me|跟我来
qstr_Charge|向前冲
qstr_Advance|前进
qstr_Fall_Back|撤退
qstr_Stand_Closer|靠拢
qstr_Spread_Out|散开
qstr_Stand_Ground|保持原地
qstr_Dismount|下马
qstr_Use_Any_Weapon|使用任意武器
qstr_Use_Blunt_Weapons|使用钝器
qstr_Hold_Your_Fire|停止射击
qstr_Fire_At_Will|射箭
qstr_Us|我方
qstr_Allies|盟友
qstr_Enemies|敌人
qstr_Ready|预备
qstr_Wounded|受伤
qstr_Dead|死亡
qstr_Routed|被击溃
qstr_Number_of_men_knocke|被击败的人数：{reg1}
qstr_Number_of_men_left:_|剩余人数：{reg1}
qstr_Opponents_Beaten:_{r|被击败的敌人: {reg1}
qstr_Opponents_Remaining:|剩余敌人：{reg1}
qstr_Gauntlet_wave:_1|第1波
qstr_Gauntlet_wave:_{reg1|第{reg1}波
qstr_Remain_in_retirement|确定退休
qstr_Go_back_to_the_adven|回到冒险
qstr_A_peaceful_village_n|一个距洛汗西谷不远的宁静小村
qstr_The_War_is_upon_Roha|战争正在接近洛汗！
qstr_Minas_Tirith___The_W|米那斯提力斯—白城
qstr_The_White_Tree_stand|圣白树在刚铎诸王血脉终结时就枯萎了。
qstr_And_the_Shadow_grows|东方的阴影前所未有的强大
qstr_Minas_Morgul___City_|米那斯魔窟—戒灵之城
qstr_Sauron_s_armies_marc|索伦大军倾巢而出！
qstr_Adventurers_at_audie|冒险者觐见刚铎摄政王迪耐瑟二世...
qstr___What_business_do_y|'你来这儿有何请求？'
qstr___Your_Stewardship_w|“尊敬的摄政王阁下，我从很远的地方来…跳跳！”
qstr___Enough_of_this_mad|'我已经受够这些疯子了！卫兵！！'
qstr___I_ve_had_enough_of|'我已经受够这些恶作剧了...下一批觐见者必须要跪下！'
qstr_Chest|胸
qstr_Cape|肩
qstr_Arms|臂
qstr_Thighs|大腿
qstr_Legs|腿
qstr_Rotate|旋转
qstr_Close|关闭
